sample	before_total_reads	after_total_reads	reads_retained_percent	before_q20_rate	after_q20_rate	before_q30_rate	after_q30_rate	before_gc_content	after_gc_content
BLAN-1-1-No	3264416	3138222	96.13	0.9881	0.9967	0.9559	0.9761	0.5837	0.5820
BLAN-1-1-Rh	464030	446042	96.12	0.9885	0.9968	0.9565	0.9763	0.5958	0.5944
BLAN-1-1-Ro	70498	67466	95.70	0.9841	0.9959	0.9473	0.9735	0.6043	0.6025
BLAN-2-1-No	5767514	5556418	96.34	0.9847	0.9960	0.9503	0.9747	0.5860	0.5843
BLAN-2-1-Rh	383834	371430	96.77	0.9846	0.9955	0.9483	0.9721	0.6323	0.6316
BLAN-2-1-Ro	350196	336668	96.14	0.9707	0.9926	0.9219	0.9654	0.5793	0.5750
BLAN-3-1-No	14211670	13755942	96.79	0.9883	0.9968	0.9577	0.9776	0.5678	0.5670
BLAN-3-1-Rh	122466	117306	95.79	0.9875	0.9964	0.9532	0.9742	0.6338	0.6323
BLAN-3-1-Ro	1828702	1774438	97.03	0.9879	0.9966	0.9570	0.9770	0.5664	0.5658
BLAN-4-1-No	700444	670340	95.70	0.9850	0.9959	0.9470	0.9718	0.6631	0.6620
BLAN-4-1-Rh	116956	111340	95.20	0.9857	0.9959	0.9474	0.9713	0.6507	0.6494
BLAN-4-1-Ro	95072	90774	95.48	0.9846	0.9957	0.9461	0.9715	0.6395	0.6384
CLBJ-40-1-No	7288680	7000602	96.05	0.9890	0.9970	0.9581	0.9773	0.5897	0.5882
CLBJ-40-1-Rh	196314	187672	95.60	0.9884	0.9963	0.9536	0.9730	0.6438	0.6426
CLBJ-40-1-Ro	135002	127504	94.45	0.9861	0.9961	0.9478	0.9720	0.6413	0.6394
CLBJ-41-1-No	1990186	1917582	96.35	0.9894	0.9968	0.9585	0.9765	0.5827	0.5812
CLBJ-41-1-Rh	144400	137314	95.09	0.9881	0.9964	0.9526	0.9732	0.6409	0.6391
CLBJ-41-1-Ro	136114	128380	94.32	0.9877	0.9964	0.9508	0.9727	0.6426	0.6404
CLBJ-42-1-No	1442410	1399036	96.99	0.9896	0.9968	0.9597	0.9769	0.5817	0.5809
CLBJ-42-1-Rh	45814	43532	95.02	0.9878	0.9966	0.9528	0.9742	0.6398	0.6380
CLBJ-42-1-Ro	122094	117778	96.47	0.9903	0.9971	0.9606	0.9774	0.5850	0.5838
CLBJ-44-1-No	727890	695960	95.61	0.9884	0.9965	0.9544	0.9744	0.6380	0.6366
CLBJ-44-1-Rh	76706	74492	97.11	0.9884	0.9962	0.9557	0.9736	0.6013	0.6007
CLBJ-44-1-Ro	17528	16664	95.07	0.9857	0.9965	0.9493	0.9737	0.6087	0.6069
CLBJ-46-1-No	771124	739204	95.86	0.9893	0.9970	0.9581	0.9769	0.5897	0.5878
CLBJ-46-1-Rh	126486	121918	96.39	0.9888	0.9969	0.9565	0.9758	0.6383	0.6376
CLBJ-46-1-Ro	296254	283122	95.57	0.9881	0.9966	0.9535	0.9744	0.6311	0.6296
CLBJ-47-1-No	29800	28916	97.03	0.9877	0.9962	0.9544	0.9743	0.6154	0.6139
CLBJ-47-1-Rh	394320	378996	96.11	0.9894	0.9970	0.9589	0.9772	0.5893	0.5878
CLBJ-47-1-Ro	15028	14566	96.93	0.9876	0.9965	0.9547	0.9750	0.6456	0.6453
CPER-1-No	947842	918632	96.92	0.9858	0.9957	0.9518	0.9742	0.6114	0.6103
CPER-1-Rh	307962	295646	96.00	0.9852	0.9964	0.9496	0.9743	0.6340	0.6331
CPER-1-Ro	11534	11154	96.71	0.9851	0.9959	0.9487	0.9725	0.6305	0.6303
CPER-2-No	11897570	11542216	97.01	0.9868	0.9961	0.9548	0.9762	0.5737	0.5726
CPER-2-Rh	793856	767342	96.66	0.9862	0.9961	0.9534	0.9755	0.5891	0.5877
CPER-2-Ro	120982	117440	97.07	0.9871	0.9962	0.9549	0.9757	0.5743	0.5731
CPER-3-1-No	7095006	7007268	98.76	0.9938	0.9978	0.9776	0.9862	0.5709	0.5705
CPER-3-1-Rh	1529120	1500016	98.10	0.9952	0.9982	0.9781	0.9856	0.5702	0.5696
CPER-3-1-Ro	85102	83638	98.28	0.9909	0.9974	0.9706	0.9841	0.5762	0.5753
CPER-4-No	4400018	4338304	98.60	0.9959	0.9984	0.9806	0.9866	0.5699	0.5696
CPER-4-Rh	1822264	1794090	98.45	0.9952	0.9982	0.9786	0.9858	0.5722	0.5717
CPER-4-Ro	34600	33702	97.40	0.9904	0.9972	0.9670	0.9823	0.5799	0.5784
CPER-5-1-No	13818960	13595228	98.38	0.9942	0.9980	0.9772	0.9858	0.5712	0.5706
CPER-5-1-Rh	6758372	6536898	96.72	0.9935	0.9981	0.9730	0.9838	0.5609	0.5588
CPER-5-1-Ro	32014	31382	98.03	0.9922	0.9976	0.9718	0.9836	0.5868	0.5862
DCFS-1-2-No	85674	84310	98.41	0.9913	0.9970	0.9708	0.9831	0.5876	0.5865
DCFS-1-2-Rh	377760	359636	95.20	0.9914	0.9971	0.9623	0.9774	0.6385	0.6368
DCFS-1-2-Ro	35066	33732	96.20	0.9929	0.9973	0.9660	0.9781	0.6385	0.6373
DCFS-2-2-No	22827488	22478592	98.47	0.9947	0.9981	0.9782	0.9862	0.5718	0.5711
DCFS-2-2-Rh	517592	500190	96.64	0.9914	0.9971	0.9667	0.9804	0.6113	0.6093
DCFS-2-2-Ro	102552	98966	96.50	0.9931	0.9975	0.9684	0.9796	0.6230	0.6216
DCFS-3-2-No	2901834	2853844	98.35	0.9935	0.9977	0.9758	0.9851	0.5734	0.5725
DCFS-3-2-Rh	373506	361214	96.71	0.9926	0.9974	0.9683	0.9802	0.6096	0.6078
DCFS-3-2-Ro	12254	11930	97.36	0.9864	0.9964	0.9593	0.9802	0.5751	0.5714
DCFS-4-No	25005030	24066790	96.25	0.9896	0.9971	0.9589	0.9772	0.6085	0.6072
DCFS-4-Rh	210978	200750	95.15	0.9862	0.9967	0.9509	0.9747	0.6311	0.6290
DCFS-4-Ro	138488	131304	94.81	0.9855	0.9966	0.9493	0.9742	0.6361	0.6337
DCFS-5-1-No	21785700	20933142	96.09	0.9880	0.9968	0.9573	0.9775	0.5694	0.5669
DCFS-5-1-Rh	312448	301390	96.46	0.9864	0.9963	0.9530	0.9746	0.6349	0.6340
DCFS-5-1-Ro	60902	57720	94.78	0.9866	0.9966	0.9520	0.9752	0.5970	0.5945
DCFS-6-1-No	23837930	23116442	96.97	0.9884	0.9968	0.9585	0.9780	0.5725	0.5715
DCFS-6-1-Rh	114086	108184	94.83	0.9868	0.9964	0.9507	0.9737	0.6466	0.6444
DCFS-6-1-Ro	14918	13038	87.40	0.9580	0.9956	0.8939	0.9702	0.6127	0.6132
DCFS-7-1-No	114052	108188	94.86	0.9855	0.9964	0.9487	0.9736	0.6357	0.6340
DCFS-7-1-Rh	226798	219844	96.93	0.9856	0.9959	0.9514	0.9741	0.6363	0.6358
DCFS-7-1-Ro	34068	32984	96.82	0.9750	0.9955	0.9331	0.9738	0.5837	0.5780
DCFS-8-1-No	16828746	16334186	97.06	0.9851	0.9959	0.9522	0.9753	0.5738	0.5729
DCFS-8-1-Rh	231338	221518	95.76	0.9857	0.9962	0.9508	0.9741	0.6057	0.6036
DCFS-8-1-Ro	14804	14064	95.00	0.9800	0.9957	0.9383	0.9720	0.6107	0.6102
DEJU-10-1-No	7810	7422	95.03	0.9876	0.9967	0.9542	0.9749	0.6102	0.6089
DEJU-10-1-Rh	528036	502080	95.08	0.9866	0.9963	0.9495	0.9729	0.6382	0.6365
DEJU-10-1-Ro	41934	40616	96.86	0.9870	0.9959	0.9524	0.9729	0.6036	0.6030
DEJU-11-1-No	9004	8554	95.00	0.9869	0.9969	0.9544	0.9765	0.5948	0.5923
DEJU-11-1-Rh	76198	72910	95.68	0.9861	0.9962	0.9505	0.9737	0.6071	0.6050
DEJU-11-1-Ro	10678	10382	97.23	0.9936	0.9973	0.9693	0.9785	0.6010	0.6002
DEJU-12-1-No	23182	22286	96.13	0.9841	0.9953	0.9440	0.9691	0.6186	0.6180
DEJU-12-1-Rh	223116	209264	93.79	0.9844	0.9960	0.9442	0.9709	0.6333	0.6304
DEJU-12-1-Ro	8178	7782	95.16	0.9849	0.9956	0.9454	0.9708	0.6217	0.6195
DEJU-13-1-No	790632	773758	97.87	0.9934	0.9973	0.9701	0.9794	0.6004	0.5997
DEJU-13-1-Rh	1766	1658	93.88	0.9787	0.9963	0.9365	0.9727	0.5929	0.5916
DEJU-13-1-Ro	30472	29558	97.00	0.9795	0.9946	0.9390	0.9701	0.6029	0.6009
DEJU-16-1-No	5744942	5520212	96.09	0.9889	0.9967	0.9579	0.9744	0.6814	0.6803
DEJU-16-1-Rh	318758	304504	95.53	0.9867	0.9961	0.9494	0.9714	0.6456	0.6445
DEJU-16-1-Ro	1209968	1166070	96.37	0.9888	0.9965	0.9558	0.9748	0.6046	0.6034
DEJU-17-1-No	25928	24726	95.36	0.9725	0.9954	0.9271	0.9706	0.6326	0.6317
DEJU-17-1-Rh	609556	584916	95.96	0.9870	0.9959	0.9506	0.9715	0.6460	0.6451
DEJU-17-1-Ro	11158	10862	97.35	0.9825	0.9950	0.9433	0.9685	0.6517	0.6519
DEJU-18-1-No	4167794	4019300	96.44	0.9895	0.9967	0.9590	0.9744	0.6820	0.6811
DEJU-18-1-Rh	107608	104064	96.71	0.9874	0.9959	0.9535	0.9730	0.6254	0.6248
DEJU-18-1-Ro	357752	340998	95.32	0.9807	0.9950	0.9366	0.9673	0.6746	0.6732
DEJU-19-1-No	15838	15086	95.25	0.9772	0.9948	0.9343	0.9696	0.6288	0.6275
DEJU-19-1-Rh	117412	113648	96.79	0.9845	0.9953	0.9479	0.9715	0.6261	0.6255
DEJU-19-1-Ro	16660	16010	96.10	0.9841	0.9947	0.9445	0.9689	0.6390	0.6379
DEJU-20-1-No	7596	7242	95.34	0.9889	0.9970	0.9582	0.9771	0.6356	0.6335
DEJU-20-1-Rh	61832	58760	95.03	0.9865	0.9960	0.9484	0.9708	0.6357	0.6340
DEJU-20-1-Ro	31902	30578	95.85	0.9786	0.9953	0.9361	0.9696	0.6368	0.6350
DEJU-21-1-No	6789410	6419652	94.55	0.9764	0.9947	0.9285	0.9658	0.6804	0.6790
DEJU-21-1-Rh	117632	113518	96.50	0.9863	0.9962	0.9527	0.9743	0.6095	0.6085
DEJU-21-1-Ro	6576	6294	95.71	0.9855	0.9961	0.9468	0.9724	0.6122	0.6114
DEJU-22-1-No	3524034	3372554	95.70	0.9880	0.9965	0.9551	0.9730	0.6813	0.6800
DEJU-22-1-Rh	78646	75620	96.15	0.9874	0.9961	0.9520	0.9725	0.6239	0.6230
DEJU-22-1-Ro	81708	77200	94.48	0.9830	0.9958	0.9413	0.9696	0.6404	0.6390
DEJU-23-1-No	3180130	2962468	93.16	0.9792	0.9955	0.9348	0.9692	0.6764	0.6731
DEJU-23-1-Rh	953594	911620	95.60	0.9880	0.9965	0.9532	0.9740	0.6343	0.6329
DEJU-23-1-Ro	20976	20206	96.33	0.9868	0.9962	0.9527	0.9746	0.6146	0.6134
DEJU-24-1-No	2361270	2215842	93.84	0.9797	0.9954	0.9360	0.9694	0.6751	0.6721
