sample	total_reads	mapped_reads	mapped_percent	properly_paired	properly_paired_percent
BLAN-1-1-No	3145828	3051041	96.99	2920084	93.05
BLAN-1-1-Rh	447376	432124	96.59	412148	92.40
BLAN-1-1-Ro	67733	64806	95.68	60944	90.33
BLAN-2-1-No	5569187	5432001	97.54	5248182	94.45
BLAN-2-1-Rh	374140	355251	94.95	330268	88.92
BLAN-2-1-Ro	337227	332088	98.48	318860	94.71
BLAN-3-1-No	13756296	13602621	98.88	13380198	97.27
BLAN-3-1-Rh	117669	109544	93.10	100710	85.85
BLAN-3-1-Ro	1774536	1762048	99.30	1735764	97.82
BLAN-4-1-No	674053	659082	97.78	606106	90.42
BLAN-4-1-Rh	111795	100769	90.14	88230	79.24
BLAN-4-1-Ro	91453	84310	92.19	75774	83.48
CLBJ-40-1-No	7019049	6804944	96.95	6523318	93.18
CLBJ-40-1-Rh	188550	168367	89.30	145966	77.78
CLBJ-40-1-Ro	128303	113539	88.49	96326	75.55
CLBJ-41-1-No	1920393	1818747	94.71	1693652	88.32
CLBJ-41-1-Rh	138307	124798	90.23	108520	79.03
CLBJ-41-1-Ro	128964	113050	87.66	95034	74.03
CLBJ-42-1-No	1403201	1329541	94.75	1234226	88.22
CLBJ-42-1-Rh	43737	38924	89.00	33808	77.66
CLBJ-42-1-Ro	118056	112305	95.13	105350	89.45
CLBJ-44-1-No	700694	638147	91.07	560684	80.56
CLBJ-44-1-Rh	74499	72516	97.34	70634	94.82
CLBJ-44-1-Ro	16689	15648	93.76	14446	86.69
CLBJ-46-1-No	740255	711351	96.10	678332	91.77
CLBJ-46-1-Rh	123233	114352	92.79	103200	84.65
CLBJ-46-1-Ro	284664	263046	92.41	234378	82.78
CLBJ-47-1-No	28921	27404	94.75	25964	89.79
CLBJ-47-1-Rh	379607	360470	94.96	337834	89.14
CLBJ-47-1-Ro	14588	13567	93.00	12574	86.32
CPER-1-No	922976	906438	98.21	871344	94.85
CPER-1-Rh	298579	288700	96.69	268298	90.75
CPER-1-Ro	11176	10544	94.35	9916	88.90
CPER-2-No	11598079	11542335	99.52	11342670	98.27
CPER-2-Rh	769502	758072	98.51	742198	96.72
CPER-2-Ro	118060	116633	98.79	113756	96.86
CPER-3-1-No	7046808	7016373	99.57	6887504	98.29
CPER-3-1-Rh	1509573	1480346	98.06	1424076	94.94
CPER-3-1-Ro	84011	82906	98.68	80822	96.63
CPER-4-No	4359218	4304689	98.75	4199752	96.81
CPER-4-Rh	1801562	1765983	98.03	1701342	94.83
CPER-4-Ro	33839	33097	97.81	31750	94.21
CPER-5-1-No	13661248	13363204	97.82	12907234	94.94
CPER-5-1-Rh	6559764	6201222	94.53	5754232	88.03
CPER-5-1-Ro	31574	30474	96.52	28926	92.17
DCFS-1-2-No	85705	82844	96.66	76222	90.41
DCFS-1-2-Rh	362284	317920	87.75	259824	72.25
DCFS-1-2-Ro	33913	29686	87.54	25088	74.37
DCFS-2-2-No	22534048	22327676	99.08	21890100	97.38
DCFS-2-2-Rh	504352	466372	92.47	417162	83.40
DCFS-2-2-Ro	99541	89883	90.30	79040	79.87
DCFS-3-2-No	2861435	2827848	98.83	2736578	95.89
DCFS-3-2-Rh	361668	333973	92.34	299622	82.95
DCFS-3-2-Ro	11962	11674	97.59	11284	94.59
DCFS-4-No	24174835	23540886	97.38	21580498	89.67
DCFS-4-Rh	201292	189392	94.09	173360	86.36
DCFS-4-Ro	131713	120641	91.59	107814	82.11
DCFS-5-1-No	21001465	20889478	99.47	20439906	97.64
DCFS-5-1-Rh	302256	290513	96.11	273454	90.73
DCFS-5-1-Ro	57959	55076	95.03	50962	88.29
DCFS-6-1-No	23223657	23105840	99.49	22778088	98.54
DCFS-6-1-Rh	108529	100856	92.93	91598	84.67
DCFS-6-1-Ro	13107	12613	96.23	11982	91.90
DCFS-7-1-No	108767	101579	93.39	92094	85.12
DCFS-7-1-Rh	219873	214706	97.65	209710	95.39
DCFS-7-1-Ro	32996	32872	99.62	32442	98.36
DCFS-8-1-No	16391358	16304255	99.47	16022498	98.09
DCFS-8-1-Rh	222463	213832	96.12	202402	91.37
DCFS-8-1-Ro	14122	13682	96.88	13050	92.79
DEJU-10-1-No	7437	6677	89.78	5860	78.95
DEJU-10-1-Rh	504693	467688	92.67	423002	84.25
DEJU-10-1-Ro	40626	38784	95.47	36964	91.01
DEJU-11-1-No	8583	7926	92.35	7146	83.54
DEJU-11-1-Rh	73075	66948	91.62	60428	82.88
DEJU-11-1-Ro	10432	9690	92.89	8722	84.01
DEJU-12-1-No	22293	21797	97.78	21358	95.84
DEJU-12-1-Rh	209882	196096	93.43	178994	85.54
DEJU-12-1-Ro	7911	7377	93.25	6458	82.99
DEJU-13-1-No	775957	675579	87.06	555008	71.73
DEJU-13-1-Rh	1661	1585	95.42	1488	89.75
DEJU-13-1-Ro	29914	28586	95.56	26756	90.52
DEJU-16-1-No	5546936	5426192	97.82	5276134	95.58
DEJU-16-1-Rh	305805	281450	92.04	254648	83.63
DEJU-16-1-Ro	1171921	1167274	99.60	1154370	99.00
DEJU-17-1-No	24728	23942	96.82	21390	86.51
DEJU-17-1-Rh	585828	548002	93.54	505340	86.40
DEJU-17-1-Ro	10866	10708	98.55	10512	96.78
DEJU-18-1-No	4038921	3968914	98.27	3876788	96.45
DEJU-18-1-Rh	104405	97024	92.93	89486	85.99
DEJU-18-1-Ro	342333	337176	98.49	329738	96.70
DEJU-19-1-No	15101	14638	96.93	14194	94.09
DEJU-19-1-Rh	114049	107427	94.19	100638	88.55
DEJU-19-1-Ro	16011	15962	99.69	15908	99.36
DEJU-20-1-No	7277	7041	96.76	6740	93.07
DEJU-20-1-Rh	58983	51042	86.54	42314	72.01
DEJU-20-1-Ro	30807	27866	90.45	24642	80.59
DEJU-21-1-No	6447114	6388484	99.09	6274188	97.73
DEJU-21-1-Rh	114057	104828	91.91	94752	83.47
DEJU-21-1-Ro	6299	6169	97.94	6010	95.49
DEJU-22-1-No	3388748	3304790	97.52	3202276	94.95
DEJU-22-1-Rh	75879	68031	89.66	59812	79.10
DEJU-22-1-Ro	78553	74015	94.22	67932	87.99
DEJU-23-1-No	2973885	2883446	96.96	2762312	93.24
DEJU-23-1-Rh	916001	828320	90.43	722800	79.29
DEJU-23-1-Ro	20208	19714	97.56	19150	94.77
DEJU-24-1-No	2223012	2153041	96.85	2069636	93.40
DEJU-24-1-Rh	745717	710478	95.27	658136	88.90
DEJU-24-1-Ro	7829	7664	97.89	7466	95.38
DEJU-25-No	2704	2544	94.08	2414	89.34
DEJU-25-Rh	43658	41676	95.46	39116	90.99
DEJU-25-Ro	23417	21085	90.04	18520	79.51
DEJU-26-No	146046	127243	87.13	106910	73.61
DEJU-26-Rh	961118	878979	91.45	792310	82.69
DEJU-27-No	98743	89952	91.10	80216	81.65
DEJU-27-Rh	138606	122102	88.09	103142	74.69
DEJU-27-Ro	25177	24508	97.34	23840	94.71
DEJU-28-2-No	4017496	3757089	93.52	3477664	86.91
DEJU-28-2-Rh	265955	239617	90.10	209630	79.35
DEJU-28-2-Ro	182087	172002	94.46	162122	89.26
DEJU-29-1-No	5704953	5567139	97.58	5395570	95.07
DEJU-29-1-Rh	277713	263939	95.04	248652	89.85
DEJU-29-1-Ro	32860	32647	99.35	32436	98.72
DEJU-54-No	2780	2523	90.76	2268	81.76
DEJU-54-Rh	79108	66875	84.54	52452	67.03
DEJU-54-Ro	10068	8858	87.98	7418	73.74
DEJU-55-No	6863591	6681524	97.35	6458534	94.57
DEJU-55-Rh	339486	310961	91.60	278978	82.57
DEJU-55-Ro	55167	52877	95.85	50238	91.36
DEJU-56-Rh	111938	96498	86.21	78938	70.95
DEJU-56-Ro	31543	27384	86.81	22558	72.15
DEJU-57-No	6473068	6218209	96.06	5930422	92.02
DEJU-57-Rh	234544	208575	88.93	180518	77.22
DEJU-57-Ro	44572	40193	90.18	35456	79.58
DEJU-58-No	16067	14904	92.76	13282	83.96
DEJU-58-Rh	228291	212670	93.16	189196	83.64
DEJU-58-Ro	44003	40716	92.53	37018	84.62
DEJU-59-No	1687072	1645151	97.52	1592322	94.92
DEJU-59-Rh	359383	338433	94.17	307012	86.24
DEJU-59-Ro	17517	15306	87.38	12916	74.08
DEJU-60-No	1488803	1333487	89.57	1149156	77.42
DEJU-60-Rh	342933	320535	93.47	290382	85.29
