gene	status	count
nifH	fail_high_N	34
nifH	pass_mixed_possible_multitemplate	1151
nifH	pass_single_dominant	387
nifD	fail_high_N	33
nifD	pass_mixed_possible_multitemplate	1116
nifD	pass_single_dominant	348
nifK	fail_high_N	36
nifK	pass_mixed_possible_multitemplate	597
nifK	pass_single_dominant	455
nifJ	fail_high_N	3
nifJ	pass_mixed_possible_multitemplate	144
nifJ	pass_single_dominant	181
nodL	fail_high_N	9
nodL	pass_mixed_possible_multitemplate	14
nodL	pass_single_dominant	216
nolG	missing_qc_file	NA
nolF	pass_mixed_possible_multitemplate	1
nolF	pass_single_dominant	208
noeA	fail_high_N	2
noeA	pass_mixed_possible_multitemplate	2
noeA	pass_single_dominant	193
noeB	pass_mixed_possible_multitemplate	17
noeB	pass_single_dominant	132
nodX	fail_high_N	4
nodX	pass_mixed_possible_multitemplate	4
nodX	pass_single_dominant	129
