recovered_genes	n_good_genes	sample_type	n_samples	total_samples
None	0	No	220	877
None	0	Rh	331	877
None	0	Ro	326	877
nifH+nifD+nifK	3	No	232	623
nifH+nifD+nifK	3	Rh	192	623
nifH+nifD+nifK	3	Ro	199	623
nifH+nifD	2	No	75	271
nifH+nifD	2	Rh	100	271
nifH+nifD	2	Ro	96	271
nifH	1	No	63	218
nifH	1	Rh	69	218
nifH	1	Ro	86	218
nifJ	1	MC	2	216
nifJ	1	No	88	216
nifJ	1	Rh	70	216
nifJ	1	Ro	56	216
nifD	1	No	33	116
nifD	1	Rh	41	116
nifD	1	Ro	42	116
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB	8	No	41	103
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB	8	Rh	24	103
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB	8	Ro	38	103
nifH+nifD+nifK+nodX	4	No	20	47
nifH+nifD+nifK+nodX	4	Rh	14	47
nifH+nifD+nifK+nodX	4	Ro	13	47
nifH+nifD+nifK+nodL	4	No	26	43
nifH+nifD+nifK+nodL	4	Rh	11	43
nifH+nifD+nifK+nodL	4	Ro	6	43
nifD+nifK	2	No	12	36
nifD+nifK	2	Rh	12	36
nifD+nifK	2	Ro	12	36
nifH+nifD+nifK+nifJ	4	No	24	33
nifH+nifD+nifK+nifJ	4	Rh	7	33
nifH+nifD+nifK+nifJ	4	Ro	2	33
nifH+nifD+nifJ	3	No	20	32
nifH+nifD+nifJ	3	Rh	5	32
nifH+nifD+nifJ	3	Ro	7	32
nifH+nifK	2	No	10	30
nifH+nifK	2	Rh	13	30
nifH+nifK	2	Ro	7	30
nifH+nifD+nifK+nodL+nolG+nolF+noeA	7	No	3	16
nifH+nifD+nifK+nodL+nolG+nolF+noeA	7	Rh	9	16
nifH+nifD+nifK+nodL+nolG+nolF+noeA	7	Ro	4	16
nifH+nifJ	2	No	6	16
nifH+nifJ	2	Rh	4	16
nifH+nifJ	2	Ro	6	16
nodX	1	No	6	16
nodX	1	Rh	5	16
nodX	1	Ro	5	16
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX	9	No	5	15
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX	9	Rh	6	15
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX	9	Ro	4	15
nifH+nifD+nifK+nolG+nolF	5	No	2	11
nifH+nifD+nifK+nolG+nolF	5	Rh	6	11
nifH+nifD+nifK+nolG+nolF	5	Ro	3	11
nifK	1	No	6	11
nifK	1	Rh	2	11
nifK	1	Ro	3	11
nifD+nifK+nodL+nolG+nolF+noeA+noeB	7	No	3	10
nifD+nifK+nodL+nolG+nolF+noeA+noeB	7	Rh	3	10
nifD+nifK+nodL+nolG+nolF+noeA+noeB	7	Ro	4	10
nifH+nifD+nifK+nolG	4	No	3	10
nifH+nifD+nifK+nolG	4	Rh	4	10
nifH+nifD+nifK+nolG	4	Ro	3	10
nifH+nifD+nifK+nolG+nolF+noeA	6	No	3	10
nifH+nifD+nifK+nolG+nolF+noeA	6	Rh	2	10
nifH+nifD+nifK+nolG+nolF+noeA	6	Ro	5	10
nifD+nodX	2	No	2	9
nifD+nodX	2	Rh	4	9
nifD+nodX	2	Ro	3	9
nifH+nifD+nodX	3	No	2	7
nifH+nifD+nodX	3	Rh	2	7
