gene	tree_set	source_file_name	rows
nifD	iupac	nifD_iupac_best_reference_hit_with_taxon.tsv	1462
nifD	strict	nifD_strict_best_reference_hit_with_taxon.tsv	348
nifH	iupac	iupac_nifH_best_reference_hit_with_taxon.tsv	1538
nifH	iupac	nifH_iupac_best_reference_hit_with_taxon.tsv	1538
nifH	relaxed_strict_pct60	strict_pct60_nifH_best_reference_hit_with_taxon.tsv	751
nifH	strict	nifH_strict_best_reference_hit_with_taxon.tsv	387
nifH	strict	sample_nifH_best_reference_hit_with_taxon.tsv	387
nifJ	iupac	nifJ_iupac_best_reference_hit_with_taxon.tsv	325
nifJ	strict	nifJ_strict_best_reference_hit_with_taxon.tsv	181
nifK	iupac	nifK_iupac_best_reference_hit_with_taxon.tsv	1052
nifK	strict	nifK_strict_best_reference_hit_with_taxon.tsv	455
nodL	iupac	nodL_iupac_best_reference_hit_with_taxon.tsv	230
nodL	strict	nodL_strict_best_reference_hit_with_taxon.tsv	216
nodX	iupac	nodX_iupac_best_reference_hit_with_taxon.tsv	133
nodX	strict	nodX_strict_best_reference_hit_with_taxon.tsv	129
noeA	iupac	noeA_iupac_best_reference_hit_with_taxon.tsv	195
noeA	strict	noeA_strict_best_reference_hit_with_taxon.tsv	193
noeB	iupac	noeB_iupac_best_reference_hit_with_taxon.tsv	149
noeB	strict	noeB_strict_best_reference_hit_with_taxon.tsv	132
nolF	iupac	nolF_iupac_best_reference_hit_with_taxon.tsv	209
nolF	strict	nolF_strict_best_reference_hit_with_taxon.tsv	208
nolG	iupac	nolG_iupac_best_reference_hit_with_taxon.tsv	229
nolG	strict	nolG_strict_best_reference_hit_with_taxon.tsv	201
