sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	nifD.fa	1532	1287	84.0078	469.7565	55	245	15.9922	84	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-1-1-Ro	nifD.fa	1532	1273	83.0940	78.9713	64	259	16.9060	100	0.4872	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-1-1-No	nifD.fa	1532	1310	85.5091	1619.6240	33	222	14.4909	71	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Rh	nifD.fa	1532	1302	84.9869	192.3858	13	230	15.0131	19	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Ro	nifD.fa	1532	1288	84.0731	394.9269	394	244	15.9269	62	0.4957	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-No	nifD.fa	1532	1286	83.9426	1888.8107	36	246	16.0574	50	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Rh	nifD.fa	1532	1251	81.6580	152.8270	137	281	18.3420	129	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Ro	nifD.fa	1532	1264	82.5065	2519.8329	1988	268	17.4935	13	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-1-No	nifD.fa	1532	1262	82.3760	824.8688	10	270	17.6240	15	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-1-Rh	nifD.fa	1532	1256	81.9843	81.6070	10	276	18.0157	46	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-1-Ro	nifD.fa	1532	1282	83.6815	87.5822	36	250	16.3185	79	0.4918	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-13-1-No	nifD.fa	1532	1269	82.8329	844.9941	6	263	17.1671	17	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-14-No	nifD.fa	1532	1283	83.7467	725.4432	17	249	16.2533	37	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-2-Rh	nifD.fa	1532	1286	83.9426	12.1364	11	246	16.0574	19	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-2-Ro	nifD.fa	1532	1280	83.5509	83.0411	15	252	16.4491	38	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-No	nifD.fa	1532	1344	87.7285	4292.7337	6734	188	12.2715	27	0.4483	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-4-Rh	nifD.fa	1532	1282	83.6815	765.5307	212	250	16.3185	17	0.4145	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-10-1-No	nifD.fa	1532	1314	85.7702	1389.0555	27	218	14.2298	20	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-10-1-Rh	nifD.fa	1532	1314	85.7702	207.6560	16	218	14.2298	35	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-11-1-No	nifD.fa	1532	1296	84.5953	40.9452	18	236	15.4047	64	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-1-1-No	nifD.fa	1532	1316	85.9008	3322.2148	3879	216	14.0992	28	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-1-1-Ro	nifD.fa	1532	1285	83.8773	25.3701	28	247	16.1227	122	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-12-2-No	nifD.fa	1532	1297	84.6606	32.2755	22	235	15.3394	68	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-12-2-Ro	nifD.fa	1532	1258	82.1149	147.5333	3	274	17.8851	11	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-13-1-No	nifD.fa	1532	1292	84.3342	736.3577	20	240	15.6658	74	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-13-1-Rh	nifD.fa	1532	1316	85.9008	18.2017	19	216	14.0992	62	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-13-1-Ro	nifD.fa	1532	1314	85.7702	14.5509	16	218	14.2298	40	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-4-No	nifD.fa	1532	1290	84.2037	957.8721	23	242	15.7963	53	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-14-1-Rh	nifD.fa	1532	1270	82.8982	111.3877	92	262	17.1018	32	0.4286	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-15-1-No	nifD.fa	1532	1317	85.9661	2289.5294	28	215	14.0339	63	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-15-1-Rh	nifD.fa	1532	1248	81.4621	190.9569	81	284	18.5379	96	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-15-1-Ro	nifD.fa	1532	1314	85.7702	85.3662	17	218	14.2298	54	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
