sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	nifH.fa	997	827	82.9488	783.2798	151	170	17.0512	20	0.4815	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-1-1-Ro	nifH.fa	997	796	79.8395	93.9840	64	201	20.1605	83	0.4966	20	10	5	0.2000	20	10	fail_high_N
BLAN-1-1-No	nifH.fa	997	827	82.9488	2960.1535	936	170	17.0512	39	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Rh	nifH.fa	997	800	80.2407	323.7051	15	197	19.7593	18	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Ro	nifH.fa	997	829	83.1494	400.6028	302	168	16.8506	47	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-No	nifH.fa	997	815	81.7452	3408.5627	2069	182	18.2548	16	0.4000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Rh	nifH.fa	997	805	80.7422	68.8977	53	192	19.2578	50	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Ro	nifH.fa	997	815	81.7452	2479.2919	208	182	18.2548	13	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-1-No	nifH.fa	997	790	79.2377	1081.2457	8	207	20.7623	7	0.5000	20	10	5	0.2000	20	10	fail_high_N
BLAN-4-1-Rh	nifH.fa	997	814	81.6449	125.2528	9	183	18.3551	29	0.4409	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-1-Ro	nifH.fa	997	798	80.0401	117.2197	44	199	19.9599	56	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-1-1-No	nifH.fa	997	823	82.5476	1493.5246	60	174	17.4524	20	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-14-No	nifH.fa	997	832	83.4504	47.4493	13	165	16.5496	59	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-14-Rh	nifH.fa	997	797	79.9398	163.4383	84	200	20.0602	40	0.5000	20	10	5	0.2000	20	10	fail_high_N
BONA-2-Rh	nifH.fa	997	826	82.8485	78.8154	10	171	17.1515	19	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-2-Ro	nifH.fa	997	802	80.4413	54.7011	14	195	19.5587	33	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
