sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-4-2-No	nifJ.fa	3528	3097	87.7834	62.8688	5	431	12.2166	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-2-Rh	nifJ.fa	3528	3130	88.7188	170.9493	23	398	11.2812	132	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-4-2-Ro	nifJ.fa	3528	3169	89.8243	42.2937	10	359	10.1757	31	0.4872	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-10-2-Rh	nifJ.fa	3528	3262	92.4603	3651.1241	3827	266	7.5397	0	0.1355	20	10	5	0.2000	20	10	pass_single_dominant
BONA-10-2-Ro	nifJ.fa	3528	2841	80.5272	10.5998	4	687	19.4728	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-10-No	nifJ.fa	3528	3288	93.1973	6055.2945	7464	240	6.8027	0	0.0500	20	10	5	0.2000	20	10	pass_single_dominant
BONA-10-Rh	nifJ.fa	3528	3129	88.6905	130.4351	131	399	11.3095	9	0.4239	20	10	5	0.2000	20	10	pass_single_dominant
BONA-10-Ro	nifJ.fa	3528	2963	83.9853	11.8770	4	565	16.0147	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-10-2-No	nifJ.fa	3528	3257	92.3186	5693.4598	7054	271	7.6814	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-11-1-Rh	nifJ.fa	3528	3096	87.7551	74.8237	73	432	12.2449	41	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-11-2-No	nifJ.fa	3528	2865	81.2075	76.6457	3	663	18.7925	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-11-2-Rh	nifJ.fa	3528	3128	88.6621	37.6202	25	400	11.3379	27	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-11-1-No	nifJ.fa	3528	3263	92.4887	5807.3566	7082	265	7.5113	1	0.2239	20	10	5	0.2000	20	10	pass_single_dominant
BONA-1-1-No	nifJ.fa	3528	2954	83.7302	2170.2928	427	574	16.2698	2	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
BONA-12-1-Rh	nifJ.fa	3528	3209	90.9580	506.2971	333	319	9.0420	23	0.4496	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-12-1-Ro	nifJ.fa	3528	2793	79.1667	11.3452	3	735	20.8333	4	0.3333	20	10	5	0.2000	20	10	fail_high_N
BONA-12-1-No	nifJ.fa	3528	3312	93.8776	6029.5351	7404	216	6.1224	0	0.0625	20	10	5	0.2000	20	10	pass_single_dominant
BONA-12-2-Rh	nifJ.fa	3528	3260	92.4036	1826.6893	1689	268	7.5964	1	0.2621	20	10	5	0.2000	20	10	pass_single_dominant
BONA-12-2-Ro	nifJ.fa	3528	3248	92.0635	210.3682	207	280	7.9365	2	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
BONA-13-1-No	nifJ.fa	3528	3277	92.8855	6011.3968	7414	251	7.1145	0	0.0220	20	10	5	0.2000	20	10	pass_single_dominant
BONA-13-1-Rh	nifJ.fa	3528	3103	87.9535	117.5573	5	425	12.0465	16	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-12-2-No	nifJ.fa	3528	3284	93.0839	6059.5258	7485	244	6.9161	1	0.3256	20	10	5	0.2000	20	10	pass_single_dominant
BONA-13-2-Rh	nifJ.fa	3528	3101	87.8968	59.0298	36	427	12.1032	50	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-13-2-No	nifJ.fa	3528	3270	92.6871	6020.3450	7414	258	7.3129	0	0.0435	20	10	5	0.2000	20	10	pass_single_dominant
BONA-13-3-Rh	nifJ.fa	3528	3095	87.7268	38.4473	5	433	12.2732	43	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-13-3-Ro	nifJ.fa	3528	3046	86.3379	160.1176	6	482	13.6621	24	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-13-3-No	nifJ.fa	3528	3290	93.2540	5876.1205	7296	238	6.7460	1	0.4848	20	10	5	0.2000	20	10	pass_single_dominant
BONA-14-Rh	nifJ.fa	3528	2865	81.2075	50.7103	34	663	18.7925	47	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-14-Ro	nifJ.fa	3528	3110	88.1519	8.2200	5	418	11.8481	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-2-Rh	nifJ.fa	3528	3177	90.0510	13.1111	9	351	9.9490	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
BONA-2-Ro	nifJ.fa	3528	3167	89.7676	62.0553	19	361	10.2324	7	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-3-1-Rh	nifJ.fa	3528	3087	87.5000	16.5592	7	441	12.5000	20	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-14-No	nifJ.fa	3528	3263	92.4887	6007.0539	7422	265	7.5113	1	0.4490	20	10	5	0.2000	20	10	pass_single_dominant
BONA-4-Rh	nifJ.fa	3528	3112	88.2086	71.9223	20	416	11.7914	26	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-4-No	nifJ.fa	3528	3296	93.4240	6238.5607	7672	232	6.5760	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
BONA-5-No	nifJ.fa	3528	3277	92.8855	5836.5896	7316	251	7.1145	0	0.0856	20	10	5	0.2000	20	10	pass_single_dominant
BONA-7-Ro	nifJ.fa	3528	2820	79.9320	388.7166	2	708	20.0680	0	0.5000	20	10	5	0.2000	20	10	fail_high_N
BONA-8-No	nifJ.fa	3528	3241	91.8651	693.7338	642	287	8.1349	0	0.1977	20	10	5	0.2000	20	10	pass_single_dominant
BONA-8-Ro	nifJ.fa	3528	3216	91.1565	43.1774	37	312	8.8435	6	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-9-No	nifJ.fa	3528	3249	92.0918	2286.4524	2017	279	7.9082	9	0.4408	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-33-1-No	nifJ.fa	3528	3187	90.3345	11.6006	10	341	9.6655	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-34-1-No	nifJ.fa	3528	3067	86.9331	9.7092	8	461	13.0669	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-1-1-No	nifJ.fa	3528	3119	88.4070	8.5830	7	409	11.5930	16	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-7-No	nifJ.fa	3528	3312	93.8776	6135.7557	7630	216	6.1224	11	0.4936	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-16-1-No	nifJ.fa	3528	3263	92.4887	6013.8943	7581	265	7.5113	0	0.0472	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-16-2-Rh	nifJ.fa	3528	3249	92.0918	848.6287	863	279	7.9082	2	0.4327	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-17-2-No	nifJ.fa	3528	3201	90.7313	23.8665	18	327	9.2687	52	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
