sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	nodL.fa	612	553	90.3595	7.5327	8	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-No	nodL.fa	612	553	90.3595	9.0637	9	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-No	nodL.fa	612	548	89.5425	15.1814	16	64	10.4575	2	0.4667	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Ro	nodL.fa	612	553	90.3595	12.9003	10	59	9.6405	5	0.4800	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Ro	nodL.fa	612	553	90.3595	379.7092	411	59	9.6405	0	0.1882	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-No	nodL.fa	612	553	90.3595	40.6814	22	59	9.6405	29	0.4773	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Rh	nodL.fa	612	553	90.3595	313.0147	15	59	9.6405	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Ro	nodL.fa	612	553	90.3595	11.8105	11	59	9.6405	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	nodL.fa	612	553	90.3595	8.7255	8	59	9.6405	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-12-2-No	nodL.fa	612	552	90.1961	10.1307	6	60	9.8039	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-20-1-No	nodL.fa	612	540	88.2353	15.3889	17	72	11.7647	0	0.1000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-26-1-Rh	nodL.fa	612	553	90.3595	7.6650	7	59	9.6405	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-35-1-No	nodL.fa	612	553	90.3595	7.6667	2	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-40-1-Ro	nodL.fa	612	546	89.2157	12.7467	6	66	10.7843	0	0.1129	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-4-1-No	nodL.fa	612	547	89.3791	9.6095	7	65	10.6209	11	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-5-2-Rh	nodL.fa	612	537	87.7451	18.1062	22	75	12.2549	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-5-2-No	nodL.fa	612	553	90.3595	4048.4575	3878	59	9.6405	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Rh	nodL.fa	612	553	90.3595	1396.7680	1447	59	9.6405	1	0.3793	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Ro	nodL.fa	612	555	90.6863	225.7157	192	57	9.3137	0	0.1870	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-No	nodL.fa	612	561	91.6667	5705.4428	6808	51	8.3333	6	0.4630	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Rh	nodL.fa	612	556	90.8497	3108.5425	3669	56	9.1503	5	0.4514	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Ro	nodL.fa	612	553	90.3595	142.9641	142	59	9.6405	0	0.0645	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-No	nodL.fa	612	557	91.0131	5328.0245	6265	55	8.9869	5	0.3822	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-Rh	nodL.fa	612	558	91.1765	3067.1797	3593	54	8.8235	6	0.4856	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-Ro	nodL.fa	612	555	90.6863	52.1961	53	57	9.3137	7	0.3820	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-No	nodL.fa	612	555	90.6863	5448.2206	6370	57	9.3137	6	0.3813	20	10	5	0.2000	20	10	pass_single_dominant
