sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-No	nodX.fa	1121	1101	98.2159	14.5058	15	20	1.7841	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Rh	nodX.fa	1121	1055	94.1124	33.3336	26	66	5.8876	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-No	nodX.fa	1121	1085	96.7886	19.6030	19	36	3.2114	7	0.4706	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Ro	nodX.fa	1121	1101	98.2159	66.7672	61	20	1.7841	1	0.4118	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Ro	nodX.fa	1121	1101	98.2159	171.0330	141	20	1.7841	0	0.1685	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Rh	nodX.fa	1121	1089	97.1454	155.0624	150	32	2.8546	0	0.1423	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Ro	nodX.fa	1121	1106	98.6619	5925.6066	6666	15	1.3381	0	0.0076	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-No	nodX.fa	1121	1079	96.2533	10.0018	5	42	3.7467	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	nodX.fa	1121	1085	96.7886	11.0580	7	36	3.2114	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-14-No	nodX.fa	1121	1102	98.3051	11.1534	11	19	1.6949	0	0.0909	20	10	5	0.2000	20	10	pass_single_dominant
BONA-2-Ro	nodX.fa	1121	1102	98.3051	10.7003	10	19	1.6949	0	0.1000	20	10	5	0.2000	20	10	pass_single_dominant
BONA-3-1-Rh	nodX.fa	1121	1104	98.4835	17.7752	19	17	1.5165	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-1-1-No	nodX.fa	1121	1106	98.6619	7075.8555	7755	15	1.3381	0	0.0051	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-1-1-Ro	nodX.fa	1121	1095	97.6806	36.9857	38	26	2.3194	0	0.1587	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-36-1-No	nodX.fa	1121	1101	98.2159	261.0482	21	20	1.7841	0	0.0556	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-36-1-Rh	nodX.fa	1121	1101	98.2159	13.8983	14	20	1.7841	0	0.1250	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-36-1-Ro	nodX.fa	1121	1101	98.2159	358.4692	35	20	1.7841	0	0.0588	20	10	5	0.2000	20	10	pass_single_dominant
