sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	noeB.fa	1674	1655	98.8650	6.7043	6	19	1.1350	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-No	noeB.fa	1674	1656	98.9247	7.3990	8	18	1.0753	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Ro	noeB.fa	1674	1637	97.7897	8.5520	7	37	2.2103	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-No	noeB.fa	1674	1662	99.2832	15.6589	15	12	0.7168	8	0.4762	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Rh	noeB.fa	1674	1662	99.2832	88.5890	7	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-No	noeB.fa	1674	1662	99.2832	15.7724	14	12	0.7168	7	0.4737	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	noeB.fa	1674	1662	99.2832	6.4403	6	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-40-1-Ro	noeB.fa	1674	1662	99.2832	6.5215	6	12	0.7168	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-5-2-No	noeB.fa	1674	1662	99.2832	13.5197	14	12	0.7168	0	0.0909	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Ro	noeB.fa	1674	1662	99.2832	281.2754	209	12	0.7168	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Rh	noeB.fa	1674	1658	99.0442	535.6069	288	16	0.9558	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Ro	noeB.fa	1674	1662	99.2832	157.0830	143	12	0.7168	8	0.3597	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-No	noeB.fa	1674	1663	99.3429	5855.6183	6302	11	0.6571	14	0.3299	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-3-1-Rh	noeB.fa	1674	1662	99.2832	2746.1750	2851	12	0.7168	20	0.4974	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-3-1-Ro	noeB.fa	1674	1662	99.2832	100.4528	90	12	0.7168	1	0.2131	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-No	noeB.fa	1674	1662	99.2832	6248.8489	6657	12	0.7168	21	0.4964	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-Rh	noeB.fa	1674	1662	99.2832	2799.1452	2816	12	0.7168	19	0.4655	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-Ro	noeB.fa	1674	1662	99.2832	51.2121	49	12	0.7168	15	0.4789	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-No	noeB.fa	1674	1662	99.2832	6098.2855	6568	12	0.7168	19	0.2912	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-5-1-Rh	noeB.fa	1674	1662	99.2832	7009.8333	7480	12	0.7168	0	0.1895	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-Ro	noeB.fa	1674	1661	99.2234	44.1613	41	13	0.7766	1	0.4762	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-No	noeB.fa	1674	1663	99.3429	7032.4056	7413	11	0.6571	20	0.4848	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-2-2-Rh	noeB.fa	1674	1381	82.4970	373.2443	3	293	17.5030	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-2-2-Ro	noeB.fa	1674	1369	81.7802	5.5556	3	305	18.2198	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-3-2-No	noeB.fa	1674	1662	99.2832	3863.7139	4251	12	0.7168	3	0.2929	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-3-2-Rh	noeB.fa	1674	1437	85.8423	381.4468	252	237	14.1577	0	0.0177	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-3-2-Ro	noeB.fa	1674	1661	99.2234	15.7461	14	13	0.7766	1	0.3846	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-4-No	noeB.fa	1674	1662	99.2832	11.1870	11	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-4-Rh	noeB.fa	1674	1662	99.2832	112.9785	9	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-4-Ro	noeB.fa	1674	1662	99.2832	11.3315	12	12	0.7168	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-2-2-No	noeB.fa	1674	1663	99.3429	7128.6392	7501	11	0.6571	0	0.0364	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-5-1-Rh	noeB.fa	1674	1623	96.9534	7.5908	8	51	3.0466	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-5-1-Ro	noeB.fa	1674	1662	99.2832	48.8405	44	12	0.7168	29	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-5-1-No	noeB.fa	1674	1663	99.3429	7087.4916	7448	11	0.6571	31	0.4028	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-6-1-Ro	noeB.fa	1674	1660	99.1637	8.6517	9	14	0.8363	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-No	noeB.fa	1674	1663	99.3429	7158.1792	7547	11	0.6571	20	0.2690	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-8-1-Rh	noeB.fa	1674	1661	99.2234	302.7324	238	13	0.7766	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Ro	noeB.fa	1674	1662	99.2832	11.1995	11	12	0.7168	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-59-No	noeB.fa	1674	1632	97.4910	10.0221	11	42	2.5090	0	0.4375	20	10	5	0.2000	20	10	pass_single_dominant
DELA-26-3-Ro	noeB.fa	1674	1662	99.2832	14.1983	14	12	0.7168	1	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-14-1-Rh	noeB.fa	1674	1662	99.2832	8.6087	9	12	0.7168	0	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-15-1-Ro	noeB.fa	1674	1662	99.2832	13.0042	12	12	0.7168	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-7-1-Ro	noeB.fa	1674	1639	97.9092	7.2742	6	35	2.0908	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-DEST-32-1-No	noeB.fa	1674	1662	99.2832	38.7491	37	12	0.7168	0	0.1923	20	10	5	0.2000	20	10	pass_single_dominant
JORN-3-1-Rh	noeB.fa	1674	1662	99.2832	8.1589	8	12	0.7168	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-1-Ro	noeB.fa	1674	1662	99.2832	106.8763	82	12	0.7168	0	0.1257	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-6-1-Ro	noeB.fa	1674	1662	99.2832	8.8065	9	12	0.7168	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
LAJA-25-1-No	noeB.fa	1674	1632	97.4910	6.0962	5	42	2.5090	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
LENO-15-2-No	noeB.fa	1674	1662	99.2832	7.2109	6	12	0.7168	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-1-Rh	noeB.fa	1674	1376	82.1983	282.5251	2	298	17.8017	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-No	noeB.fa	1674	1663	99.3429	6700.0227	7101	11	0.6571	0	0.0218	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Rh	noeB.fa	1674	1659	99.1039	256.7915	9	15	0.8961	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Ro	noeB.fa	1674	1662	99.2832	9.2270	8	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-No	noeB.fa	1674	1663	99.3429	6256.2622	6729	11	0.6571	0	0.0133	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Rh	noeB.fa	1674	1662	99.2832	8.9815	9	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Ro	noeB.fa	1674	1664	99.4026	5472.0185	5750	10	0.5974	0	0.0290	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-No	noeB.fa	1674	1663	99.3429	6943.5275	7312	11	0.6571	0	0.0358	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Rh	noeB.fa	1674	1662	99.2832	6.7288	7	12	0.7168	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Ro	noeB.fa	1674	1662	99.2832	360.6039	354	12	0.7168	0	0.0205	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-4-1-Ro	noeB.fa	1674	1662	99.2832	7050.8429	7416	12	0.7168	45	0.4991	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
NOGP-5-2-No	noeB.fa	1674	1662	99.2832	7281.7270	7651	12	0.7168	26	0.4782	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
NOGP-5-2-Rh	noeB.fa	1674	1659	99.1039	190.2897	9	15	0.8961	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-5-2-Ro	noeB.fa	1674	1662	99.2832	2487.6290	2427	12	0.7168	0	0.0914	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-No	noeB.fa	1674	1662	99.2832	6887.3471	7274	12	0.7168	0	0.1726	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-6-3-Rh	noeB.fa	1674	1662	99.2832	92.9659	6	12	0.7168	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
