sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-No	nolF.fa	1110	1095	98.6486	9.5063	9	15	1.3514	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Rh	nolF.fa	1110	1066	96.0360	13.7351	13	44	3.9640	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Ro	nolF.fa	1110	1103	99.3694	29.4297	13	7	0.6306	3	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-No	nolF.fa	1110	1068	96.2162	22.5793	24	42	3.7838	7	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Rh	nolF.fa	1110	1104	99.4595	13.2676	13	6	0.5405	2	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-No	nolF.fa	1110	1090	98.1982	28.3234	30	20	1.8018	0	0.1944	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Rh	nolF.fa	1110	1103	99.3694	8.3495	9	7	0.6306	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Ro	nolF.fa	1110	1086	97.8378	11.8568	12	24	2.1622	1	0.4706	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-No	nolF.fa	1110	1057	95.2252	6.7847	7	53	4.7748	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Rh	nolF.fa	1110	1103	99.3694	6.9036	7	7	0.6306	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Ro	nolF.fa	1110	1103	99.3694	553.8532	510	7	0.6306	1	0.2014	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	nolF.fa	1110	1101	99.1892	10.0847	11	9	0.8108	0	0.3571	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-1-1-Ro	nolF.fa	1110	1028	92.6126	7.8414	9	82	7.3874	0	0.2222	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-18-1-Rh	nolF.fa	1110	1025	92.3423	7.9468	5	85	7.6577	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-26-1-Rh	nolF.fa	1110	1103	99.3694	11.3541	12	7	0.6306	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-40-1-Ro	nolF.fa	1110	1100	99.0991	9.0459	8	10	0.9009	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-5-2-No	nolF.fa	1110	1099	99.0090	15.1378	17	11	0.9910	0	0.0909	20	10	5	0.2000	20	10	pass_single_dominant
CPER-1-Rh	nolF.fa	1110	1063	95.7658	134.7342	3	47	4.2342	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
