gene	gene_group	report_wording
nifH	nif	nif nitrogen-fixation gene
nifD	nif	nif nitrogen-fixation gene
nifK	nif	nif nitrogen-fixation gene
nifJ	nif	nif nitrogen-fixation gene
nodL	canonical nod	canonical nod gene
nolG	accessory nodulation/symbiosis-related	accessory nodulation/symbiosis-related gene
nolF	accessory nodulation/symbiosis-related	accessory nodulation/symbiosis-related gene
noeA	accessory nodulation/symbiosis-related	accessory nodulation/symbiosis-related gene
noeB	accessory nodulation/symbiosis-related	accessory nodulation/symbiosis-related gene
nodX	canonical nod	canonical nod gene
