gene	gene_group	tree_set	tree_set_label	input_alignment_sequences	alignment_length	iqtree_taxa_or_tips	best_model	tree_length	final_bootstrap_correlation	bootstrap_status
nifD	nif	iupac	Mixed-IUPAC	1464	1532	1458	GTR+F+I+R10	34.697	0.918	not_converged
nifD	nif	strict	Strict single-dominant	348	1532	348	GTR+F+I+R6	10.328	0.992	converged
nifH	nif	iupac	Mixed-IUPAC	1538	997	1532	GTR+F+I+R9	27.178	0.939	not_converged
nifH	nif	strict	Strict single-dominant	387	997	387	GTR+F+R6	9.85	0.99	converged
nifJ	nif	iupac	Mixed-IUPAC	325	3678	325	TVM+F+R5	2.646	0.947	not_converged
nifJ	nif	strict	Strict single-dominant	181	3584	181	TVM+F+I+R3	1.411	0.961	not_converged
nifK	nif	iupac	Mixed-IUPAC	1052	1542	1046	GTR+F+R9	24.723	0.835	not_converged
nifK	nif	strict	Strict single-dominant	455	1588	455	GTR+F+I+R6	12.807	0.903	not_converged
nodL	canonical nod	iupac	Mixed-IUPAC	230	612	210	TIM3+F+I+G4	1.252	0.967	not_converged
nodL	canonical nod	strict	Strict single-dominant	216	612	189	TIM3+F+I+G4	1.268	0.993	converged
nodX	canonical nod	iupac	Mixed-IUPAC	133	1121	109	HKY+F+R3	0.319	0.992	converged
nodX	canonical nod	strict	Strict single-dominant	129	1121	102	HKY+F+R3	0.358	0.996	converged
noeA	accessory nodulation/symbiosis-related	iupac	Mixed-IUPAC	195	1431	194	HKY+I	0.076	0.993	converged
noeA	accessory nodulation/symbiosis-related	strict	Strict single-dominant	193	1431	176	HKY+I+G4	0.11	0.991	converged
noeB	accessory nodulation/symbiosis-related	iupac	Mixed-IUPAC	149	1674	134	TPM3u+I+G4	0.207	0.991	converged
noeB	accessory nodulation/symbiosis-related	strict	Strict single-dominant	132	1674	105	TPM3u+I+G4	0.248	0.994	converged
nolF	accessory nodulation/symbiosis-related	iupac	Mixed-IUPAC	209	1110	202	HKY+F+I+G4	0.112	0.975	not_converged
nolF	accessory nodulation/symbiosis-related	strict	Strict single-dominant	208	1110	176	HKY+F+R3	0.181	0.991	converged
nolG	accessory nodulation/symbiosis-related	iupac	Mixed-IUPAC	229	3198	218	TIM3+F+I+G4	0.162	0.915	not_converged
nolG	accessory nodulation/symbiosis-related	strict	Strict single-dominant	201	3198	176	TPM3u+F+R4	0.17	0.992	converged
