gene	metadata_category	test	p_value	note	p_adjust_BH_within_metadata
nifH	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifD	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifK	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifJ	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nodL	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nolG	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nolF	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
noeA	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
noeB	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nodX	host_genus	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifH	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifD	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifK	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifJ	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nodL	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nolG	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nolF	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
noeA	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
noeB	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nodX	host_tribe	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	9.999000099990002e-5
nifH	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nifD	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nifK	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nodL	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nolG	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nolF	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
noeA	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
noeB	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nodX	native_status	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	1.1110000111100002e-4
nifJ	native_status	chi_square_or_simulated_chi_square	0.23547645235476453	screening_only_not_phylogenetic_clustering	0.23547645235476453
nifK	sample_type	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	4.999500049995e-4
nifJ	sample_type	chi_square_or_simulated_chi_square	9.999000099990002e-5	screening_only_not_phylogenetic_clustering	4.999500049995e-4
nifD	sample_type	chi_square_or_simulated_chi_square	1.9998000199980003e-4	screening_only_not_phylogenetic_clustering	6.666000066660002e-4
nifH	sample_type	chi_square_or_simulated_chi_square	4.999500049995e-4	screening_only_not_phylogenetic_clustering	0.00124987501249875
nodL	sample_type	chi_square_or_simulated_chi_square	0.0188981101889811	screening_only_not_phylogenetic_clustering	0.0377962203779622
noeB	sample_type	chi_square_or_simulated_chi_square	0.11768823117688232	screening_only_not_phylogenetic_clustering	0.19614705196147053
