gene	tree_set	tree_set_label	label_type	phylocom_status	p_mpd_cluster	p_mntd_cluster	plot	ntaxa	mpd	mpd.rnd	mpd.sd	nri	mpd.ranklow	mpd.rankhi	mntd	mntd.rnd	mntd.sd	nti	mntd.ranklo	mntd.rankhi	runs	label_value	fdr_mpd	fdr_mntd	interpretation
nifH	strict	Strict single-dominant	sample_type	ok	1	0.001	sample_type_nodule	211	0.2539	0.2352	0.0044	-4.2919	0	999	0.0305	0.0377	0.0016	4.3874	999	0	999	nodule	1	0.03	significant clustering by MNTD
nifH	strict	Strict single-dominant	sample_type	ok	0.001	0.983	sample_type_rhizosphere	96	0.1822	0.2303	0.0087	5.5027	999	0	0.0565	0.0482	0.0038	-2.1754	17	982	999	rhizosphere	0.015	0.999	significant clustering by MPD
nifH	strict	Strict single-dominant	sample_type	ok	0.012	0.494	sample_type_root	73	0.2048	0.2312	0.0105	2.5253	988	11	0.053900000000000003	0.0541	0.0052	0.0388	506	493	999	root	0.09	0.8178947368421053	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.87	0.431	site_clbj	21	0.2594	0.2359	0.0203	-1.1616	130	869	0.083	0.0855	0.0133	0.1909	569	430	999	CLBJ	0.9921052631578947	0.6157142857142858	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.001	0.001	site_cper	6	0.0882	0.2347	0.043	3.4055	999	0	0.0412	0.1382	0.0338	2.8707	999	0	999	CPER	0.005652173913043478	0.008125	significant clustering by MPD
nifH	strict	Strict single-dominant	site	ok	0.007	0.003	site_deju	13	0.1581	0.2316	0.0268	2.7421	993	6	0.0488	0.1018	0.0181	2.9261	997	2	999	DEJU	0.024594594594594597	0.01625	significant clustering by MPD
nifH	strict	Strict single-dominant	site	ok	0.979	0.332	site_dela	14	0.2808	0.2295	0.0259	-1.976	21	978	0.0912	0.0986	0.0173	0.4301	668	331	999	DELA	1	0.52	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.403	0.897	site_dsny	23	0.2235	0.2283	0.0196	0.2487	597	402	0.0982	0.0829	0.012	-1.2762	103	896	999	DSNY	0.5757142857142857	0.9366141732283465	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.076	0.118	site_guan	7	0.1724	0.2273	0.0382	1.4361	924	75	0.0921	0.1262	0.029	1.1776	882	117	999	GUAN	0.16745762711864406	0.26	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.27	0.004	site_jerc	69	0.2243	0.2304	0.0103	0.5919	730	269	0.0419	0.0551	0.0052	2.5148	996	3	999	JERC	0.43875000000000003	0.018571428571428572	significant clustering by MNTD
nifH	strict	Strict single-dominant	site	ok	0.208	0.033	site_konz	6	0.1944	0.2318	0.0432	0.8658	792	207	0.0776	0.138	0.0336	1.7934	967	32	999	KONZ	0.3557894736842105	0.10214285714285715	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.82	0.586	site_laja	8	0.2688	0.2332	0.0378	-0.9422	180	819	0.1284	0.1225	0.027	-0.2179	414	585	999	LAJA	0.964070796460177	0.7542574257425743	not significant / weak evidence
nifH	strict	Strict single-dominant	site	ok	0.04	0.001	site_leno	13	0.1796	0.2299	0.0289	1.7361	960	39	0.0297	0.0998	0.0184	3.8077	999	0	999	LENO	0.10612244897959183	0.008125	significant clustering by MNTD
nifH	strict	Strict single-dominant	site	ok	0.001	0.001	site_nogp	8	0.0297	0.2315	0.0366	5.5085	999	0	0.0129	0.1211	0.0257	4.2139	999	0	999	NOGP	0.005652173913043478	0.008125	significant clustering by MPD
nifH	strict	Strict single-dominant	site	ok	0.001	0.001	site_oaes	50	0.1471	0.2288	0.0125	6.5303	999	0	0.0297	0.06	0.0066	4.562	999	0	999	OAES	0.005652173913043478	0.008125	significant clustering by MPD
nifH	strict	Strict single-dominant	site	ok	0.105	0.631	site_osbs	26	0.1987	0.2243	0.0192	1.3308	895	104	0.0797	0.0761	0.0115	-0.3172	369	630	999	OSBS	0.20878787878787877	0.8042156862745098	not significant / weak evidence
