gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Azorhizobium	37	0.1039	0.3069	9.4996	0.001	0.0020714285714285717	0.0321	0.0938	5.5128	0.001	0.002230769230769231	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	23	0.2153	0.3045	3.4028	0.001	0.0020714285714285717	0.0771	0.108	1.9548	0.02	0.03866666666666667	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	455	0.2734	0.2997	5.1201	0.001	0.0020714285714285717	0.0332	0.042	6.4649	0.001	0.002230769230769231	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Methylobacterium	17	0.1719	0.2935	3.7812	0.001	0.0020714285714285717	0.0514	0.1196	3.4921	0.001	0.002230769230769231	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	564	0.2706	0.297	5.7572	0.001	0.0020714285714285717	0.0386	0.04	1.3334	0.088	0.14177777777777778	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	247	0.2496	0.3034	6.6185	0.001	0.0020714285714285717	0.0402	0.0526	5.3659	0.001	0.002230769230769231	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Ensifer	31	0.2695	0.3053	1.5405	0.058	0.09894117647058824	0.1016	0.0995	-0.1732	0.562	0.7408181818181818	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Burkholderia	6	0.2255	0.3048	1.375	0.071	0.11438888888888889	0.1399	0.1764	0.8263	0.209	0.319	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	82	0.3812	0.3036	-5.3902	1	1	0.039	0.0752	6.3863	0.001	0.002230769230769231	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Astragalus	122	0.1922	0.3035	9.5725	0.001	0.006366666666666666	0.0326	0.064	7.3744	0.001	0.004897435897435898	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Clitoria	14	0.1637	0.295	3.6892	0.001	0.006366666666666666	0.087	0.1256	1.6065	0.041	0.09912658227848102	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Crotalaria	62	0.2255	0.2949	4.2206	0.001	0.006366666666666666	0.0666	0.0786	1.6502	0.048	0.10660465116279069	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Indigofera	14	0.1652	0.2962	3.4368	0.001	0.006366666666666666	0.0896	0.1272	1.6081	0.047	0.10561176470588235	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Lotus	24	0.0457	0.2972	8.693	0.001	0.006366666666666666	0.0106	0.10780000000000001	6.4189	0.001	0.004897435897435898	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Medicago	57	0.1741	0.3021	7.286	0.001	0.006366666666666666	0.0359	0.0836	5.9299	0.001	0.004897435897435898	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Melilotus	34	0.1544	0.303	6.2139	0.001	0.006366666666666666	0.0441	0.0979	4.7007	0.001	0.004897435897435898	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Vicia	22	0.2038	0.3015	3.5087	0.001	0.006366666666666666	0.0485	0.1106	3.9496000000000002	0.001	0.004897435897435898	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Galactia	47	0.2293	0.2939	3.1861	0.002	0.010914285714285715	0.0706	0.0862	1.6678	0.047	0.10561176470588235	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Oxytropis	23	0.2127	0.3038	3.1581	0.002	0.010914285714285715	0.0466	0.1103	3.9396	0.001	0.004897435897435898	significant clustering by MPD
