gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation	best_nri_for_label	label_rank
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Azorhizobium	37	0.1039	0.3069	9.4996	0.001	0.0020714285714285717	0.0321	0.0938	5.5128	0.001	0.002230769230769231	significant clustering by MPD	9.4996	5
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	23	0.2153	0.3045	3.4028	0.001	0.0020714285714285717	0.0771	0.108	1.9548	0.02	0.03866666666666667	significant clustering by MPD	13.7446	4
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	455	0.2734	0.2997	5.1201	0.001	0.0020714285714285717	0.0332	0.042	6.4649	0.001	0.002230769230769231	significant clustering by MPD	20.9686	1
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Methylobacterium	17	0.1719	0.2935	3.7812	0.001	0.0020714285714285717	0.0514	0.1196	3.4921	0.001	0.002230769230769231	significant clustering by MPD	3.7812	6
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	564	0.2706	0.297	5.7572	0.001	0.0020714285714285717	0.0386	0.04	1.3334	0.088	0.14177777777777778	significant clustering by MPD	14.4153	3
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	247	0.2496	0.3034	6.6185	0.001	0.0020714285714285717	0.0402	0.0526	5.3659	0.001	0.002230769230769231	significant clustering by MPD	16.3398	2
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Ensifer	31	0.2695	0.3053	1.5405	0.058	0.09894117647058824	0.1016	0.0995	-0.1732	0.562	0.7408181818181818	not significant / weak evidence	1.5405	8
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Burkholderia	6	0.2255	0.3048	1.375	0.071	0.11438888888888889	0.1399	0.1764	0.8263	0.209	0.319	not significant / weak evidence	1.375	9
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	82	0.3812	0.3036	-5.3902	1	1	0.039	0.0752	6.3863	0.001	0.002230769230769231	significant clustering by MNTD	-2.112	10
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	253	0.1514	0.2303	13.7446	0.001	0.0020714285714285717	0.0221	0.0387	8.8474	0.001	0.002230769230769231	significant clustering by MPD	13.7446	4
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	638	0.2153	0.2285	4.3882	0.001	0.0020714285714285717	0.0229	0.0279	6.9782	0.001	0.002230769230769231	significant clustering by MPD	20.9686	1
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	291	0.1947	0.2319	7.2879	0.001	0.0020714285714285717	0.037	0.0371	0.0323	0.492	0.6794285714285714	significant clustering by MPD	14.4153	3
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Neorhizobium	25	0.1924	0.2343	2.2384	0.013	0.0235625	0.0408	0.0871	3.8326	0.001	0.002230769230769231	significant clustering by MPD	2.2384	7
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Burkholderia	28	0.28	0.2292	-2.793	0.999	1	0.0579	0.0824	2.1394	0.013	0.02692857142857143	significant clustering by MNTD	1.375	9
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Ensifer	22	0.2898	0.2293	-2.9244	0.998	1	0.1122	0.0897	-1.699	0.956	1	not significant / weak evidence	1.5405	8
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	149	0.2643	0.2351	-3.8231	1	1	0.0315	0.0473	5.3445	0.001	0.002230769230769231	significant clustering by MNTD	-2.112	10
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	129	0.2627	0.2323	-3.5141	1	1	0.0313	0.0499	5.5543	0.001	0.002230769230769231	significant clustering by MNTD	16.3398	2
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	382	0.2273	0.33	20.9686	0.001	0.0020714285714285717	0.032	0.0401	6.1363	0.001	0.002230769230769231	significant clustering by MPD	20.9686	1
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	176	0.1966	0.3224	14.4153	0.001	0.0020714285714285717	0.0403	0.0506	3.9755	0.001	0.002230769230769231	significant clustering by MPD	14.4153	3
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	354	0.2348	0.3242	16.3398	0.001	0.0020714285714285717	0.0381	0.041	2.0843	0.022	0.039875	significant clustering by MPD	16.3398	2
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	140	0.4668	0.3225	-14.4682	1	1	0.0383	0.0549	5.2967	0.001	0.002230769230769231	significant clustering by MNTD	-2.112	10
nodL	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	211	0.0388	0.0578	9.8439	0.001	0.0020714285714285717	0.0046	0.0052	1.967	0.049	0.08358823529411764	significant clustering by MPD	16.3398	2
nodL	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	19	0.1085	0.0649	-2.112	0.983	1	0.0148	0.0167	0.2813	0.403	0.58435	not significant / weak evidence	-2.112	10
nodX	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	133	0.0369	0.0369	-5.1218	1	1	0.0014	0.0014	0.9995	1	1	not significant / weak evidence	-2.112	10
noeA	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	194	0.0034	0.0034	2.3998	0.007	0.013533333333333333	3e-4	3e-4	0.9995	1	1	significant clustering by MPD	16.3398	2
noeB	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	149	0.0137	0.0137	-0.3845	0.65	0.9425	0.0013	0.0013	NA	1	1	not significant / weak evidence	16.3398	2
nolF	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	209	0.0075	0.0075	1.1586	0.126	0.19231578947368422	4e-4	4e-4	-0.9995	1	1	not significant / weak evidence	16.3398	2
nolG	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	229	0.008	0.008	4.2463	0.001	0.0020714285714285717	7e-4	7e-4	0.9995	1	1	significant clustering by MPD	16.3398	2
nifD	strict	Strict single-dominant	closest_blast_genus	Azorhizobium	16	0.0679	0.2434	7.1525	0.001	0.0023636363636363638	0.03	0.0973	3.3328	0.001	0.006500000000000001	significant clustering by MPD	7.1525	4
nifD	strict	Strict single-dominant	closest_blast_genus	Mesorhizobium	104	0.194	0.2457	7.0643	0.001	0.0023636363636363638	0.0429	0.0543	2.6842	0.006	0.015600000000000001	significant clustering by MPD	16.2581	2
nifD	strict	Strict single-dominant	closest_blast_genus	Microvirga	107	0.1926	0.2445	7.3428	0.001	0.0023636363636363638	0.0462	0.0522	1.4312	0.072	0.1337142857142857	significant clustering by MPD	11.7235	3
nifD	strict	Strict single-dominant	closest_blast_genus	Bradyrhizobium	6	0.0602	0.2434	4.3757	0.002	0.004333333333333333	0.0375	0.143	2.5656	0.006	0.015600000000000001	significant clustering by MPD	4.3757	5
