tree_set	tree_set_label	gene	closest_genus_report	n	gene_total	percent	phylocom_ntaxa	expected_ntaxa	ntaxa_matches_expected	n_matches_phylocom_ntaxa	n_matches_expected_ntaxa
iupac	Mixed-IUPAC	nifD	Microvirga	564	1462	38.57729138166895	564	564	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Mesorhizobium	455	1462	31.12175102599179	455	455	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Sinorhizobium	247	1462	16.89466484268126	247	247	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Rhizobium	82	1462	5.60875512995896	82	82	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Azorhizobium	37	1462	2.53077975376197	37	37	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Ensifer	31	1462	2.1203830369357046	31	31	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Bradyrhizobium	23	1462	1.573187414500684	23	23	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Methylobacterium	17	1462	1.1627906976744187	17	17	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Burkholderia	6	1462	0.4103967168262654	6	6	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Mesorhizobium	597	1538	38.81664499349805	597	597	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Bradyrhizobium	416	1538	27.048114434330298	416	416	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Microvirga	220	1538	14.304291287386215	220	220	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Rhizobium	128	1538	8.322496749024708	128	128	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Sinorhizobium	104	1538	6.7620286085825745	104	104	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Burkholderia	31	1538	2.0156046814044215	31	31	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Neorhizobium	21	1538	1.365409622886866	21	21	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Ensifer	17	1538	1.105331599479844	17	17	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifJ	Candidatus	325	325	100	325	325	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifK	Mesorhizobium	382	1052	36.31178707224335	382	382	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifK	Sinorhizobium	354	1052	33.650190114068444	354	354	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifK	Microvirga	176	1052	16.730038022813687	176	176	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nifK	Rhizobium	140	1052	13.307984790874524	140	140	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nodL	Sinorhizobium	211	230	91.73913043478261	211	211	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nodL	Rhizobium	19	230	8.26086956521739	19	19	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nodX	Rhizobium	133	133	100	133	133	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	noeA	Sinorhizobium	194	195	99.48717948717949	194	194	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	noeB	Sinorhizobium	149	149	100	149	149	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nolF	Sinorhizobium	209	209	100	209	209	TRUE	TRUE	TRUE
iupac	Mixed-IUPAC	nolG	Sinorhizobium	229	229	100	229	229	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifD	Microvirga	107	348	30.74712643678161	107	107	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifD	Mesorhizobium	104	348	29.885057471264368	104	104	TRUE	TRUE	TRUE
