gene	tree_set	tree_set_label	label_type	label_type_report	phylocom_status	p_mpd_cluster	p_mntd_cluster	ntaxa_matches_expected	plot	ntaxa	mpd	mpd_rnd	mpd_sd	nri	mpd_ranklow	mpd_rankhi	mntd	mntd_rnd	mntd_sd	nti	mntd_ranklo	mntd_rankhi	runs	label_value	expected_ntaxa	fdr_mpd	fdr_mntd	interpretation	mpd_random	mntd_random
nifH	strict	Strict single-dominant	sample_type	Sample type	ok	1	0.001	TRUE	sample_type_nodule	211	0.2539	0.2352	0.0045	-4.1994	0	999	0.0305	0.0376	0.0017	4.2838	999	0	999	nodule	211	1	0.03	significant clustering by MNTD	NA	NA
nifH	strict	Strict single-dominant	sample_type	Sample type	ok	0.001	0.982	TRUE	sample_type_rhizosphere	96	0.1822	0.2302	0.0089	5.3759	999	0	0.0565	0.0483	0.0039	-2.0937	18	981	999	rhizosphere	96	0.01	1	significant clustering by MPD	NA	NA
nifH	strict	Strict single-dominant	sample_type	Sample type	ok	0.009	0.459	TRUE	sample_type_root	73	0.2048	0.2314	0.0105	2.5466	991	8	0.053900000000000003	0.0544	0.0051	0.1097	541	458	999	root	73	0.06749999999999999	0.8205	not significant / weak evidence	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.869	0.401	TRUE	site_clbj	21	0.2594	0.2369	0.0206	-1.0943	131	868	0.083	0.0864	0.013	0.2617	599	400	999	CLBJ	21	0.9906896551724137	0.5821111111111111	not significant / weak evidence	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.001	0.002	TRUE	site_cper	6	0.0882	0.237	0.0415	3.5888	999	0	0.0412	0.139	0.0335	2.9229	998	1	999	CPER	6	0.005909090909090909	0.012380952380952381	significant clustering by MPD	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.004	0.001	TRUE	site_deju	13	0.1581	0.2329	0.0261	2.8617	996	3	0.0488	0.1016	0.0183	2.8913	999	0	999	DEJU	13	0.016774193548387096	0.007222222222222223	significant clustering by MPD	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.978	0.309	TRUE	site_dela	14	0.2808	0.2311	0.0264	-1.882	22	977	0.0912	0.0995	0.0176	0.4744	691	308	999	DELA	14	1	0.502125	not significant / weak evidence	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.363	0.89	TRUE	site_dsny	23	0.2235	0.2296	0.0195	0.3144	637	362	0.0982	0.0825	0.0125	-1.2532	110	889	999	DSNY	23	0.53625	0.935390625	not significant / weak evidence	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.083	0.118	TRUE	site_guan	7	0.1724	0.2267	0.0387	1.4039	917	82	0.0921	0.1255	0.0283	1.1821	882	117	999	GUAN	7	0.17983333333333332	0.2644827586206896	not significant / weak evidence	NA	NA
nifH	strict	Strict single-dominant	site	Site	ok	0.292	0.008	TRUE	site_jerc	69	0.2243	0.23	0.0106	0.5326	708	291	0.0419	0.0545	0.0053	2.4026	992	7	999	JERC	69	0.46864197530864193	0.03354838709677419	significant clustering by MNTD	NA	NA
