gene	tree_set	tree_set_label	label_type	label_type_report	label_value	expected_ntaxa	ntaxa	ntaxa_matches_expected	mpd	mpd_random	mpd_sd	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	mntd_sd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	phylocom_status	interpretation
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Azorhizobium	37	37	TRUE	0.1039	0.3074	0.0206	9.8619	0.001	0.002230769230769231	0.0321	0.0939	0.0111	5.5878	0.001	0.002230769230769231	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Mesorhizobium	455	455	TRUE	0.2734	0.3	0.0051	5.195	0.001	0.002230769230769231	0.0332	0.0421	0.0013	6.7344	0.001	0.002230769230769231	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Methylobacterium	17	17	TRUE	0.1719	0.2959	0.033	3.7628	0.001	0.002230769230769231	0.0514	0.1199	0.0197	3.4708	0.001	0.002230769230769231	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Microvirga	564	564	TRUE	0.2706	0.2967	0.0047	5.5551	0.001	0.002230769230769231	0.0386	0.0399	0.001	1.2955	0.096	0.15466666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Sinorhizobium	247	247	TRUE	0.2496	0.3033	0.0076	7.091	0.001	0.002230769230769231	0.0402	0.0528	0.0023	5.4529	0.001	0.002230769230769231	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Bradyrhizobium	23	23	TRUE	0.2153	0.3048	0.0263	3.4056	0.002	0.0038666666666666667	0.0771	0.1075	0.0159	1.9118	0.026	0.047125	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Ensifer	31	31	TRUE	0.2695	0.3057	0.024	1.5065	0.064	0.10917647058823529	0.1016	0.0999	0.0129	-0.1285	0.561	0.7747142857142858	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Burkholderia	6	6	TRUE	0.2255	0.3024	0.0575	1.3379	0.08	0.1288888888888889	0.1399	0.1747	0.0444	0.7826	0.209	0.319	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Closest BLAST genus	Rhizobium	82	82	TRUE	0.3812	0.3036	0.0141	-5.5235	1	1	0.039	0.0754	0.006	6.0567	0.001	0.002230769230769231	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Astragalus	121	121	TRUE	0.1929	0.3035	0.0111	9.9738	0.001	0.006821428571428571	0.0329	0.0645	0.0042	7.5803	0.001	0.004547619047619048	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Clitoria	14	14	TRUE	0.1637	0.2958	0.0361	3.6626	0.001	0.006821428571428571	0.087	0.1243	0.0228	1.6376	0.049	0.11141666666666666	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Crotalaria	62	62	TRUE	0.2255	0.2948	0.0163	4.2437	0.001	0.006821428571428571	0.0666	0.0792	0.0076	1.653	0.045	0.1048170731707317	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Indigofera	14	14	TRUE	0.1652	0.296	0.0372	3.516	0.001	0.006821428571428571	0.0896	0.1268	0.023	1.6153	0.051	0.11416091954022987	999	5	ok	significant clustering by MPD
