tree_set	tree_set_label	gene	closest_genus_report	n	gene_total	percent	phylocom_ntaxa	expected_ntaxa	nri	mpd	mpd_random	p_mpd_cluster	fdr_mpd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	interpretation	n_matches_phylocom_ntaxa	n_matches_expected_ntaxa
iupac	Mixed-IUPAC	nifD	Microvirga	564	1462	38.57729138166895	564	564	5.7008	0.2706	0.2969	0.001	0.00207142857142857	1.3387	0.088	0.14177777777777778	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Mesorhizobium	455	1462	31.12175102599179	455	455	5.0704	0.2734	0.2998	0.001	0.00207142857142857	6.4673	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Sinorhizobium	247	1462	16.89466484268126	247	247	6.974	0.2496	0.3036	0.001	0.00207142857142857	5.409	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Rhizobium	82	1462	5.60875512995896	82	82	-5.3059	0.3812	0.3027	1	1	6.1525	0.001	0.00241666666666666	999	5	significant clustering by MNTD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Azorhizobium	37	1462	2.53077975376197	37	37	9.3344	0.1039	0.3059	0.001	0.00207142857142857	5.6114	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Ensifer	31	1462	2.1203830369357046	31	31	1.5188	0.2695	0.3046	0.061	0.10405882352941176	-0.1987	0.58	0.8009523809523809	999	5	not significant / weak evidence	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Bradyrhizobium	23	1462	1.573187414500684	23	23	3.2937	0.2153	0.30620000000000003	0.001	0.00207142857142857	1.8939	0.029	0.0525625	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Methylobacterium	17	1462	1.162790697674419	17	17	3.6715	0.1719	0.2965	0.001	0.00207142857142857	3.4338	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifD	Burkholderia	6	1462	0.4103967168262654	6	6	1.3212	0.2255	0.3041	0.093	0.14983333333333335	0.7446	0.256	0.3907368421052632	999	5	not significant / weak evidence	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Mesorhizobium	597	1538	38.81664499349805	597	597	5.5921	0.2112	0.2288	0.001	0.00207142857142857	7.0431	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Bradyrhizobium	416	1538	27.048114434330294	416	416	16.5468	0.1579	0.2298	0.001	0.00207142857142857	11.7465	0.001	0.00241666666666666	999	5	significant clustering by MPD	TRUE	TRUE
iupac	Mixed-IUPAC	nifH	Microvirga	220	1538	14.304291287386215	220	220	4.3844	0.2077	0.2333	0.001	0.00207142857142857	-2.6855	0.992	1	999	5	significant clustering by MPD	TRUE	TRUE
