gene	0-20%	20-40%	40-60%	60-80%	80-100%
noeI	0	0	0	0	0
nodP	426	243	116	9	2
nifT	66	37	20	23	43
fixX	2	0	0	0	0
nifD	0	24	197	978	1497
nolG	32	5	0	1	230
rhcQ	1	0	0	0	0
fixP	1	0	1	2	2
nifS	173	32	0	0	0
nolF	3	2	1	2	209
nifK	58	388	321	357	1088
fixO	5	0	0	1	2
nifB	192	842	803	383	24
rpoN	0	1	0	0	0
nifZ	131	247	15	1	0
nodF	0	0	0	0	3
nifJ	226	201	118	190	328
fixN	1	2	1	2	3
fdxN	111	73	40	59	110
nifA	156	1	0	0	0
nodU	190	245	47	25	0
nolU	41	46	38	33	75
nifY	0	0	0	0	0
nodE	0	0	3	0	0
noeE	32	0	0	0	0
nodL	231	69	44	44	239
nolL	175	10	0	0	0
nifQ	227	230	33	15	0
fixU	45	256	101	106	4
nodT	0	0	0	0	0
nifX	17	61	68	107	59
nodD	66	118	173	90	6
nfeD	790	10	0	0	0
nifH	0	8	144	1031	1572
rhcN	0	0	0	1	0
fixL	0	0	0	0	0
nopP	59	313	111	19	30
nodS	51	76	22	51	0
nifW	7	2	0	0	0
nodC	29	392	481	316	8
rhcT	0	0	0	0	0
fixC	0	0	0	0	0
nodB	46	68	21	48	51
nolB	3	14	7	0	0
nodZ	54	275	202	35	11
fixK	0	0	0	0	0
nodJ	52	209	334	107	7
nifN	344	18	0	0	0
fixB	9	0	0	0	0
nodA	64	116	94	48	0
nifV	7	7	0	0	0
nopM	1	0	0	1	0
fixJ	0	0	0	0	0
noeB	3	0	1	7	149
nodI	48	480	641	487	43
nifM	0	0	0	0	0
Irr	43	116	221	36	7
rhcS	0	0	0	0	1
fixQ	0	0	0	0	1
fixA	27	22	0	0	0
nopE	0	0	0	0	0
noeJ	1	0	0	0	0
nodQ	62	0	1	2	1
nifU	0	0	0	0	0
nopL	0	0	0	0	0
nifE	124	700	1067	83	0
nodX	19	25	7	16	137
fdxB	129	46	28	66	34
nolX	3	0	0	0	0
noeA	3	1	0	2	197
nodH	6	8	9	0	2
rhcR	0	0	0	0	1
