Sample ID,Domain,Species,Date finalized,Qubit average,Total DNA,NebNext protocol,Isotope reference name,Sample preservation,Type,Family,Site,Genus,Tribe,Plot simple,County,State,native,Lat,Long,Date (field collection)
OAES_19-2-Rh,D11,Melilotus officinalis,6/4/24,0,0,Quarter,OAES-19,ethanol,rhizosphere,Fabaceae,OAES,Melilotus,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES_19-2-No,D11,Melilotus officinalis,6/4/24,0.1345,26.631,Quarter,OAES-19,ethanol,nodule,Fabaceae,OAES,Melilotus,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES_19-2-Ro,D11,Melilotus officinalis,6/4/24,0,0,Quarter,OAES-19,ethanol,root,Fabaceae,OAES,Melilotus,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES-20-Rh,D11,Dalea enneandra,6/4/24,0,0,Quarter,OAES-20,ethanol,rhizosphere,Fabaceae,OAES,Dalea,Amorpheae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-20-No,D11,Dalea enneandra,6/4/24,0,0,Quarter,OAES-20,ethanol,nodule,Fabaceae,OAES,Dalea,Amorpheae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-20-Ro,D11,Dalea enneandra,6/4/24,0,0,Quarter,OAES-20,ethanol,root,Fabaceae,OAES,Dalea,Amorpheae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-21-3-Rh,D11,Astragalus plattensis,6/4/24,0,0,Quarter,OAES-21,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-21-3-No,D11,Astragalus plattensis,6/4/24,0.7035,139.293,Quarter,OAES-21,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-21-3-Ro,D11,Astragalus plattensis,6/4/24,0,0,Quarter,OAES-21,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-22-1-Rh,D11,Medicago minima,6/4/24,0,0,Quarter,OAES-22,ethanol,rhizosphere,Fabaceae,OAES,Medicago,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES-22-1-No,D11,Medicago minima,6/4/24,0.1165,23.067,Quarter,OAES-22,ethanol,nodule,Fabaceae,OAES,Medicago,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES-22-1-Ro,D11,Medicago minima,6/4/24,0.1135,22.473,Quarter,OAES-22,ethanol,root,Fabaceae,OAES,Medicago,Trifolieae,OAES_012_R,Washita,OK,no,35.402943,-99.064829,4/16/24
OAES-23-1-Rh,D11,Astragalus lotiflorus,6/4/24,0,0,Quarter,OAES-23,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-23-1-No,D11,Astragalus lotiflorus,6/4/24,20.15,3989.7,Half,OAES-23,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-23-1-Ro,D11,Astragalus lotiflorus,6/4/24,0,0,Quarter,OAES-23,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES_24-3-Rh,D11,Astragalus nuttallianus var. austrinus,6/4/24,0,0,Quarter,OAES-24,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES_24-3-No,D11,Astragalus nuttallianus var. austrinus,6/4/24,0.5235,103.653,Quarter,OAES-24,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES_24-3-Ro,D11,Astragalus nuttallianus var. austrinus,6/4/24,0.105,20.79,Quarter,OAES-24,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_012_R,Washita,OK,yes,35.402943,-99.064829,4/16/24
OAES-25-1-Rh,D11,Astragalus nuttallianus var. nuttallianus,6/4/24,0,0,Quarter,OAES-25,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_007_R,Washita,OK,yes,35.419991,-99.0567264,4/17/24
