sample	site	sample_type	in_metadata_exact	match_status	metadata_sample_norm_match	n_norm_matches
BLAN-1-1-Rh	BLAN	Rh	yes	exact_match	BLAN-1-1-Rh	1
BLAN-1-1-Ro	BLAN	Ro	yes	exact_match	BLAN-1-1-Ro	1
BLAN-1-1-No	BLAN	No	yes	exact_match	BLAN-1-1-No	1
BLAN-2-1-Rh	BLAN	Rh	yes	exact_match	BLAN-2-1-Rh	1
BLAN-2-1-Ro	BLAN	Ro	yes	exact_match	BLAN-2-1-Ro	1
BLAN-2-1-No	BLAN	No	yes	exact_match	BLAN-2-1-No	1
BLAN-3-1-Rh	BLAN	Rh	yes	exact_match	BLAN-3-1-Rh	1
BLAN-3-1-Ro	BLAN	Ro	yes	exact_match	BLAN-3-1-Ro	1
BLAN-4-1-No	BLAN	No	yes	exact_match	BLAN-4-1-No	1
BLAN-4-1-Rh	BLAN	Rh	yes	exact_match	BLAN-4-1-Rh	1
BLAN-4-1-Ro	BLAN	Ro	yes	exact_match	BLAN-4-1-Ro	1
BLAN-4-2-No	BLAN	No	yes	exact_match	BLAN-4-2-No	1
BLAN-4-2-Rh	BLAN	Rh	yes	exact_match	BLAN-4-2-Rh	1
BLAN-4-2-Ro	BLAN	Ro	yes	exact_match	BLAN-4-2-Ro	1
BLAN-3-1-No	BLAN	No	yes	exact_match	BLAN-3-1-No	1
BONA-10-2-Rh	BONA	Rh	yes	exact_match	BONA-10-2-Rh	1
BONA-10-2-Ro	BONA	Ro	yes	exact_match	BONA-10-2-Ro	1
BONA-10-2-No	BONA	No	yes	exact_match	BONA-10-2-No	1
BONA-10-Rh	BONA	Rh	yes	exact_match	BONA-10-Rh	1
BONA-10-Ro	BONA	Ro	yes	exact_match	BONA-10-Ro	1
BONA-10-No	BONA	No	yes	exact_match	BONA-10-No	1
BONA-11-1-Rh	BONA	Rh	yes	exact_match	BONA-11-1-Rh	1
BONA-11-1-Ro	BONA	Ro	yes	exact_match	BONA-11-1-Ro	1
BONA-11-2-No	BONA	No	yes	exact_match	BONA-11-2-No	1
BONA-11-2-Rh	BONA	Rh	yes	exact_match	BONA-11-2-Rh	1
BONA-11-2-Ro	BONA	Ro	yes	exact_match	BONA-11-2-Ro	1
BONA-11-3-No	BONA	No	yes	exact_match	BONA-11-3-No	1
BONA-11-3-Rh	BONA	Rh	yes	exact_match	BONA-11-3-Rh	1
BONA-11-3-Ro	BONA	Ro	yes	exact_match	BONA-11-3-Ro	1
BONA-11-1-No	BONA	No	yes	exact_match	BONA-11-1-No	1
BONA-1-1-Rh	BONA	Rh	yes	exact_match	BONA-1-1-Rh	1
BONA-1-1-Ro	BONA	Ro	yes	exact_match	BONA-1-1-Ro	1
BONA-1-1-No	BONA	No	yes	exact_match	BONA-1-1-No	1
BONA-12-1-Rh	BONA	Rh	yes	exact_match	BONA-12-1-Rh	1
BONA-12-1-Ro	BONA	Ro	yes	exact_match	BONA-12-1-Ro	1
BONA-12-1-No	BONA	No	yes	exact_match	BONA-12-1-No	1
BONA-12-2-Rh	BONA	Rh	yes	exact_match	BONA-12-2-Rh	1
BONA-12-2-Ro	BONA	Ro	yes	exact_match	BONA-12-2-Ro	1
BONA-13-1-No	BONA	No	yes	exact_match	BONA-13-1-No	1
BONA-13-1-Rh	BONA	Rh	yes	exact_match	BONA-13-1-Rh	1
BONA-13-1-Ro	BONA	Ro	yes	exact_match	BONA-13-1-Ro	1
BONA-12-2-No	BONA	No	yes	exact_match	BONA-12-2-No	1
BONA-13-2-Rh	BONA	Rh	yes	exact_match	BONA-13-2-Rh	1
BONA-13-2-Ro	BONA	Ro	yes	exact_match	BONA-13-2-Ro	1
BONA-13-2-No	BONA	No	yes	exact_match	BONA-13-2-No	1
BONA-13-3-Rh	BONA	Rh	yes	exact_match	BONA-13-3-Rh	1
BONA-13-3-Ro	BONA	Ro	yes	exact_match	BONA-13-3-Ro	1
BONA-13-3-No	BONA	No	yes	exact_match	BONA-13-3-No	1
BONA-14-Rh	BONA	Rh	yes	exact_match	BONA-14-Rh	1
BONA-14-Ro	BONA	Ro	yes	exact_match	BONA-14-Ro	1
BONA-2-No	BONA	No	yes	exact_match	BONA-2-No	1
BONA-2-Rh	BONA	Rh	yes	exact_match	BONA-2-Rh	1
BONA-14-No	BONA	No	yes	exact_match	BONA-14-No	1
BONA-2-Ro	BONA	Ro	yes	exact_match	BONA-2-Ro	1
BONA-3-1-No	BONA	No	yes	exact_match	BONA-3-1-No	1
BONA-3-1-Ro	BONA	Ro	yes	exact_match	BONA-3-1-Ro	1
BONA-3-1-Rh	BONA	Rh	yes	exact_match	BONA-3-1-Rh	1
BONA-4-Rh	BONA	Rh	yes	exact_match	BONA-4-Rh	1
BONA-4-Ro	BONA	Ro	yes	exact_match	BONA-4-Ro	1
BONA-5-No	BONA	No	yes	exact_match	BONA-5-No	1
BONA-5-Rh	BONA	Rh	yes	exact_match	BONA-5-Rh	1
BONA-5-Ro	BONA	Ro	yes	exact_match	BONA-5-Ro	1
BONA-4-No	BONA	No	yes	exact_match	BONA-4-No	1
BONA-7-Rh	BONA	Rh	yes	exact_match	BONA-7-Rh	1
BONA-7-Ro	BONA	Ro	yes	exact_match	BONA-7-Ro	1
BONA-8-No	BONA	No	yes	exact_match	BONA-8-No	1
BONA-8-Rh	BONA	Rh	yes	exact_match	BONA-8-Rh	1
BONA-8-Ro	BONA	Ro	yes	exact_match	BONA-8-Ro	1
BONA-9-No	BONA	No	yes	exact_match	BONA-9-No	1
BONA-9-Rh	BONA	Rh	yes	exact_match	BONA-9-Rh	1
BONA-9-Ro	BONA	Ro	yes	exact_match	BONA-9-Ro	1
CLBJ-10-1-No	CLBJ	No	yes	exact_match	CLBJ-10-1-No	1
CLBJ-10-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-10-1-Rh	1
BONA-7-No	BONA	No	yes	exact_match	BONA-7-No	1
CLBJ-10-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-10-1-Ro	1
CLBJ-11-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-11-1-Rh	1
CLBJ-11-1-No	CLBJ	No	yes	exact_match	CLBJ-11-1-No	1
CLBJ-11-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-11-1-Ro	1
CLBJ-1-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-1-1-Rh	1
CLBJ-1-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-1-1-Ro	1
CLBJ-12-2-No	CLBJ	No	yes	exact_match	CLBJ-12-2-No	1
CLBJ-12-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-12-2-Rh	1
CLBJ-12-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-12-2-Ro	1
CLBJ-1-1-No	CLBJ	No	yes	exact_match	CLBJ-1-1-No	1
CLBJ-13-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-13-1-Rh	1
CLBJ-13-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-13-1-Ro	1
CLBJ-13-1-No	CLBJ	No	yes	exact_match	CLBJ-13-1-No	1
CLBJ-14-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-14-1-Rh	1
CLBJ-14-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-14-1-Ro	1
CLBJ-14-1-No	CLBJ	No	yes	exact_match	CLBJ-14-1-No	1
CLBJ-15-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-15-1-Rh	1
CLBJ-15-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-15-1-Ro	1
CLBJ-15-1-No	CLBJ	No	yes	exact_match	CLBJ-15-1-No	1
CLBJ-16-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-16-2-Rh	1
CLBJ-16-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-16-2-Ro	1
CLBJ-16-2-No	CLBJ	No	yes	exact_match	CLBJ-16-2-No	1
CLBJ-17-1-No	CLBJ	No	yes	exact_match	CLBJ-17-1-No	1
CLBJ-17-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-17-1-Rh	1
CLBJ-17-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-17-1-Ro	1
CLBJ-18-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-18-1-Rh	1
CLBJ-18-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-18-1-Ro	1
CLBJ-18-1-No	CLBJ	No	yes	exact_match	CLBJ-18-1-No	1
CLBJ-19-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-19-1-Rh	1
CLBJ-19-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-19-1-Ro	1
CLBJ-20-1-No	CLBJ	No	yes	exact_match	CLBJ-20-1-No	1
CLBJ-20-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-20-1-Rh	1
CLBJ-20-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-20-1-Ro	1
CLBJ-19-1-No	CLBJ	No	yes	exact_match	CLBJ-19-1-No	1
CLBJ-21-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-21-1-Rh	1
CLBJ-21-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-21-1-Ro	1
CLBJ-22-1-No	CLBJ	No	yes	exact_match	CLBJ-22-1-No	1
CLBJ-21-1-No	CLBJ	No	yes	exact_match	CLBJ-21-1-No	1
CLBJ-22-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-22-1-Rh	1
CLBJ-22-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-22-1-Ro	1
CLBJ-23-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-23-1-Rh	1
CLBJ-23-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-23-1-Ro	1
CLBJ-23-1-No	CLBJ	No	yes	exact_match	CLBJ-23-1-No	1
CLBJ-24-Rh	CLBJ	Rh	yes	exact_match	CLBJ-24-Rh	1
CLBJ-25-2-No	CLBJ	No	yes	exact_match	CLBJ-25-2-No	1
CLBJ-25-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-25-2-Rh	1
CLBJ-25-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-25-2-Ro	1
CLBJ-24-No	CLBJ	No	yes	exact_match	CLBJ-24-No	1
CLBJ-26-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-26-1-Rh	1
CLBJ-26-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-26-1-Ro	1
CLBJ-26-1-No	CLBJ	No	yes	exact_match	CLBJ-26-1-No	1
CLBJ-27-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-27-1-Rh	1
CLBJ-27-1-No	CLBJ	No	yes	exact_match	CLBJ-27-1-No	1
CLBJ-27-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-27-1-Ro	1
CLBJ-28-3-No	CLBJ	No	yes	exact_match	CLBJ-28-3-No	1
CLBJ-28-3-Ro	CLBJ	Ro	yes	exact_match	CLBJ-28-3-Ro	1
CLBJ-28-3-Rh	CLBJ	Rh	yes	exact_match	CLBJ-28-3-Rh	1
CLBJ-29-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-29-2-Ro	1
CLBJ-29-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-29-2-Rh	1
CLBJ-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-2-Rh	1
