gene	tree_set	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	median_within_tree_distance	min_within_tree_distance	max_within_tree_distance	mean_between_group_distance	within_between_ratio
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Azorhizobium	37	0.1038925963900901	0.08370703245	0.0080328947	0.2863603331	0.25335072879453774	0.4100741958960176
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Methylobacterium	17	0.1718586506632353	0.14967269970000002	0.0257145923	0.34852274339999995	0.2821939763485915	0.6090089267211712
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	23	0.21529507587747035	0.1831779765	0.0040368899	0.71254802800000006	0.29586797339672954	0.7276727974500338
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Burkholderia	6	0.22551835334	0.19265665920000002	0.0846153845	0.4221192001	0.3048475187612939	0.7397742788144149
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	247	0.2496032168040486	0.2343932267	3.4471000000000004e-6	0.9005288333000001	0.32847595849933503	0.7598827565474747
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Ensifer	31	0.2694629288086021	0.27545972719999995	0.0088747348	0.5597099245999999	0.297276339314157	0.9064392054553588
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	564	0.27061497414056984	0.2622482990999999	0	0.9294076736000001	0.30054127262310465	0.9004253285369426
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	455	0.2733635129880698	0.26929357740000004	4.4787e-6	0.8030232490000001	0.3096239030144803	0.8828889188677572
nifD	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	82	0.38122602038280623	0.38150240020000004	4.6267e-6	0.8153036991000001	0.3700284332774557	1.0302614234429772
nifD	iupac	Mixed-IUPAC	site	SRER	54	0.059522140114465404	0.0398618139	2.2608e-6	0.18859679659999998	0.291096865778873	0.2044753726743332
nifD	iupac	Mixed-IUPAC	site	JORN	12	0.09545203685909091	0.09524322164999999	0.0169156903	0.20521324759999993	0.2705429586351814	0.3528165631832428
nifD	iupac	Mixed-IUPAC	site	CPER	15	0.13937086027238094	0.0206593728	3.4471000000000004e-6	0.357426651	0.30212036447947543	0.4613090564500795
nifD	iupac	Mixed-IUPAC	site	NOGP	21	0.15194656226571426	0.1760884358	7.883024e-4	0.3435391803999999	0.29685131531001546	0.5118608354725648
nifD	iupac	Mixed-IUPAC	site	KONA	9	0.15918599081666676	4.0672e-6	0	0.4351207458000001	0.2713252091487285	0.5866981225817761
nifD	iupac	Mixed-IUPAC	site	DCFS	23	0.19170881680395255	0.20185193809999996	4.9685e-6	0.44027034790000014	0.30334851795981066	0.6319754521739619
nifD	iupac	Mixed-IUPAC	site	OAES	112	0.2145888791518018	0.20411253474999996	4.4787e-6	0.5612983154	0.299609388140016	0.7162288220805628
nifD	iupac	Mixed-IUPAC	site	WOOD	33	0.2158112312094697	0.23223691985	8.029465000000001e-4	0.4651937765000002	0.28228450048915144	0.7645167582191202
nifD	iupac	Mixed-IUPAC	site	UKFS	6	0.21783355269333332	0.22184394279999994	0.07507191510000001	0.45570413730000014	0.27233664733365354	0.7998686729313161
nifD	iupac	Mixed-IUPAC	site	TOOL	66	0.22689936225589738	0.2591609629	5.1324e-6	0.5368853560999999	0.3146253651280963	0.7211731392461563
nifD	iupac	Mixed-IUPAC	site	DSNY	138	0.25038757719749283	0.24161008999999997	0.0040286264	0.7692488151	0.2911583490681163	0.8599704525007965
nifD	iupac	Mixed-IUPAC	site	KONZ	38	0.255332508759744	0.26858211239999996	0.0031798054000000005	0.6524064302000002	0.2986879838416293	0.8548469391896485
nifD	iupac	Mixed-IUPAC	site	NIWO	5	0.26116071634	0.18643300490000003	0.0890324558	0.4695911302	0.32094985865173403	0.8137118908140357
nifD	iupac	Mixed-IUPAC	site	JERC	279	0.2614827837611511	0.24826362629999987	4.6367e-6	0.8071808040000001	0.2893466623590392	0.903700708448771
nifD	iupac	Mixed-IUPAC	site	OSBS	112	0.2620331294003861	0.2559675953999999	3.5821e-6	0.6790880275	0.2841692719706535	0.9221022652563454
nifD	iupac	Mixed-IUPAC	site	YELL	14	0.27242824865054943	0.282799665	0.0348035976	0.490674628	0.2837011016052512	0.9602650363677928
nifD	iupac	Mixed-IUPAC	site	TEAK	5	0.27718557272	0.22913566255	0.06482169319999999	0.49619798660000003	0.31139014396485265	0.8901552540830792
nifD	iupac	Mixed-IUPAC	site	RMNP	11	0.2809929566	0.33086877889999994	0.0044927628	0.5368046768	0.3048943541446537	0.9216076086036216
nifD	iupac	Mixed-IUPAC	site	LAJA	52	0.2842853272188537	0.2905692061	0.0040368899	0.6405491756000001	0.32151983503583337	0.8841921904667875
nifD	iupac	Mixed-IUPAC	site	TALL	87	0.2969411398372093	0.28448491659999997	9.838092999999999e-4	0.8651524332000001	0.30513821564515237	0.9731365152325742
nifD	iupac	Mixed-IUPAC	site	DELA	61	0.30136273620349724	0.3034714694999999	0.0019644808	0.7709892542000001	0.3057195504192984	0.9857489839631594
nifD	iupac	Mixed-IUPAC	site	LENO	28	0.3016993411661376	0.30505710029999994	0.0031797836	0.6750980590000003	0.3105789918409968	0.9714093647409185
nifD	iupac	Mixed-IUPAC	site	HEAL	17	0.30636958108382356	0.30199466804999997	0.0215960564	0.5721893567000002	0.3050161070502947	1.0044373854437323
nifD	iupac	Mixed-IUPAC	site	BONA	6	0.3080336993666667	0.3664702674	0.036040619399999994	0.5403392069999999	0.38218527560267485	0.8059800286155002
nifD	iupac	Mixed-IUPAC	site	HARV	7	0.31368423183809524	0.32959272210000007	0.0757225969	0.5991989810000001	0.30596473686663395	1.0252300152315466
nifD	iupac	Mixed-IUPAC	site	UNDE	7	0.31932048195238105	0.3875772707	0.027512478	0.5290618439000002	0.3626360671521129	0.880553565617723
nifD	iupac	Mixed-IUPAC	site	CLBJ	92	0.3203514522231247	0.31600305784999994	4.920012e-4	0.7917176088	0.31189115501244435	1.0271258003784776
nifD	iupac	Mixed-IUPAC	site	ORNL	21	0.3378555846638095	0.33206930629999987	0.038906516099999996	0.8207805495	0.3204588512262878	1.0542869493881983
nifD	iupac	Mixed-IUPAC	site	GUAN	10	0.34889181596	0.37646313029999995	0.0451450279	0.6094916493000003	0.32249539868722155	1.0818505236981057
nifD	iupac	Mixed-IUPAC	site	SERC	7	0.3545681165047619	0.38342633940000004	0.1355820426	0.5694850567	0.3604559654475928	0.9836655527797419
