gene	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	mean_between_group_distance	within_between_ratio	interpretation
nifJ	Mixed-IUPAC	site	UNDE	6	0.00145385346	0.04135209907016721	0.03515791199699603	strong close grouping
nifJ	Mixed-IUPAC	state	MI	6	0.00145385346	0.04135209907016721	0.03515791199699603	strong close grouping
nifD	Strict single-dominant	site	CPER	6	0.012591940266666667	0.2565777594726121	0.04907650722552502	strong close grouping
nifD	Strict single-dominant	site	NOGP	11	0.021368112352727273	0.26310013704094953	0.08121665230984464	strong close grouping
nifH	Strict single-dominant	site	NOGP	8	0.0296875728	0.28387043896424796	0.10458141717158156	strong close grouping
nifK	Mixed-IUPAC	site	KONA	8	0.025954659546428577	0.2432841725773709	0.10668453796834769	strong close grouping
nolF	Mixed-IUPAC	site	SCBI	9	9.490325722222224e-4	0.007843091975888896	0.12100235151388289	strong close grouping
nifK	Strict single-dominant	site	NOGP	12	0.04752885744696969	0.3270608124328631	0.14532116242671567	strong close grouping
nifH	Mixed-IUPAC	site	SRER	52	0.040214079816063356	0.2270964248372684	0.17707931705609084	strong close grouping
nifH	Mixed-IUPAC	state	Arizona	52	0.040214079816063356	0.2270964248372684	0.17707931705609084	strong close grouping
nodX	Strict single-dominant	site	BLAN	9	0.006751947155555556	0.03781439932509259	0.1785549228882012	strong close grouping
nodL	Mixed-IUPAC	site	CPER	12	0.006868669671212124	0.03800253099350151	0.18074242666591542	strong close grouping
nodL	Strict single-dominant	site	CPER	12	0.008072217381818183	0.044184281946160156	0.18269432083686268	strong close grouping
nodX	Mixed-IUPAC	site	BLAN	10	0.005939225242222222	0.03185178542138212	0.18646443719400474	strong close grouping
noeA	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	194	0.003374242866855404	0.01765014402989691	0.19117367320855294	strong close grouping
noeA	Strict single-dominant	closest_blast_genus	Sinorhizobium	192	0.004662538032106239	0.023224101319270832	0.20076290436424207	strong close grouping
nodX	Mixed-IUPAC	state	VA	16	0.006719261434999999	0.033393286680128205	0.2012159359862748	strong close grouping
nodL	Strict single-dominant	closest_blast_genus	Sinorhizobium	196	0.04014890035562001	0.19646057044928572	0.20436111054652584	strong close grouping
nifD	Mixed-IUPAC	site	SRER	54	0.059522140114465404	0.291096865778873	0.2044753726743332	strong close grouping
nifD	Mixed-IUPAC	state	Arizona	54	0.059522140114465404	0.291096865778873	0.2044753726743332	strong close grouping
nodL	Strict single-dominant	site	BLAN	8	0.009327105364285715	0.045528283332932684	0.20486398083757737	strong close grouping
