Gene	Tree set	Label tested	Tips used	Groups tested	Observed mean tree distance	Random mean tree distance	Observed/random distance	Permutation p-value	FDR	Result
nifH	Strict single-dominant	site	357	18	0.18832	0.23402	0.805	0.001	0.00167	same-label tips are closer than random
nifH	Strict single-dominant	state	361	13	0.19447	0.23424	0.83	0.001	0.002	same-label tips are closer than random
nifH	Strict single-dominant	closest_blast_genus	387	8	0.19452	0.23406	0.831	0.001	0.001	same-label tips are closer than random
nifH	Mixed-IUPAC	site	1508	31	0.20474	0.23094	0.887	0.001	0.00167	same-label tips are closer than random
nifH	Mixed-IUPAC	state	1494	20	0.20966	0.23081	0.908	0.001	0.0025	same-label tips are closer than random
nifH	Mixed-IUPAC	closest_blast_genus	1535	8	0.2088	0.23085	0.904	0.001	0.001	same-label tips are closer than random
nifD	Strict single-dominant	site	315	16	0.19326	0.24489	0.789	0.001	0.00167	same-label tips are closer than random
nifD	Strict single-dominant	state	327	13	0.19465	0.24492	0.795	0.001	0.002	same-label tips are closer than random
nifD	Strict single-dominant	closest_blast_genus	340	6	0.20146	0.24481	0.823	0.001	0.001	same-label tips are closer than random
nifD	Mixed-IUPAC	site	1448	34	0.25972	0.30018	0.865	0.001	0.00167	same-label tips are closer than random
nifD	Mixed-IUPAC	state	1426	21	0.26737	0.30012	0.891	0.001	0.0025	same-label tips are closer than random
nifD	Mixed-IUPAC	closest_blast_genus	1462	9	0.27019	0.29994	0.901	0.001	0.001	same-label tips are closer than random
nifK	Strict single-dominant	site	420	19	0.31634	0.33582	0.942	0.001	0.00167	same-label tips are closer than random
nifK	Strict single-dominant	state	433	16	0.30408	0.33592	0.905	0.001	0.002	same-label tips are closer than random
nifK	Strict single-dominant	closest_blast_genus	455	4	0.22689	0.33572	0.676	0.001	0.001	same-label tips are closer than random
nifK	Mixed-IUPAC	site	1026	28	0.29238	0.32609	0.897	0.001	0.00167	same-label tips are closer than random
nifK	Mixed-IUPAC	state	1025	19	0.29569	0.32586	0.907	0.001	0.0025	same-label tips are closer than random
nifK	Mixed-IUPAC	closest_blast_genus	1052	4	0.2418	0.32595	0.742	0.001	0.001	same-label tips are closer than random
nifJ	Strict single-dominant	site	157	9	0.02888	0.05546	0.521	0.001	0.00167	same-label tips are closer than random
nifJ	Strict single-dominant	state	158	8	0.02704	0.05531	0.489	0.001	0.002	same-label tips are closer than random
nifJ	Strict single-dominant	closest_blast_genus	181	1	NA	NA	NA	NA	NA	not tested
nifJ	Mixed-IUPAC	site	307	15	0.04373	0.06353	0.688	0.001	0.00167	same-label tips are closer than random
nifJ	Mixed-IUPAC	state	305	12	0.03839	0.06364	0.603	0.001	0.0025	same-label tips are closer than random
nifJ	Mixed-IUPAC	closest_blast_genus	325	1	NA	NA	NA	NA	NA	not tested
