DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Sample type
COLOR	#000000
LEGEND_TITLE	Sample type
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2E86AB	#F18F01	#7A5195
LEGEND_LABELS	No	Rh	Ro
DATA
BLAN-1-1-No|ref56|pass_single_dominant	#2E86AB	No
BLAN-1-1-No|ref62|pass_single_dominant	#2E86AB	No
BLAN-1-1-Rh|ref62|pass_single_dominant	#F18F01	Rh
BLAN-1-1-Ro|ref62|pass_single_dominant	#7A5195	Ro
BLAN-2-1-No|ref62|pass_single_dominant	#2E86AB	No
BLAN-2-1-Rh|ref62|pass_single_dominant	#F18F01	Rh
BLAN-2-1-Ro|ref62|pass_single_dominant	#7A5195	Ro
BLAN-3-1-No|ref62|pass_single_dominant	#2E86AB	No
BLAN-3-1-Rh|ref56|pass_single_dominant	#F18F01	Rh
BLAN-3-1-Rh|ref62|pass_single_dominant	#F18F01	Rh
BLAN-3-1-Ro|ref62|pass_single_dominant	#7A5195	Ro
BLAN-4-1-No|ref62|pass_single_dominant	#2E86AB	No
BLAN-4-1-Rh|ref56|pass_single_dominant	#F18F01	Rh
BLAN-4-1-Rh|ref62|pass_single_dominant	#F18F01	Rh
BLAN-4-1-Ro|ref62|pass_single_dominant	#7A5195	Ro
BLAN-4-2-No|ref60|pass_single_dominant	#2E86AB	No
BLAN-4-2-Rh|ref60|pass_single_dominant	#F18F01	Rh
BLAN-4-2-Ro|ref60|pass_single_dominant	#7A5195	Ro
BONA-10-2-Rh|ref60|pass_single_dominant	#F18F01	Rh
BONA-11-2-No|ref60|pass_single_dominant	#2E86AB	No
BONA-11-2-Rh|ref60|pass_single_dominant	#F18F01	Rh
BONA-11-2-Ro|ref60|pass_single_dominant	#7A5195	Ro
BONA-12-2-Rh|ref60|pass_single_dominant	#F18F01	Rh
BONA-13-1-Rh|ref56|pass_single_dominant	#F18F01	Rh
BONA-13-2-Rh|ref60|pass_single_dominant	#F18F01	Rh
BONA-14-No|ref56|pass_single_dominant	#2E86AB	No
BONA-14-Ro|ref60|pass_single_dominant	#7A5195	Ro
BONA-2-Rh|ref63|pass_single_dominant	#F18F01	Rh
BONA-2-Ro|ref52|pass_single_dominant	#7A5195	Ro
BONA-2-Ro|ref63|pass_single_dominant	#7A5195	Ro
BONA-4-Rh|ref52|pass_single_dominant	#F18F01	Rh
BONA-4-Ro|ref56|pass_single_dominant	#7A5195	Ro
BONA-7-Rh|ref56|pass_single_dominant	#F18F01	Rh
BONA-8-Rh|ref56|pass_single_dominant	#F18F01	Rh
BONA-8-Ro|ref63|pass_single_dominant	#7A5195	Ro
BONA-9-Ro|ref60|pass_single_dominant	#7A5195	Ro
CLBJ-1-1-No|ref63|pass_single_dominant	#2E86AB	No
CLBJ-10-1-No|ref56|pass_single_dominant	#2E86AB	No
CLBJ-10-1-Rh|ref63|pass_single_dominant	#F18F01	Rh
CLBJ-12-2-No|ref60|pass_single_dominant	#2E86AB	No
CLBJ-12-2-No|ref63|pass_single_dominant	#2E86AB	No
CLBJ-13-1-Rh|ref52|pass_single_dominant	#F18F01	Rh
