group	gene	unique_reference_sequences	duplicates_removed	status
nif	nifA	11	0	found
nif	nifB	13	0	found
nif	nifD	13	0	found
nif	nifE	13	0	found
nif	nifH	14	0	found
nif	nifJ	2	0	found
nif	nifK	13	0	found
nif	nifM	0	0	not_found_in_GenBank_reference
nif	nifN	11	0	found
nif	nifQ	8	1	found
nif	nifS	3	0	found
nif	nifT	9	0	found
nif	nifU	12	0	found
nif	nifV	6	0	found
nif	nifW	10	1	found
nif	nifX	20	0	found
nif	nifY	0	0	not_found_in_GenBank_reference
nif	nifZ	11	0	found
nod	nodA	11	0	found
nod	nodB	11	0	found
nod	nodC	11	0	found
nod	nodD	1	0	found
nod	nodE	0	0	not_found_in_GenBank_reference
nod	nodF	0	0	not_found_in_GenBank_reference
nod	nodH	1	0	found
nod	nodI	9	0	found
nod	nodJ	1	0	found
nod	nodL	1	0	found
nod	nodP	0	0	not_found_in_GenBank_reference
nod	nodQ	2	0	found
nod	nodS	4	0	found
nod	nodT	0	0	not_found_in_GenBank_reference
nod	nodU	5	0	found
nod	nodX	1	0	found
nod	nodZ	4	0	found
