sample	sequencing_folder	site	sample_type	json_found	trimmed_P1_found	trimmed_P2_found	before_total_reads	after_total_reads	reads_retained_percent	before_total_bases	after_total_bases	bases_retained_percent	before_q20_percent	after_q20_percent	before_q30_percent	after_q30_percent	before_gc_percent	after_gc_percent	status
BLAN-1-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	yes	yes	3264416	3138222	96.13	489662400	467043646	95.38	98.81	99.67	95.59	97.61	58.37	58.20	ok
BLAN-1-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	yes	yes	464030	446042	96.12	69604500	66416989	95.42	98.85	99.68	95.65	97.63	59.58	59.44	ok
BLAN-1-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	yes	yes	70498	67466	95.70	10574700	9989061	94.46	98.41	99.59	94.73	97.35	60.43	60.25	ok
BLAN-2-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	yes	yes	5767514	5556418	96.34	865127100	822495420	95.07	98.47	99.60	95.03	97.47	58.60	58.43	ok
BLAN-2-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	yes	yes	383834	371430	96.77	57575100	54906548	95.37	98.46	99.55	94.83	97.21	63.23	63.16	ok
BLAN-2-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	yes	yes	350196	336668	96.14	52529400	48731241	92.77	97.07	99.26	92.19	96.54	57.93	57.50	ok
BLAN-3-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	yes	yes	14211670	13755942	96.79	2131750500	2045316205	95.95	98.83	99.68	95.77	97.76	56.78	56.70	ok
BLAN-3-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	yes	yes	122466	117306	95.79	18369900	17441526	94.95	98.75	99.64	95.32	97.42	63.38	63.23	ok
BLAN-3-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	yes	yes	1828702	1774438	97.03	274305300	263726097	96.14	98.79	99.66	95.70	97.70	56.64	56.58	ok
BLAN-4-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	yes	yes	700444	670340	95.70	105066600	99414905	94.62	98.50	99.59	94.70	97.18	66.31	66.20	ok
BLAN-4-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	yes	yes	116956	111340	95.20	17543400	16519131	94.16	98.56	99.59	94.74	97.13	65.07	64.94	ok
BLAN-4-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	yes	yes	95072	90774	95.48	14260800	13442749	94.26	98.46	99.57	94.61	97.15	63.95	63.84	ok
BLAN-4-2-No	intbio_reads_NovogeneDecember2025	BLAN	No	yes	yes	yes	79112	75642	95.61	11866800	10992685	92.63	97.25	99.38	92.26	96.57	65.58	65.54	ok
BLAN-4-2-Rh	intbio_reads_NovogeneDecember2025	BLAN	Rh	yes	yes	yes	255138	245998	96.42	38270700	36418663	95.16	98.54	99.60	94.96	97.34	65.47	65.41	ok
BLAN-4-2-Ro	intbio_reads_NovogeneDecember2025	BLAN	Ro	yes	yes	yes	373682	357460	95.66	56052300	53105107	94.74	98.74	99.68	95.36	97.65	64.47	64.33	ok
BONA-1-1-No	intbio_reads_NovogeneMay2025	BONA	No	yes	yes	yes	2220416	2154202	97.02	333062400	318182005	95.53	98.64	99.71	95.81	98.09	66.14	66.04	ok
BONA-1-1-Rh	intbio_reads_NovogeneMay2025	BONA	Rh	yes	yes	yes	146102	141514	96.86	21915300	21051369	96.06	98.99	99.77	96.70	98.36	63.80	63.67	ok
BONA-1-1-Ro	intbio_reads_NovogeneMay2025	BONA	Ro	yes	yes	yes	10966	10638	97.01	1644900	1581411	96.14	98.82	99.75	96.16	98.21	62.97	62.87	ok
BONA-10-2-No	intbio_reads_NovogeneDecember2025	BONA	No	yes	yes	yes	14242654	13361958	93.82	2136398100	1953173485	91.42	97.46	99.49	92.66	96.88	67.01	66.69	ok
BONA-10-2-Rh	intbio_reads_NovogeneDecember2025	BONA	Rh	yes	yes	yes	2354184	2263344	96.14	353127600	328418206	93.00	97.39	99.39	92.51	96.61	66.51	66.35	ok
