sample	sequencing_folder	site	sample_type	flagstat_found	total_reads	mapped_reads	mapped_percent	properly_paired_reads	properly_paired_percent	singletons	singletons_percent	status
BLAN-1-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	3145828	3051031	96.99	2919806	93.04	92573	2.95	ok
BLAN-1-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	447376	432106	96.59	412052	92.38	14402	3.23	ok
BLAN-1-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	67733	64806	95.68	60944	90.33	2795	4.14	ok
BLAN-2-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	5569187	5431998	97.54	5248164	94.45	133171	2.40	ok
BLAN-2-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	374140	355251	94.95	330268	88.92	18009	4.85	ok
BLAN-2-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	337225	332068	98.47	318698	94.66	4933	1.47	ok
BLAN-3-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	13756296	13602605	98.88	13380010	97.27	149495	1.09	ok
BLAN-3-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	117669	109544	93.10	100710	85.85	7563	6.45	ok
BLAN-3-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	1774536	1762056	99.30	1735712	97.82	12126	0.68	ok
BLAN-4-1-No	intbio_reads_NovogeneAugust2025	BLAN	No	yes	674053	659088	97.78	606372	90.46	14113	2.11	ok
BLAN-4-1-Rh	intbio_reads_NovogeneAugust2025	BLAN	Rh	yes	111795	100769	90.14	88230	79.24	10434	9.37	ok
BLAN-4-1-Ro	intbio_reads_NovogeneAugust2025	BLAN	Ro	yes	91453	84310	92.19	75774	83.48	6695	7.38	ok
BLAN-4-2-No	intbio_reads_NovogeneDecember2025	BLAN	No	yes	75655	73961	97.76	70366	93.03	1514	2.00	ok
BLAN-4-2-Rh	intbio_reads_NovogeneDecember2025	BLAN	Rh	yes	247056	230574	93.33	211128	85.83	15012	6.10	ok
BLAN-4-2-Ro	intbio_reads_NovogeneDecember2025	BLAN	Ro	yes	358178	331520	92.56	300780	84.14	25394	7.10	ok
BONA-1-1-No	intbio_reads_NovogeneMay2025	BONA	No	yes	2160522	2114861	97.89	2054454	95.37	44701	2.08	ok
BONA-1-1-Rh	intbio_reads_NovogeneMay2025	BONA	Rh	yes	141972	130585	91.98	118384	83.66	10835	7.66	ok
BONA-1-1-Ro	intbio_reads_NovogeneMay2025	BONA	Ro	yes	10648	10548	99.06	10428	98.03	96	0.90	ok
BONA-10-2-No	intbio_reads_NovogeneDecember2025	BONA	No	yes	13428401	13290517	98.97	13026402	97.49	135672	1.02	ok
BONA-10-2-Rh	intbio_reads_NovogeneDecember2025	BONA	Rh	yes	2270985	2244994	98.86	2197804	97.10	24297	1.07	ok
BONA-10-2-Ro	intbio_reads_NovogeneDecember2025	BONA	Ro	yes	77947	69664	89.37	61516	78.93	7881	10.11	ok
BONA-10-No	intbio_reads_NovogeneMay2025	BONA	No	yes	6241381	6141416	98.40	6005136	96.70	99369	1.60	ok
BONA-10-Rh	intbio_reads_NovogeneMay2025	BONA	Rh	yes	177364	165350	93.23	151696	86.06	11574	6.57	ok
BONA-10-Ro	intbio_reads_NovogeneMay2025	BONA	Ro	yes	35975	32737	91.00	29424	82.02	3102	8.65	ok
BONA-11-1-No	intbio_reads_NovogeneMay2025	BONA	No	yes	4274031	4227810	98.92	4152066	97.62	45863	1.08	ok
BONA-11-1-Rh	intbio_reads_NovogeneMay2025	BONA	Rh	yes	142890	131741	92.20	118636	83.34	10697	7.51	ok
BONA-11-1-Ro	intbio_reads_NovogeneMay2025	BONA	Ro	yes	22122	21232	95.98	20286	91.71	814	3.68	ok
BONA-11-2-No	intbio_reads_NovogeneDecember2025	BONA	No	yes	57893	56934	98.34	55570	96.00	859	1.48	ok
BONA-11-2-Rh	intbio_reads_NovogeneDecember2025	BONA	Rh	yes	203176	193945	95.46	184088	90.81	8379	4.13	ok
BONA-11-2-Ro	intbio_reads_NovogeneDecember2025	BONA	Ro	yes	9352	9032	96.58	8664	92.86	310	3.32	ok
BONA-11-3-No	intbio_reads_NovogeneDecember2025	BONA	No	yes	1880	1856	98.72	1794	96.35	24	1.29	ok
BONA-11-3-Rh	intbio_reads_NovogeneDecember2025	BONA	Rh	yes	14551	14453	99.33	7590	52.19	98	0.67	ok
BONA-11-3-Ro	intbio_reads_NovogeneDecember2025	BONA	Ro	yes	4123	4107	99.61	3992	97.27	16	0.39	ok
BONA-12-1-No	intbio_reads_NovogeneMay2025	BONA	No	yes	6049337	5957995	98.49	5830858	96.86	90750	1.51	ok
