tree_tip	sample
N13-2-D-No|nifH|consensus50|pass_mixed_possible_multitemplate	N13-2-D-No
N35-4-D-No|nifH|consensus50|pass_single_dominant	N35-4-D-No
N35-4-D-Ro|nifH|consensus50|pass_single_dominant	N35-4-D-Ro
UKFS-52-1-Rh|nifH|consensus50|pass_single_dominant	UKFS-52-1-Rh
N49-3-D-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	N49-3-D-Ro
N38-2-D-Rh|nifH|consensus50|pass_single_dominant	N38-2-D-Rh
N39-2-D-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	N39-2-D-Ro
N38-2-D-No|nifH|consensus50|pass_single_dominant	N38-2-D-No
N38-2-D-Ro|nifH|consensus50|pass_single_dominant	N38-2-D-Ro
N36-4-D-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	N36-4-D-Rh
N36-4-D-No|nifH|consensus50|pass_mixed_possible_multitemplate	N36-4-D-No
N36-4-D-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	N36-4-D-Ro
N39-2-D-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	N39-2-D-Rh
N39-2-D-No|nifH|consensus50|pass_single_dominant	N39-2-D-No
