tree_tip	sample
N39-2-D-No|nifH|consensus50|strict_single_dominant	N39-2-D-No
UKFS-52-1-No|nifH|consensus50|strict_single_dominant	UKFS-52-1-No
N49-3-D-No|nifH|consensus50|strict_single_dominant	N49-3-D-No
N38-2-D-No|nifH|consensus50|strict_single_dominant	N38-2-D-No
N38-2-D-Ro|nifH|consensus50|strict_single_dominant	N38-2-D-Ro
N34-2-D-No|nifH|consensus50|strict_single_dominant	N34-2-D-No
N38-2-D-Rh|nifH|consensus50|strict_single_dominant	N38-2-D-Rh
UKFS-52-1-Rh|nifH|consensus50|strict_single_dominant	UKFS-52-1-Rh
N35-4-D-No|nifH|consensus50|strict_single_dominant	N35-4-D-No
N35-4-D-Ro|nifH|consensus50|strict_single_dominant	N35-4-D-Ro
