sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.437	3198	100.0000	0.0	5836.0
BLAN-1-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3197	99.9687	0.0	5888.0
BLAN-1-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.844	3198	100.0000	0.0	5879.0
BLAN-2-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.031	3198	100.0000	0.0	5779.0
BLAN-2-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3198	100.0000	0.0	5890.0
BLAN-3-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.969	3198	100.0000	0.0	5901.0
BLAN-3-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.281	3198	100.0000	0.0	5805.0
BLAN-3-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3198	100.0000	0.0	5890.0
BLAN-4-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.781	3196	99.9375	0.0	5864.0
BLAN-4-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.937	3198	100.0000	0.0	5895.0
CLBJ-12-2-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND30456.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.998	3195	99.9062	0.0	5773.0
CLBJ-26-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3198	100.0000	0.0	5890.0
CLBJ-40-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.124	3197	99.9687	0.0	5799.0
CLBJ-5-2-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND30456.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.937	3198	100.0000	0.0	5895.0
CLBJ-7-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3197	99.9687	0.0	5888.0
CPER-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_kummerowiae_(Ensifer_kummerowiae)|WHS95966.1	Sinorhizobium_kummerowiae_(Ensifer_kummerowiae)	Sinorhizobium	99.469	1883	58.8806	0.0	3432.0
CPER-2-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.686	3189	99.7186	0.0	5834.0
CPER-3-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.969	3198	100.0000	0.0	5901.0
CPER-3-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.969	3198	100.0000	0.0	5901.0
CPER-5-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.937	3197	99.9687	0.0	5893.0
DCFS-2-2-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|GEC41780.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.937	3198	100.0000	0.0	5895.0
DCFS-2-2-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|GEC41780.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.722	1799	56.2539	0.0	3227.0
DCFS-2-2-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|GEC41780.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.914	2319	72.5141	0.0	4274.0
DCFS-3-2-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	3198	100.0000	0.0	5906.0
DCFS-3-2-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|GEC41780.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.276	3175	99.2808	0.0	5773.0
DCFS-4-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.937	3198	100.0000	0.0	5895.0
DCFS-4-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.625	3197	99.9687	0.0	5838.0
DCFS-4-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.906	3198	100.0000	0.0	5890.0
DCFS-5-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.875	3198	100.0000	0.0	5884.0
DCFS-6-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	3198	100.0000	0.0	5906.0
DCFS-6-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22255.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.656	3197	99.9687	0.0	5843.0
DCFS-6-1-Ro|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.812	3198	100.0000	0.0	5873.0
DCFS-7-1-No|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.718	3197	99.9687	0.0	5869.0
DCFS-7-1-Rh|nolG|consensus50|strict_single_dominant	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.820	2776	86.8043	0.0	5099.0
