sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.788	1417	99.0217	0.0	2604.0
BLAN-1-1-Rh|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.790	1430	99.9301	0.0	2625.0
BLAN-1-1-Ro|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.930	1428	99.7904	0.0	2632.0
BLAN-2-1-No|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.580	1428	99.7904	0.0	2614.0
BLAN-2-1-Rh|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.643	1401	97.9036	0.0	2567.0
BLAN-2-1-Ro|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.930	1419	99.1614	0.0	2617.0
BLAN-3-1-No|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.718	1418	99.0915	0.0	2604.0
BLAN-3-1-Ro|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.929	1418	99.0915	0.0	2614.0
BLAN-4-1-No|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.856	1398	97.6939	0.0	2519.0
BLAN-4-1-Ro|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1428	99.7904	0.0	2638.0
CLBJ-1-1-Rh|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	602	42.0685	0.0	1112.0
CLBJ-12-2-No|noeA|consensus50|pass_single_dominant	noeA|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.860	1429	99.8602	0.0	2630.0
