DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST percent identity
COLOR	#000000
COLOR_MIN	#fff7bc
COLOR_MAX	#7f0000
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	85.9300
BONA-10-Ro|nifH|consensus50|strict_single_dominant	87.4070
CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant	90.1930
LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant	91.2440
JERC-198-No|nifH|consensus50|strict_single_dominant	86.6020
JERC-37-2-No|nifH|consensus50|strict_single_dominant	86.4320
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	85.4370
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	87.0150
HARV-1-1-No|nifH|consensus50|strict_single_dominant	87.3930
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	86.6590
OSBS-104-1-No|nifH|consensus50|strict_single_dominant	89.1810
DELA-25-2-No|nifH|consensus50|strict_single_dominant	88.8890
JERC-157-2-No|nifH|consensus50|strict_single_dominant	86.4510
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	86.9410
LENO-6-1-No|nifH|consensus50|strict_single_dominant	85.5580
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	90.1720
CLBJ-40-1-No|nifH|consensus50|strict_single_dominant	90.3170
JERC-STBI-63-1-No|nifH|consensus50|strict_single_dominant	97.1500
CLBJ-46-1-No|nifH|consensus50|strict_single_dominant	96.9390
DELA-21-1-No|nifH|consensus50|strict_single_dominant	90.3880
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	88.7430
CLBJ-33-1-No|nifH|consensus50|strict_single_dominant	91.2220
LENO-8-3-No|nifH|consensus50|strict_single_dominant	89.8750
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	86.9350
CLBJ-20-1-Ro|nifH|consensus50|strict_single_dominant	86.8040
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	85.5600
SERC-7-1-No|nifH|consensus50|strict_single_dominant	98.3740
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	89.2290
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	87.5750
JERC-88-1-No|nifH|consensus50|strict_single_dominant	95.9020
DSNY-89-No|nifH|consensus50|strict_single_dominant	97.5610
DELA-28-No|nifH|consensus50|strict_single_dominant	86.5060
JERC-203-1-No|nifH|consensus50|strict_single_dominant	86.0610
KONA-1-1-No|nifH|consensus50|strict_single_dominant	86.4800
SERC-4-1-No|nifH|consensus50|strict_single_dominant	87.3480
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	87.4550
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	87.0260
JERC-96-2-Ro|nifH|consensus50|strict_single_dominant	94.8510
DELA-7-3-No|nifH|consensus50|strict_single_dominant	86.3750
ORNL-25-1-No|nifH|consensus50|strict_single_dominant	86.5030
ORNL-25-1-Rh|nifH|consensus50|strict_single_dominant	86.9380
JERC-98-3-No|nifH|consensus50|strict_single_dominant	86.0470
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	86.0980
DELA-33-1-No|nifH|consensus50|strict_single_dominant	87.3920
N39-2-D-No|nifH|consensus50|strict_single_dominant	83.6730
HARV-4-1-Rh|nifH|consensus50|strict_single_dominant	92.9540
SCBI-11-1-Rh|nifH|consensus50|strict_single_dominant	91.3420
DELA-8-2-No|nifH|consensus50|strict_single_dominant	94.0220
DSNY-54-1-No|nifH|consensus50|strict_single_dominant	87.2280
GRSM-3-No|nifH|consensus50|strict_single_dominant	94.0220
GRSM-1-No|nifH|consensus50|strict_single_dominant	86.3570
SCBI-4-1-No|nifH|consensus50|strict_single_dominant	88.0390
SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	85.7660
HARV-3-1-No|nifH|consensus50|strict_single_dominant	94.0220
SCBI-6-1-No|nifH|consensus50|strict_single_dominant	85.7980
SCBI-11-1-No|nifH|consensus50|strict_single_dominant	85.9830
KONZ-2-1-No|nifH|consensus50|strict_single_dominant	87.4080
HARV-4-1-No|nifH|consensus50|strict_single_dominant	87.2960
