threshold	min_percent_covered	min_mean_depth	gene	target_id	no_samples	mc_samples	no_good_samples	mc_good_samples	no_good_fraction	mc_good_fraction	no_median_mean_depth	mc_median_mean_depth	no_median_percent_covered	mc_median_percent_covered	depth_ratio_no_vs_mc	good_fraction_difference	classification
pct80_depth10	80.0	10.0	nifA	nifA|CU633751|CU633751_-_Symbiosis_Island|ref1	952	2	11	0	0.0116	0.0000	0.8407	6.4283	2.3897	5.7291	0.1308	0.0116	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NC_002678|NC_002678_-_Symbiosis_Island_1|ref2	952	2	0	0	0.0000	0.0000	1.5783	22.4554	6.8143	8.7451	0.0703	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifA	nifA|NC_002678|NC_002678_-_nifA_CDS|ref3	952	2	5	0	0.0053	0.0000	45.6949	19.3573	45.6003	22.0571	2.3606	0.0053	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NC_009937|NC_009937_-_nifA_CDS|ref4	952	2	19	0	0.0200	0.0000	31.5519	164.3573	16.8397	36.8224	0.1920	0.0200	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NC_011894|NC_011894_-_Symbiosis_Island_2|ref5	952	2	0	0	0.0000	0.0000	12.5928	67.2536	13.1111	11.9167	0.1872	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifA	nifA|NC_012848|NC_012848_-_Symbiosis_Island|ref6	952	2	38	0	0.0399	0.0000	1.6875	0.1385	6.2789	10.2032	12.1838	0.0399	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NC_014120|NC_014120_-_Symbiosis_Island|ref7	952	2	0	0	0.0000	0.0000	4.4724	49.8081	7.8931	7.5895	0.0898	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifA	nifA|NC_017249|NC_017249_-_Symbiosis_Island_2|ref8	952	2	179	1	0.1880	0.5000	20.5446	12.3715	59.4609	95.6821	1.6606	-0.3120	BIOLOGICAL_SIGNAL_BUT_MC_BACKGROUND
pct80_depth10	80.0	10.0	nifA	nifA|NC_019848|NC_019848_-_Symbiosis_Island_3|ref9	952	2	68	0	0.0714	0.0000	0.1304	0.0000	1.5682	0.0000	999999.0000	0.0714	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref10	952	2	55	0	0.0578	0.0000	2.7171	1.1068	36.9322	26.8437	2.4549	0.0578	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifA	nifA|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref11	952	2	0	0	0.0000	0.0000	0.0375	0.0000	1.2300	0.0000	999999.0000	0.0000	NOT_SUPPORTED
pct80_depth10	80.0	10.0	nifB	nifB|CU633751|CU633751_-_Symbiosis_Island|ref12	952	2	13	0	0.0137	0.0000	0.1011	0.6008	3.7850	0.6680	0.1683	0.0137	LOW_OR_LIMITED_SIGNAL
pct80_depth10	80.0	10.0	nifB	nifB|NC_002678|NC_002678_-_Symbiosis_Island_1|ref13	952	2	47	0	0.0494	0.0000	2.0716	0.1134	24.8313	8.0972	18.2757	0.0494	LOW_OR_LIMITED_SIGNAL
