sample_id	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	reference_coverage_percent	evalue	bitscore	closest_genus	blast_confidence	in_blast_table	tip_label_closest_taxon
BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	85.127	827	82.9488	93.4463	0	994	Bradyrhizobium	moderate_identity85_qcov70	yes	BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Bradyrhizobium_ottawaense | 85.1% id | 82.9% qcov
BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	85.852	827	82.9488	93.4463	0	999	Bradyrhizobium	moderate_identity85_qcov70	yes	BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Bradyrhizobium_ottawaense | 85.9% id | 82.9% qcov
BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	86.642	816	81.8455	92.2034	0	1008	Bradyrhizobium	moderate_identity85_qcov70	yes	BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Bradyrhizobium_ottawaense | 86.6% id | 81.8% qcov
BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.847	789	79.1374	88.255	0	1072	Sinorhizobium	moderate_identity85_qcov70	yes	BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 88.8% id | 79.1% qcov
SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.636	714	71.6148	79.8658	0	1000	Sinorhizobium	moderate_identity85_qcov70	yes	SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 89.6% id | 71.6% qcov
BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.848	816	81.8455	91.2752	0	1138	Sinorhizobium	moderate_identity85_qcov70	yes	BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 88.8% id | 81.8% qcov
CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	86.918	795	79.7392	88.9262	0	1086	Mesorhizobium	moderate_identity85_qcov70	yes	CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Mesorhizobium_sp._AaZ16 | 86.9% id | 79.7% qcov
OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant	nifH|Microvirga_sp._KLBC_81|PVE21514.1	Microvirga_sp._KLBC_81	88.582	797	79.9398	89.1499	0	1033	Microvirga	moderate_identity85_qcov70	yes	OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant | closest: Microvirga_sp._KLBC_81 | 88.6% id | 79.9% qcov
OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.971	816	81.8455	91.2752	0	1117	Sinorhizobium	moderate_identity85_qcov70	yes	OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 89.0% id | 81.8% qcov
DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	83.761	819	82.1464	91.6107	0	1048	Mesorhizobium	low_or_uncertain	yes	DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate | closest: Mesorhizobium_sp._AaZ16 | 83.8% id | 82.1% qcov
