gene	tree_set	alignment_file	prefix	treefile	contree	iqtree_report	log	ACGT_count	IUPAC_count_excluding_N	N_count	gap_count	total_characters	ACGT_percent	IUPAC_percent_excluding_N	N_percent	gap_percent	tree_set_label
nifH	strict	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/02_alignment/nifH_consensus50_strict_single_dominant.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/03_tree_strict_nm5000/nifH_consensus50_strict_single_dominant_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/03_tree_strict_nm5000/nifH_consensus50_strict_single_dominant_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/03_tree_strict_nm5000/nifH_consensus50_strict_single_dominant_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/03_tree_strict_nm5000/nifH_consensus50_strict_single_dominant_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/03_tree_strict_nm5000/nifH_consensus50_strict_single_dominant_nm5000.log	318491	0	67348	0	385839	82.54505117419441	0	17.454948825805584	0	Strict single-dominant
nifH	iupac	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/02_alignment/nifH_consensus50_iupac_all_pass.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/04_tree_iupac_nm5000/nifH_consensus50_iupac_all_pass_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/04_tree_iupac_nm5000/nifH_consensus50_iupac_all_pass_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/04_tree_iupac_nm5000/nifH_consensus50_iupac_all_pass_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/04_tree_iupac_nm5000/nifH_consensus50_iupac_all_pass_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/04_tree_iupac_nm5000/nifH_consensus50_iupac_all_pass_nm5000.log	1218163	51071	264152	0	1533386	79.44268435997198	3.3306029923320026	17.226712647696015	0	Mixed-IUPAC
nifD	strict	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/02_alignment/nifD_consensus50_strict_single_dominant.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/03_tree_strict_nm5000/nifD_consensus50_strict_single_dominant_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/03_tree_strict_nm5000/nifD_consensus50_strict_single_dominant_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/03_tree_strict_nm5000/nifD_consensus50_strict_single_dominant_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/03_tree_strict_nm5000/nifD_consensus50_strict_single_dominant_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/03_tree_strict_nm5000/nifD_consensus50_strict_single_dominant_nm5000.log	448378	0	84758	0	533136	84.10199273731281	0	15.898007262687194	0	Strict single-dominant
nifD	iupac	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/02_alignment/nifD_consensus50_iupac_all_pass.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/04_tree_iupac_nm5000/nifD_consensus50_iupac_all_pass_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/04_tree_iupac_nm5000/nifD_consensus50_iupac_all_pass_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/04_tree_iupac_nm5000/nifD_consensus50_iupac_all_pass_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/04_tree_iupac_nm5000/nifD_consensus50_iupac_all_pass_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/04_tree_iupac_nm5000/nifD_consensus50_iupac_all_pass_nm5000.log	1813370	74930	354548	0	2242848	80.85122130434162	3.3408416441952373	15.80793705146314	0	Mixed-IUPAC
nifK	strict	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/02_alignment/nifK_consensus50_strict_single_dominant.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/03_tree_strict_nm5000/nifK_consensus50_strict_single_dominant_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/03_tree_strict_nm5000/nifK_consensus50_strict_single_dominant_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/03_tree_strict_nm5000/nifK_consensus50_strict_single_dominant_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/03_tree_strict_nm5000/nifK_consensus50_strict_single_dominant_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/03_tree_strict_nm5000/nifK_consensus50_strict_single_dominant_nm5000.log	639232	0	62378	20930	722540	88.47011930135356	0	8.633155257840397	2.8967254408060454	Strict single-dominant
nifK	iupac	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/02_alignment/nifK_consensus50_iupac_all_pass.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/04_tree_iupac_nm5000/nifK_consensus50_iupac_all_pass_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/04_tree_iupac_nm5000/nifK_consensus50_iupac_all_pass_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/04_tree_iupac_nm5000/nifK_consensus50_iupac_all_pass_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/04_tree_iupac_nm5000/nifK_consensus50_iupac_all_pass_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/04_tree_iupac_nm5000/nifK_consensus50_iupac_all_pass_nm5000.log	1457249	34922	130013	0	1622184	89.8325344103998	2.1527767503563098	8.014688839243883	0	Mixed-IUPAC
nifJ	strict	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/02_alignment/nifJ_consensus50_strict_single_dominant.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/03_tree_strict_nm5000/nifJ_consensus50_strict_single_dominant_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/03_tree_strict_nm5000/nifJ_consensus50_strict_single_dominant_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/03_tree_strict_nm5000/nifJ_consensus50_strict_single_dominant_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/03_tree_strict_nm5000/nifJ_consensus50_strict_single_dominant_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/03_tree_strict_nm5000/nifJ_consensus50_strict_single_dominant_nm5000.log	568210	0	70358	10136	648704	87.59156718626677	0	10.845932813733228	1.5625	Strict single-dominant
nifJ	iupac	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/02_alignment/nifJ_consensus50_iupac_all_pass.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/04_tree_iupac_nm5000/nifJ_consensus50_iupac_all_pass_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/04_tree_iupac_nm5000/nifJ_consensus50_iupac_all_pass_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/04_tree_iupac_nm5000/nifJ_consensus50_iupac_all_pass_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/04_tree_iupac_nm5000/nifJ_consensus50_iupac_all_pass_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifJ/04_tree_iupac_nm5000/nifJ_consensus50_iupac_all_pass_nm5000.log	1003965	7737	134898	48750	1195350	83.9892081817041	0.6472581252352867	11.285230267285732	4.078303425774878	Mixed-IUPAC
nodL	strict	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/02_alignment/nodL_consensus50_strict_single_dominant.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/03_tree_strict_nm5000/nodL_consensus50_strict_single_dominant_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/03_tree_strict_nm5000/nodL_consensus50_strict_single_dominant_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/03_tree_strict_nm5000/nodL_consensus50_strict_single_dominant_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/03_tree_strict_nm5000/nodL_consensus50_strict_single_dominant_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/03_tree_strict_nm5000/nodL_consensus50_strict_single_dominant_nm5000.log	118204	0	13988	0	132192	89.41842168966352	0	10.58157831033648	0	Strict single-dominant
nodL	iupac	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/02_alignment/nodL_consensus50_iupac_all_pass.mafft.fasta	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/04_tree_iupac_nm5000/nodL_consensus50_iupac_all_pass_nm5000	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/04_tree_iupac_nm5000/nodL_consensus50_iupac_all_pass_nm5000.treefile	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/04_tree_iupac_nm5000/nodL_consensus50_iupac_all_pass_nm5000.contree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/04_tree_iupac_nm5000/nodL_consensus50_iupac_all_pass_nm5000.iqtree	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nodL/04_tree_iupac_nm5000/nodL_consensus50_iupac_all_pass_nm5000.log	124998	900	14862	0	140760	88.80221653878942	0.639386189258312	10.55839727195226	0	Mixed-IUPAC
