tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-4-2-No|nifJ|consensus50|strict_single_dominant	BLAN-4-2-No	D02	Elaeagnus umbellata	7/8/25	2.225	106.8	Quarter	BLAN-4	ethanol	nodule	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	Candidatus	Candidatus_Frankia_alpina	98.156	52.2676	0	3251
BONA-10-2-No|nifJ|consensus50|strict_single_dominant	BONA-10-2-No	D19	Alnus viridis	7/8/25	4.39	210.72	Quarter	BONA-10	ethanol	nodule	Betulaceae	BONA	Alnus	actinorhizal	BONA_003	NA	Alaska	yes	NA	NA	20240909	Candidatus	Candidatus_Frankia_alpina	99.621	52.2959	0	3369
DEJU-5-1-Ro|nifJ|consensus50|strict_single_dominant	DEJU-5-1-Ro	D19	Alnus viridis	2/13/25	3.005	144.24	Quarter	DEJU-5	ethanol	root	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_047	NA	Alaska	yes	NA	NA	NA	Candidatus	Candidatus_Frankia_alpina	97.967	29.28	0	1823
LAJA-23-1-Ro|nifJ|consensus50|strict_single_dominant	LAJA-23-1-Ro	D04	Rhynchosia minima	3/19/25	1.29	61.92	Quarter	LAJA-23	dry	root	Fabaceae	LAJA	Rhynchosia	Phaseoleae	LAJA_023	LAJA	P.R	yes	18.03583	-67.06962	10/7/24	Candidatus	Candidatus_Frankia_alpina	97.722	52.2676	0	3238
DEJU-55-Rh|nifJ|consensus50|strict_single_dominant	DEJU-55-Rh	D19	Alnus viridis	5/23/25	0	0	Quarter	DEJU-55	ethanol	rhizosphere	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_045	NA	Unknown	yes	NA	NA	NA	Candidatus	Candidatus_Frankia_alpina	99.675	52.2959	0	3374
BONA-12-2-No|nifJ|consensus50|strict_single_dominant	BONA-12-2-No	D19	Alnus viridis	7/8/25	1.575	75.6	Quarter	BONA-12	ethanol	nodule	Betulaceae	BONA	Alnus	actinorhizal	BONA_003	NA	Alaska	yes	NA	NA	20240909	Candidatus	Candidatus_Frankia_alpina	99.675	52.3243	0	3376
BONA-12-1-No|nifJ|consensus50|strict_single_dominant	BONA-12-1-No	D19	Alnus viridis	3/6/25	25.65	1231.2	Half	BONA-12	ethanol	nodule	Betulaceae	BONA	Alnus	actinorhizal	BONA_003	NA	Alaska	yes	NA	NA	20240909	Candidatus	Candidatus_Frankia_alpina	99.675	52.3243	0	3376
DEJU-33-No|nifJ|consensus50|strict_single_dominant	DEJU-33-No	D19	Alnus viridis	2/20/25	12.2	585.6	Half	DEJU-33	ethanol	nodule	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_015	NA	Alaska	yes	NA	NA	NA	Candidatus	Candidatus_Frankia_alpina	99.675	52.3243	0	3376
DEJU-34-No|nifJ|consensus50|strict_single_dominant	DEJU-34-No	D19	Alnus viridis	2/20/25	9.035	433.68	Half	DEJU-34	ethanol	nodule	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_015	NA	Alaska	yes	NA	NA	NA	Candidatus	Candidatus_Frankia_alpina	99.675	52.3243	0	3376
BONA-11-2-No|nifJ|consensus50|strict_single_dominant	BONA-11-2-No	D19	Alnus viridis	7/8/25	3.235	155.28	Quarter	BONA-11	ethanol	nodule	Betulaceae	BONA	Alnus	actinorhizal	BONA_003	NA	Alaska	yes	NA	NA	20240909	Candidatus	Candidatus_Frankia_alpina	95.716	23.1576	0	1351
DSNY-18-1-No|nifJ|consensus50|strict_single_dominant	DSNY-18-1-No	D03	Morella cerifera	9/25/24	5.585	268.08	Half	DSNY-MOCE-18	dry	nodule	Myricaceae	DSNY	Morella	actinorhizal	DSNY_044	Osceola	Florida	yes	NA	NA	20240401	Candidatus	Candidatus_Frankia_alpina	84.245	34.1837	0	1240
LENO-15-2-No|nifJ|consensus50|strict_single_dominant	LENO-15-2-No	D08	Elaeagnus umbellata	3/20/25	43.9	2107.2	Half	LENO-15	dry	nodule	Elaeagnaceae	LENO	Elaeagnus	actinorhizal	LENO_029	Choctaw County	AL	no	31.831293	-88.171122	7/3/24	Candidatus	Candidatus_Frankia_alpina	85.185	32.1429	0	1227
TALL-61-1-No|nifJ|consensus50|strict_single_dominant	TALL-61-1-No	D08	Morella cerifera	10/31/25	0.061	2.928	Quarter	TALL-61	dry	nodule	Myricaceae	TALL	Morella	actinorhizal	TALL_R_015	Hale County	AL	yes	32.916557	-87.438945	8/28/24	Candidatus	Candidatus_Frankia_alpina	91.414	16.8367	0	815
ORNL-1-3-No|nifJ|consensus50|strict_single_dominant	ORNL-1-3-No	D07	Elaeagnus umbellata	7/8/25	32.45	1557.6	Half	ORNL-1	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_009	Anderson	TN	no	35.974444	-84.228056	5/15/24	Candidatus	Candidatus_Frankia_alpina	89.437	52.3243	0	2346
SERC-2-2-No|nifJ|consensus50|strict_single_dominant	SERC-2-2-No	D02	Elaeagnus umbellata	7/15/25	0.1965	9.432	Quarter	SERC-2	ethanol	nodule	Elaeagnaceae	SERC	Elaeagnus	actinorhizal	SERC_016	Anne Arundel	MD	no	38.899477	-76.547521	8/14/24	Candidatus	Candidatus_Frankia_alpina	88.325	27.9195	0	1214
ORNL-3-1-No|nifJ|consensus50|strict_single_dominant	ORNL-3-1-No	D07	Elaeagnus umbellata	2/17/25	10.9	523.2	Half	ORNL-3	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_029	Anderson	TN	no	35.96	-84.26	5/15/24	Candidatus	Candidatus_Frankia_alpina	91.924	52.2959	0	2582
ORNL-3-2-No|nifJ|consensus50|strict_single_dominant	ORNL-3-2-No	D07	Elaeagnus umbellata	7/8/25	21.25	1020	Half	ORNL-3	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_029	Anderson	TN	no	35.96	-84.26	5/15/24	Candidatus	Candidatus_Frankia_alpina	89.707	52.3243	0	2414
ORNL-5-3-No|nifJ|consensus50|strict_single_dominant	ORNL-5-3-No	D07	Elaeagnus umbellata	10/30/25	33.9	1627.2	Half	ORNL-5	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_021	Anderson	TN	no	35.955556	-84.221111	5/15/24	Candidatus	Candidatus_Frankia_alpina	89.859	52.2676	0	2409
ORNL-5-2-No|nifJ|consensus50|strict_single_dominant	ORNL-5-2-No	D07	Elaeagnus umbellata	7/8/25	0	0	Quarter	ORNL-5	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_021	Anderson	TN	no	35.955556	-84.221111	5/15/24	Candidatus	Candidatus_Frankia_alpina	88.377	28.288	0	1260
ORNL-1-1-No|nifJ|consensus50|strict_single_dominant	ORNL-1-1-No	D07	Elaeagnus umbellata	2/17/25	10.85	520.8	Half	ORNL-1	dry	nodule	Elaeagnaceae	ORNL	Elaeagnus	actinorhizal	ORNL_009	Anderson	TN	no	35.974444	-84.228056	5/15/24	Candidatus	Candidatus_Frankia_alpina	92.803	52.381	0	2675
BONA-1-1-No|nifJ|consensus50|strict_single_dominant	BONA-1-1-No	D19	Alnus viridis	3/3/25	9.05	434.4	Half	BONA-1	ethanol	nodule	Betulaceae	BONA	Alnus	actinorhizal	BONA_072	NA	Alaska	yes	NA	NA	20240829	Candidatus	Candidatus_Frankia_alpina	92.694	29.8753	0	1550
DEJU-31-No|nifJ|consensus50|strict_single_dominant	DEJU-31-No	D19	Alnus viridis	2/20/25	31.35	1504.8	Half	DEJU-31	ethanol	nodule	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_015	NA	Alaska	yes	NA	NA	NA	Candidatus	Candidatus_Frankia_alpina	91.638	32.5397	0	1672
HEAL-5-2-No|nifJ|consensus50|strict_single_dominant	HEAL-5-2-No	D19	Alnus viridis	4/4/25	20.35	976.8	Half	HEAL-5	ethanol	nodule	Betulaceae	HEAL	Alnus	actinorhizal	HEAL_010	Denali Borough	Alaska	yes	63.87738 N	149.26297 W	20240723	Candidatus	Candidatus_Frankia_alpina	92.081	15.3912	0	765
HEAL-3-1-No|nifJ|consensus50|strict_single_dominant	HEAL-3-1-No	D19	Alnus viridis	4/4/25	23.65	1135.2	Half	HEAL-3	ethanol	nodule	Betulaceae	HEAL	Alnus	actinorhizal	HEAL_010	Denali Borough	Alaska	yes	63.87738 N	149.26297 W	20240723	Candidatus	Candidatus_Frankia_alpina	90.058	29.3651	0	1387
