tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
CLBJ-14-1-No|nifD|consensus50|strict_single_dominant	CLBJ-14-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Mesorhizobium_sp._WSM2240	Mesorhizobium	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	90.084	1311	85.5744	0	1701	Mesorhizobium	Strict single-dominant	Mesorhizobium	Mesorhizobium	CLBJ-14-1-No|nifD|consensus50|strict_single_dominant	CLBJ-14-1-No	D11	Strophostyles leiosperma	6/19/24	9.205	441.84	Half	CLBJ-14	dry	nodule	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_002_T	Wise	TX	yes	33.40398	-97.57114	5/8/24	nodule	Strophostyles	Phaseoleae	yes
CLBJ-25-2-No|nifD|consensus50|strict_single_dominant	CLBJ-25-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Bradyrhizobium_sp._PUT101	Bradyrhizobium	nifD|Bradyrhizobium_sp._PUT101|XYX37711.1	Bradyrhizobium_sp._PUT101	87.384	753	49.1514	0	850	Bradyrhizobium	Strict single-dominant	Bradyrhizobium	Bradyrhizobium	CLBJ-25-2-No|nifD|consensus50|strict_single_dominant	CLBJ-25-2-No	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	nodule	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	nodule	Dalea	Amorpheae	yes
CLBJ-25-2-Rh|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Azorhizobium_caulinodans	Azorhizobium	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	87.766	752	49.0862	0	865	Azorhizobium	Strict single-dominant	Azorhizobium	Azorhizobium	CLBJ-25-2-Rh|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Rh	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	rhizosphere	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	rhizosphere	Dalea	Amorpheae	yes
CLBJ-25-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	85.878	1310	85.5091	0	1395	Microvirga	Strict single-dominant	Microvirga	Microvirga	CLBJ-25-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Ro	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	root	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	root	Dalea	Amorpheae	yes
DSNY-GARE-35-1-Rh|nifD|consensus50|strict_single_dominant	DSNY-GARE-35-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Microvirga_lotononidis	Microvirga	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	87.122	761	49.6736	0	863	Microvirga	Strict single-dominant	Microvirga	Microvirga	DSNY-GARE-35-1-Rh|nifD|consensus50|strict_single_dominant	DSNY-GARE-35-1-Rh	D03	Galactia regularis cf sp.	9/18/24	0	0	Quarter	DSNY-GARE-35	dry	rhizosphere	Fabaceae	DSNY	Galactia	Diocleae	DSNY_006	Osceola	Florida	yes	NA	NA	20240430	rhizosphere	Galactia	Diocleae	yes
CLBJ-29-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-29-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Azorhizobium_caulinodans	Azorhizobium	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	87.533	754	49.2167	0	854	Azorhizobium	Strict single-dominant	Azorhizobium	Azorhizobium	CLBJ-29-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-29-2-Ro	D11	Dalea aurea	9/18/24	0.088	4.224	Quarter	CLBJ-29	ethanol	root	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_037_R	Wise	TX	yes	33.322109	-97.58278	6/5/24	root	Dalea	Amorpheae	yes
DSNY-49-2-Rh|nifD|consensus50|strict_single_dominant	DSNY-49-2-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Azorhizobium_caulinodans	Azorhizobium	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	88.032	752	49.0862	0	878	Azorhizobium	Strict single-dominant	Azorhizobium	Azorhizobium	DSNY-49-2-Rh|nifD|consensus50|strict_single_dominant	DSNY-49-2-Rh	D03	Chamaecrista nictitans	9/18/24	0	0	Quarter	DSNY-CHNI2-49	dry	rhizosphere	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_043	Osceola	Florida	yes	NA	NA	20240529	rhizosphere	Chamaecrista	Cassieae	yes
OSBS-55-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-55-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Mesorhizobium_sp._WSM4083	Mesorhizobium	nifD|Mesorhizobium_sp._WSM4083|XXN81637.1	Mesorhizobium_sp._WSM4083	86.476	806	52.611	0	905	Mesorhizobium	Strict single-dominant	Mesorhizobium	Mesorhizobium	OSBS-55-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-55-1-Ro	D03	Lespedeza hirta	3/6/25	0.478	22.944	Quarter	OSBS-55	dry	root	Fabaceae	OSBS	Lespedeza	Desmodieae	OSBS_063	Putnam	FL	yes	NA	NA	20240618	root	Lespedeza	Desmodieae	yes
GUAN-6-3-No|nifD|consensus50|strict_single_dominant	GUAN-6-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	86.567	804	52.4804	0	898	Microvirga	Strict single-dominant	Microvirga	Microvirga	GUAN-6-3-No|nifD|consensus50|strict_single_dominant	GUAN-6-3-No	D04	Desmodium tortuosum	1/23/25	0	0	Quarter	GUAN-6	dry	nodule	Fabaceae	GUAN	Desmodium	Desmodieae	GUAN_006	Guanica	P.R	yes	17.9616329	-66.872119	10/14/24	nodule	Desmodium	Desmodieae	yes
OSBS-82-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-82-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_strict_best_reference_hit_with_taxon.tsv	nifD_strict_best_reference_hit_with_taxon.tsv	strict	nifD	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	86.49	792	51.6971	0	881	Microvirga	Strict single-dominant	Microvirga	Microvirga	OSBS-82-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-82-1-Ro	D03	Stylosanthes biflora	2/13/25	NA	0	Quarter	OSBS-82	dry	root	Fabaceae	OSBS	Stylosanthes	Dalbergieae	OSBS_004	Putnam	FL	yes	NA	NA	20240822	root	Stylosanthes	Dalbergieae	yes
