sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
CLBJ-14-1-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	Mesorhizobium	90.084	1311	85.5744	0.0	1701.0
CLBJ-2-No|nifD|consensus50|strict_single_dominant	nifD|Rhizobium_azibense|CAO4004965.1	Rhizobium_azibense	Rhizobium	96.782	1305	85.1828	0.0	2178.0
CLBJ-25-2-No|nifD|consensus50|strict_single_dominant	nifD|Bradyrhizobium_sp._PUT101|XYX37711.1	Bradyrhizobium_sp._PUT101	Bradyrhizobium	87.384	753	49.1514	0.0	850.0
CLBJ-25-2-Rh|nifD|consensus50|strict_single_dominant	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	Azorhizobium	87.766	752	49.0862	0.0	865.0
CLBJ-25-2-Ro|nifD|consensus50|strict_single_dominant	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	Microvirga	85.878	1310	85.5091	0.0	1395.0
CLBJ-26-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_prairiense|WEJ13935.1	Sinorhizobium_prairiense	Sinorhizobium	91.387	1312	85.6397	0.0	1796.0
CLBJ-27-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_prairiense|WEJ13935.1	Sinorhizobium_prairiense	Sinorhizobium	91.692	1312	85.6397	0.0	1818.0
CLBJ-29-2-Ro|nifD|consensus50|strict_single_dominant	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	Azorhizobium	87.533	754	49.2167	0.0	854.0
CLBJ-35-1-No|nifD|consensus50|strict_single_dominant	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	Microvirga	87.357	1313	85.7050	0.0	1504.0
CLBJ-36-1-No|nifD|consensus50|strict_single_dominant	nifD|Azorhizobium_caulinodans|BFG68023.1	Azorhizobium_caulinodans	Azorhizobium	86.951	751	49.0209	0.0	832.0
CLBJ-39-1-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	Mesorhizobium	87.995	833	54.3734	0.0	983.0
CLBJ-4-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_chiapasense|WVT06435.1	Sinorhizobium_chiapasense	Sinorhizobium	95.926	1301	84.9217	0.0	2109.0
CLBJ-4-1-Ro|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_chiapasense|WVT06435.1	Sinorhizobium_chiapasense	Sinorhizobium	95.932	1303	85.0522	0.0	2113.0
CLBJ-41-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	94.466	777	50.7180	0.0	1218.0
CLBJ-46-1-Ro|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	87.902	777	50.7180	0.0	935.0
CLBJ-5-2-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	Mesorhizobium	97.487	1313	85.7050	0.0	2242.0
CLBJ-8-1-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	Mesorhizobium	90.340	1294	84.4648	0.0	1731.0
CLBJ-9-1-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._WSM4083|XXN81637.1	Mesorhizobium_sp._WSM4083	Mesorhizobium	87.129	808	52.7415	0.0	917.0
CPER-2-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.083	1308	85.3786	0.0	2350.0
CPER-3-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.847	1308	85.3786	0.0	2405.0
CPER-3-1-Rh|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.847	1308	85.3786	0.0	2405.0
CPER-4-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.465	1308	85.3786	0.0	2377.0
CPER-5-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.618	1308	85.3786	0.0	2388.0
CPER-5-1-Rh|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.618	1308	85.3786	0.0	2388.0
DCFS-1-2-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP03454.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	95.381	433	28.2637	0.0	689.0
DCFS-2-2-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP03454.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.847	1307	85.3133	0.0	2403.0
DCFS-3-2-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.694	1308	85.3786	0.0	2394.0
DCFS-3-2-Rh|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP03454.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	93.395	1302	84.9869	0.0	1945.0
DCFS-3-2-Ro|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.099	777	50.7180	0.0	1397.0
DCFS-5-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.465	1308	85.3786	0.0	2377.0
DCFS-6-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.159	1308	85.3786	0.0	2355.0
DCFS-7-1-Rh|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	87.874	1303	85.0522	0.0	1550.0
DCFS-8-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP03454.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.846	1302	84.9869	0.0	2394.0
DEJU-11-1-Ro|nifD|consensus50|strict_single_dominant	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	Microvirga	90.909	1309	85.4439	0.0	1759.0
DEJU-20-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	90.520	1308	85.3786	0.0	1749.0
DEJU-22-1-No|nifD|consensus50|strict_single_dominant	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	Microvirga	85.725	1310	85.5091	0.0	1447.0
DEJU-23-1-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XWQ88866.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	87.969	1305	85.1828	0.0	1535.0
DEJU-28-2-No|nifD|consensus50|strict_single_dominant	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	89.397	1311	85.5744	0.0	1648.0
DEJU-3-1-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	Mesorhizobium	86.325	1287	84.0078	0.0	1426.0
DEJU-30-No|nifD|consensus50|strict_single_dominant	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	Microvirga	84.645	1309	85.4439	0.0	1365.0
DEJU-37-No|nifD|consensus50|strict_single_dominant	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	Mesorhizobium	87.422	1288	84.0731	0.0	1480.0
DEJU-39-No|nifD|consensus50|strict_single_dominant	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	Microvirga	87.217	884	57.7023	0.0	1007.0
