duplicate_group	record_name	length
duplicate_group_1	NC_002678_nitrogen_fixation_protein_NifQ_CDS_Mesorhizobium_japonicum_MAFF_303099	648
duplicate_group_1	NC_002678_nitrogen_fixation_protein_NifQ_CDS_Mesorhizobium_japonicum_MAFF_303099_2	648
duplicate_group_2	NC_002678_nodulation_factor_fucose_acetyltransferase_NolL_CDS_Mesorhizobium_japonicum_MAFF_303099	1122
duplicate_group_2	NC_002678_nodulation_factor_fucose_acetyltransferase_NolL_CDS_Mesorhizobium_japonicum_MAFF_303099_2	1122
duplicate_group_3	NC_002678_nodulation_protein_NfeD_CDS_Mesorhizobium_japonicum_MAFF_303099	1422
duplicate_group_3	NC_002678_nodulation_protein_NfeD_CDS_Mesorhizobium_japonicum_MAFF_303099_2	1422
duplicate_group_4	NZ_CP141049_nifW_CDS_Microvirga_lotononidis_strain_HAMBI_3237_plasmid_unnamed1	384
duplicate_group_4	NZ_CP141049_nifW_CDS_Microvirga_lotononidis_strain_HAMBI_3237_plasmid_unnamed1_2	384
