tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
BLAN-1-1-No|nolG|consensus50|strict_single_dominant	BLAN-1-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.437	3198	100	0	5836	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	BLAN-1-1-No|nolG|consensus50|strict_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no
BLAN-1-1-Rh|nolG|consensus50|strict_single_dominant	BLAN-1-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	3197	99.9687	0	5888	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	BLAN-1-1-Rh|nolG|consensus50|strict_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no
CLBJ-7-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-7-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	3197	99.9687	0	5888	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	CLBJ-7-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-7-1-Rh	D11	Neptunia lutea	6/13/24	0	0	Quarter	CLBJ-7	ethanol	rhizosphere	Fabaceae	CLBJ	Neptunia	Mimosoideae	CLBJ_001_T	Wise	TX	yes	33.39787	-97.568339	4/30/24	rhizosphere	Neptunia	Mimosoideae	yes
WOOD-5-1-Ro|nolG|consensus50|strict_single_dominant	WOOD-5-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	3198	100	0	5890	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	WOOD-5-1-Ro|nolG|consensus50|strict_single_dominant	WOOD-5-1-Ro	D09	Dalea candida	4/24/25	0	0	Quarter	WOOD-5	ethanol	root	Fabaceae	WOOD	Dalea	Amorpheae	BARR_027	Stutsman	ND	yes	47.13	99.24	9/23/24	root	Dalea	Amorpheae	yes
DCFS-5-1-Rh|nolG|consensus50|strict_single_dominant	DCFS-5-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.875	3198	100	0	5884	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	DCFS-5-1-Rh|nolG|consensus50|strict_single_dominant	DCFS-5-1-Rh	D09	Medicago lupulina	4/23/25	0	0	Quarter	DCFS-5	dry	rhizosphere	Fabaceae	DCFS	Medicago	Trifolieae	DCFS_065	Stutsman	ND	no	47.16085	99.11081	6/20/24	rhizosphere	Medicago	Trifolieae	no
KONZ-1-Rh|nolG|consensus50|strict_single_dominant	KONZ-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28300.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.742	3180	99.4371	0	5718	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	KONZ-1-Rh|nolG|consensus50|strict_single_dominant	KONZ-1-Rh	D06	Lespedeza capitata	8/29/24	1.52	72.96	Quarter	KONZ-1	dry	rhizosphere	Fabaceae	KONZ	Lespedeza	Desmodieae	KONZ_046	Riley	KS	yes	39.103	-96.56374	20240703	rhizosphere	Lespedeza	Desmodieae	yes
DSNY-91-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-91-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.731	2230	69.7311	0	4096	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	DSNY-91-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-91-1-Rh	D03	Chamaecrista fasciculata	4/4/25	0	0	Quarter	DSNY-91	dry	rhizosphere	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_001	Polk	Florida	yes	28.1019698	-81.4240004	20240904	rhizosphere	Chamaecrista	Cassieae	yes
CLBJ-26-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-26-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	3198	100	0	5890	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	CLBJ-26-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-26-1-Rh	D11	Strophostyles leiosperma	9/18/24	0	0	Quarter	CLBJ-26	ethanol	rhizosphere	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	rhizosphere	Strophostyles	Phaseoleae	yes
OAES-9-1-Rh|nolG|consensus50|strict_single_dominant	OAES-9-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.625	3196	99.9375	0	5845	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	OAES-9-1-Rh|nolG|consensus50|strict_single_dominant	OAES-9-1-Rh	D11	Astragalus missouriensis	7/9/24	0.505	24.24	Quarter	OAES-9	ethanol	rhizosphere	Fabaceae	OAES	Astragalus	Galegeae	OAES_044_T	Washita	OK	yes	35.24131	-99.33629	4/2/24	rhizosphere	Astragalus	Galegeae	yes
DSNY-CRMA-33-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-CRMA-33-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nolG/05_blast_taxon_annotation/nolG_strict_best_reference_hit_with_taxon.tsv	nolG_strict_best_reference_hit_with_taxon.tsv	strict	nolG	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nolG|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO37334.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.093	3198	100	0	5795	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	DSNY-CRMA-33-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-CRMA-33-1-Rh	D03	Crotalaria maritima	9/18/24	0	0	Quarter	DSNY-CRMA-33	dry	rhizosphere	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_001	Osceola	Florida	yes	NA	NA	20240402	rhizosphere	Crotalaria	Crotalarieae	yes
