sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.940	1657	98.9845	0.0	3057.0
BLAN-1-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.638	1656	98.9247	0.0	3027.0
BLAN-1-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.436	1662	99.2832	0.0	2972.0
BLAN-2-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.699	1662	99.2832	0.0	3042.0
BLAN-2-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.759	1662	99.2832	0.0	3048.0
BLAN-2-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
BLAN-3-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
BLAN-4-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
CLBJ-40-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
CLBJ-5-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
CPER-2-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.216	1659	99.1039	0.0	2994.0
CPER-2-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
CPER-3-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
CPER-5-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
CPER-5-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1661	99.2234	0.0	3068.0
DCFS-2-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
DCFS-2-2-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	525	31.3620	0.0	970.0
DCFS-2-2-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.730	740	44.2055	0.0	1356.0
DCFS-3-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22208.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
DCFS-3-2-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.514	1439	85.9618	0.0	2623.0
DCFS-3-2-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22208.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1661	99.2234	0.0	3057.0
DCFS-4-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.639	1662	99.2832	0.0	3037.0
DCFS-4-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.458	1662	99.2832	0.0	3020.0
DCFS-4-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.519	1662	99.2832	0.0	3025.0
DCFS-5-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND35617.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.507	1623	96.9534	0.0	2953.0
DCFS-6-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.458	1660	99.1637	0.0	3016.0
DCFS-8-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
DCFS-8-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1661	99.2234	0.0	3057.0
DCFS-8-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
DEJU-59-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1489	88.9486	0.0	2750.0
DELA-26-3-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.940	1662	99.2832	0.0	3064.0
DSNY-14-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
DSNY-15-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
HEAL-7-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.556	1662	99.2832	0.0	2979.0
JERC-DEST-32-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
JORN-3-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
KONZ-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
KONZ-6-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
LAJA-25-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.195	1662	99.2832	0.0	2959.0
LENO-15-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.940	1662	99.2832	0.0	3064.0
NIWO-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	98.417	1327	79.2712	0.0	2361.0
NOGP-1-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_medicae_(Ensifer_medicae)|WQO54450.1	Sinorhizobium_medicae_(Ensifer_medicae)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
NOGP-1-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.398	1662	99.2832	0.0	3020.0
NOGP-1-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.579	1662	99.2832	0.0	3031.0
NOGP-2-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
NOGP-2-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-2-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
NOGP-3-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-3-2-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQO97007.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.940	1662	99.2832	0.0	3064.0
NOGP-3-2-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-5-2-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.218	1662	99.2832	0.0	3003.0
NOGP-5-2-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.097	1662	99.2832	0.0	2987.0
NOGP-6-3-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-6-3-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-6-3-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.880	1662	99.2832	0.0	3059.0
NOGP-7-2-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.719	1066	63.6798	0.0	1953.0
OAES-1-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
OAES-14-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
OAES-14-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1660	99.1637	0.0	3049.0
OAES-14-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
OAES-15-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QQF06432.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.819	1662	99.2832	0.0	3053.0
OAES-2-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
OAES-2-1-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90961.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
OAES-20-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UFX12595.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.391	986	58.9008	0.0	1788.0
OAES-21-3-Ro|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UFX12595.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.939	1630	97.3716	0.0	3005.0
OAES-22-1-No|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UFX12595.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1662	99.2832	0.0	3070.0
OAES-23-1-Rh|noeB|consensus50|strict_single_dominant	noeB|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UFX12595.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.691	1294	77.2999	0.0	2368.0
