tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nodL|consensus50|strict_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.638	90.1961	0	1009
BLAN-1-1-Rh|nodL|consensus50|strict_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
CPER-3-1-Ro|nodL|consensus50|strict_single_dominant	CPER-3-1-Ro	D10	Melilotus officinalis	5/23/25	1.215	58.32	Quarter	CPER-3	dry	root	Fabaceae	CPER	Melilotus	Trifolieae	CPER_005	Weld	CO	no	NA	NA	6/17/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
WOOD-8-No|nodL|consensus50|strict_single_dominant	WOOD-8-No	D09	Medicago lupulina	4/24/25	0	0	Quarter	WOOD-8	ethanol	nodule	Fabaceae	WOOD	Medicago	Trifolieae	BARR_027	Stutsman	ND	no	47.12819	99.23817	9/23/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
HEAL-7-1-Ro|nodL|consensus50|strict_single_dominant	HEAL-7-1-Ro	D19	Alnus viridis	4/4/25	0	0	Quarter	HEAL-7	ethanol	root	Betulaceae	HEAL	Alnus	actinorhizal	HEAL_004	Denali Borough	Alaska	yes	63.86378 N	149.27284 W	20240723	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
CPER-5-1-Ro|nodL|consensus50|strict_single_dominant	CPER-5-1-Ro	D10	Melilotus officinalis	5/23/25	0.098	4.704	Quarter	CPER-5	dry	root	Fabaceae	CPER	Melilotus	Trifolieae	CPER_022	Weld	CO	no	NA	NA	6/24/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
SERC-3-1-Ro|nodL|consensus50|strict_single_dominant	SERC-3-1-Ro	D02	Amphicarpaea bracteata	4/15/25	0.6055	29.064	Quarter	SERC-3	ethanol	root	Fabaceae	SERC	Amphicarpaea	Phaseoleae	SERC_016	Anne Arundel	MD	yes	38.899477	-76.547521	8/14/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
BLAN-2-1-Ro|nodL|consensus50|strict_single_dominant	BLAN-2-1-Ro	D02	Desmodium sp.	4/23/25	0.1405	6.744	Quarter	BLAN-2	ethanol	root	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
NOGP-2-1-No|nodL|consensus50|strict_single_dominant	NOGP-2-1-No	D09	Medicago sativa	4/23/25	0	0	Quarter	NOGP-2	dry	nodule	Fabaceae	NOGP	Medicago	Trifolieae	NOGP_001	NA	ND	no	46.80621	-100.9157	6/27/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
NOGP-2-1-Ro|nodL|consensus50|strict_single_dominant	NOGP-2-1-Ro	D09	Medicago sativa	4/23/25	1.14	54.72	Quarter	NOGP-2	dry	root	Fabaceae	NOGP	Medicago	Trifolieae	NOGP_001	NA	ND	no	46.80621	-100.9157	6/27/24	Sinorhizobium	Sinorhizobium_meliloti_Rm41	100	90.1961	0	1020
