DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST query coverage
COLOR	#000000
COLOR_MIN	#edf8fb
COLOR_MAX	#006d2c
DATA
BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	71.6148
BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant	79.9398
OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
DEJU-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
OAES-21-3-Rh|nifH|consensus50|pass_single_dominant	80.0401
DSNY-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.2467
YELL-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
OAES-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
DSNY-15-1-Rh|nifH|consensus50|pass_single_dominant	82.4473
OAES-25-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.0461
CPER-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
NOGP-6-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
DCFS-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
NOGP-2-1-No|nifH|consensus50|pass_single_dominant	82.1464
OSBS-36-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
OAES-36-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
OAES-36-3-No|nifH|consensus50|pass_single_dominant	82.1464
NOGP-3-2-Ro|nifH|consensus50|pass_single_dominant	82.1464
WOOD-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
OAES-36-2-No|nifH|consensus50|pass_single_dominant	82.1464
DCFS-2-2-No|nifH|consensus50|pass_single_dominant	81.8455
NOGP-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
WOOD-7-1-No|nifH|consensus50|pass_single_dominant	82.1464
WOOD-12-No|nifH|consensus50|pass_single_dominant	82.1464
NOGP-3-2-No|nifH|consensus50|pass_single_dominant	82.1464
DCFS-3-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
CPER-3-1-No|nifH|consensus50|pass_single_dominant	82.4473
CPER-4-No|nifH|consensus50|pass_single_dominant	82.4473
NOGP-6-3-Ro|nifH|consensus50|pass_single_dominant	81.8455
NOGP-1-1-No|nifH|consensus50|pass_single_dominant	81.8455
WOOD-3-2-No|nifH|consensus50|pass_single_dominant	81.5446
CPER-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
CPER-4-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
OAES-14-1-No|nifH|consensus50|pass_single_dominant	81.2437
OAES-2-1-No|nifH|consensus50|pass_single_dominant	81.8455
OAES-22-1-No|nifH|consensus50|pass_single_dominant	81.5446
CPER-5-1-No|nifH|consensus50|pass_single_dominant	82.4473
CPER-5-1-Rh|nifH|consensus50|pass_single_dominant	82.4473
OAES-14-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
DCFS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
DCFS-8-1-No|nifH|consensus50|pass_single_dominant	82.1464
NOGP-4-1-Ro|nifH|consensus50|pass_single_dominant	82.4473
NOGP-5-2-Ro|nifH|consensus50|pass_single_dominant	82.4473
WOOD-6-1-No|nifH|consensus50|pass_single_dominant	82.1464
NOGP-2-1-Ro|nifH|consensus50|pass_single_dominant	82.1464
CPER-3-1-Rh|nifH|consensus50|pass_single_dominant	81.8455
OAES_19-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
OAES-2-1-Ro|nifH|consensus50|pass_single_dominant	82.0461
WOOD-11-1-No|nifH|consensus50|pass_single_dominant	81.8455
CPER-4-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
OAES-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
CPER-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
CPER-5-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
KONZ-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.0371
WOOD-8-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
OSBS-36-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
JERC-141-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.4383
WOOD-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
WOOD-8-No|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
DEJU-28-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
OSBS-101-1-Ro|nifH|consensus50|pass_single_dominant	71.7151
TOOL-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.3440
DEJU-55-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
OAES-15-Rh|nifH|consensus50|pass_single_dominant	79.1374
BLAN-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
DSNY-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
WOOD-10-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
WOOD-12-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
WOOD-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
NOGP-7-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
RMNP-1-Ro|nifH|consensus50|pass_single_dominant	80.2407
TOOL-13-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
CLBJ-7-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
DEJU-59-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
DEJU-60-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
JERC-147-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.1374
JERC-132-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
OSBS-8-5-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.0491
JERC-198-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
SERC-3-1-Ro|nifH|consensus50|pass_single_dominant	80.0401
DCFS-2-2-Ro|nifH|consensus50|pass_single_dominant	82.0461
HEAL-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
TOOL-1-Rh|nifH|consensus50|pass_single_dominant	81.8455
JERC-150-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
CPER-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
TOOL-25-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
DSNY-5-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
OSBS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.0491
JERC-RHTO-58-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.6510
NOGP-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
WOOD-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
DEJU-59-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
JERC-102-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
JERC-197-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.5416
WOOD-11-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
BONA-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
HEAL-1-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
HEAL-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.3410
HEAL-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
HEAL-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
HEAL-9-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
HARV-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
DSNY-29-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.0491
TALL-60-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
TALL-72-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
TALL-72-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.8516
DSNY-18-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
LENO-15-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
SCBI-13-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
SCBI-8-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
WOOD-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
LENO-16-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
MLBS-1-1-No|nifH|consensus50|pass_single_dominant	81.8455
DSNY-8-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.7422
SCBI-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	79.4383
DSNY-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
DSNY-4-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
OSBS-4-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
TALL-8-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
TALL-9-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
OSBS-2-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
OSBS-2-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
TALL-90-1-No|nifH|consensus50|pass_single_dominant	75.6269
OSBS-5-5-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
TOOL-5-Ro|nifH|consensus50|pass_single_dominant	82.4473
CLBJ-12-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
JERC-89-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
JERC-10-3-No|nifH|consensus50|pass_single_dominant	79.2377
JERC-11-1-Rh|nifH|consensus50|pass_single_dominant	82.1464
JERC-12-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.0491
JERC-6-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
JERC-8-2-No|nifH|consensus50|pass_single_dominant	80.8425
KONZ-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
JERC-53-5-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
JERC-89-1-Ro|nifH|consensus50|pass_single_dominant	79.4383
JERC-90-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
RMNP-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.8455
JERC-142-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.4473
JERC-98-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
ORNL-23-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
ORNL-17-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	83.2497
NIWO-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.2497
TOOL-22-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.5386
DEJU-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
BONA-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
CLBJ-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.1404
JERC-4-1-No|nifH|consensus50|pass_single_dominant	82.4473
JERC-13-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
JERC-2-1-No|nifH|consensus50|pass_single_dominant	82.3470
JERC-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.0401
JERC-5-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.1404
CLBJ-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	80.1404
JERC-6-3-No|nifH|consensus50|pass_single_dominant	81.8455
JERC-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
CLBJ-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
JERC-3-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.7392
CLBJ-8-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	81.5446
DSNY-75-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
JERC-1-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
CLBJ-11-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	81.5446
OAES-1-1-No|nifH|consensus50|pass_single_dominant	72.4173
OAES-4-1-Ro|nifH|consensus50|pass_single_dominant	72.4173
OAES-7-1-No|nifH|consensus50|pass_single_dominant	72.4173
OAES-7-1-Rh|nifH|consensus50|pass_single_dominant	72.4173
OAES-7-1-Ro|nifH|consensus50|pass_single_dominant	72.4173
OAES-4-1-No|nifH|consensus50|pass_single_dominant	72.4173
OAES-16-1-No|nifH|consensus50|pass_single_dominant	72.4173
OAES-25-1-No|nifH|consensus50|pass_single_dominant	72.4173
OAES-16-1-Rh|nifH|consensus50|pass_single_dominant	72.4173
OAES-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.4443
OAES-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	80.8425
OAES-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.2437
JERC-11-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.0461
OAES-3-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	81.1434
CLBJ-26-1-No|nifH|consensus50|pass_single_dominant	82.1464
CLBJ-27-1-No|nifH|consensus50|pass_single_dominant	82.1464
GUAN-5-No|nifH|consensus50|pass_single_dominant	82.1464
GUAN-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
OAES-6-1-Ro|nifH|consensus50|pass_single_dominant	80.0401
LAJA-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.1464
CLBJ-4-1-No|nifH|consensus50|pass_single_dominant	82.5476
CLBJ-4-1-Ro|nifH|consensus50|pass_single_dominant	80.0401
CLBJ-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	80.2407
CLBJ-50-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	79.4383
OAES-5-Rh|nifH|consensus50|pass_single_dominant	71.9157
LAJA-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.6510
LAJA-6-1-Rh|nifH|consensus50|pass_single_dominant	83.6510
TALL-78-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	80.2407
LAJA-22-2-No|nifH|consensus50|pass_single_dominant	82.9488
DSNY-17-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.0461
DEJU-7-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	82.9488
GUAN-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
HEAL-10-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
ORNL-11-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	83.3501
HARV-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	82.6479
KONZ-12-1-No|nifH|consensus50|pass_single_dominant	83.4504
