tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	CLBJ-14-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	90.326	827	92.5056	0	1081	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	CLBJ-14-1-No	D11	Strophostyles leiosperma	6/19/24	9.205	441.84	Half	CLBJ-14	dry	nodule	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_002_T	Wise	TX	yes	33.40398	-97.57114	5/8/24	nodule	Strophostyles	Phaseoleae	yes
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	CLBJ-16-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_azibense	Rhizobium	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	85.627	821	91.8345	0	859	NA	Strict single-dominant	Rhizobium	Rhizobium	CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	CLBJ-16-2-No	D11	Lespedeza virginica	6/19/24	1.385	66.48	Quarter	CLBJ-16	dry	nodule	Fabaceae	CLBJ	Lespedeza	Desmodieae	CLBJ_003_T	Wise	TX	yes	33.403989	-97.572744	5/8/24	nodule	Lespedeza	Desmodieae	yes
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	OSBS-14-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_azibense	Rhizobium	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	85.437	824	92.17	0	854	NA	Strict single-dominant	Rhizobium	Rhizobium	OSBS-14-3-No|nifH|consensus50|strict_single_dominant	OSBS-14-3-No	D03	Tephrosia virginiana	8/19/24	0.4795	23.016	Quarter	OSBS-TEVI-14	dry	nodule	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_026	Putnam	FL	yes	NA	NA	20240521	nodule	Tephrosia	Millettieae	yes
DELA-4-1-No|nifH|consensus50|strict_single_dominant	DELA-4-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Bradyrhizobium_sp._PUT101	Bradyrhizobium	nifH|Bradyrhizobium_sp._PUT101|XYX37671.1	Bradyrhizobium_sp._PUT101	82.63	829	93.6723	0	778	NA	Strict single-dominant	Bradyrhizobium	Bradyrhizobium	DELA-4-1-No|nifH|consensus50|strict_single_dominant	DELA-4-1-No	D08	Desmodium perplexum	4/4/25	0.0915	4.392	Quarter	DELA-4	dry	nodule	Fabaceae	DELA	Desmodium	Desmodieae	DELA_016	Green County	AL	yes	32.535793	-87.808361	8/13/24	nodule	Desmodium	Desmodieae	yes
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	CLBJ-42-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifH/05_blast_taxon_annotation/nifH_strict_best_reference_hit_with_taxon.tsv	nifH_strict_best_reference_hit_with_taxon.tsv	strict	nifH	Microvirga_sp._RSM25	Microvirga	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	85.28	822	82.4473	0	843	Microvirga	Strict single-dominant	Microvirga	Microvirga	CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	CLBJ-42-1-No	D11	Chamaecrista fasciculata	4/10/25	0	0	Quarter	CLBJ-42	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_034	Wise	TX	yes	33.2369	-97.34128	9/2/24	nodule	Chamaecrista	Cassieae	yes
JERC-201-1-No|nifH|consensus50|strict_single_dominant	JERC-201-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	85.475	716	80.0895	0	747	NA	Strict single-dominant	Mesorhizobium	Mesorhizobium	JERC-201-1-No|nifH|consensus50|strict_single_dominant	JERC-201-1-No	D03	Desmodium laevigatum	4/3/25	25.4	1219.2	Half	JERC-201	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_004	Baker County	Georgia	yes	NA	NA	20241029	nodule	Desmodium	Desmodieae	yes
JERC-43-1-No|nifH|consensus50|strict_single_dominant	JERC-43-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_sp._YTUHZ044	Rhizobium	nifH|Rhizobium_sp._YTUHZ044|XXA98993.1	Rhizobium_sp._YTUHZ044	85.749	828	92.6174	0	874	NA	Strict single-dominant	Rhizobium	Rhizobium	JERC-43-1-No|nifH|consensus50|strict_single_dominant	JERC-43-1-No	D03	Lespedeza cf. repens	1/23/25	7.53	361.44	Half	JERC-43	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_005	Baker County	Georgia	yes	NA	NA	20240604	nodule	Lespedeza	Desmodieae	yes
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	JERC-RHDI-59-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Microvirga_sp._RSM25	Microvirga	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	82.909	825	92.2819	0	771	NA	Strict single-dominant	Microvirga	Microvirga	JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	JERC-RHDI-59-3-No	D03	Rhynchosia difformis	12/4/24	39.3	1886.4	Half	JERC-59	dry	nodule	Fabaceae	JERC	Rhynchosia	Phaseoleae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Rhynchosia	Phaseoleae	yes
JERC-45-5-No|nifH|consensus50|strict_single_dominant	JERC-45-5-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_binae	Rhizobium	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	86.482	614	68.6801	0	671	NA	Strict single-dominant	Rhizobium	Rhizobium	JERC-45-5-No|nifH|consensus50|strict_single_dominant	JERC-45-5-No	D03	Stylosanthes biflora	12/4/24	10.4	499.2	Half	JERC-45	dry	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_005	Baker County	Georgia	yes	NA	NA	20240604	nodule	Stylosanthes	Dalbergieae	yes
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-60-3-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/sample_nifH_best_reference_hit_with_taxon.tsv	sample_nifH_best_reference_hit_with_taxon.tsv	strict	nifH	Rhizobium_binae	Rhizobium	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	86.408	824	92.17	0	898	NA	Strict single-dominant	Rhizobium	Rhizobium	JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-60-3-No	D03	Chamaecrista nictitans	12/4/24	7.705	369.84	Half	JERC-60	dry	nodule	Fabaceae	JERC	Chamaecrista	Cassieae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Chamaecrista	Cassieae	yes
