LABELS
SEPARATOR TAB
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	BLAN-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.9% id | 89.0% qcov
BONA-10-Ro|nifH|consensus50|strict_single_dominant	BONA-10-Ro|nifH|consensus50|strict_single_dominant | closest: Ensifer_sp | 87.4% id | 75.3% qcov
CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant	CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_prairiense | 90.2% id | 75.3% qcov
LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant	LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 91.2% id | 73.6% qcov
JERC-198-No|nifH|consensus50|strict_single_dominant	JERC-198-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.6% id | 91.8% qcov
JERC-37-2-No|nifH|consensus50|strict_single_dominant	JERC-37-2-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_fredii_(Rhizobium_fredii) | 86.4% id | 89.3% qcov
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 85.4% id | 92.2% qcov
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	JERC-37-2-Ro|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 87.0% id | 92.2% qcov
HARV-1-1-No|nifH|consensus50|strict_single_dominant	HARV-1-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 87.4% id | 91.4% qcov
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	UKFS-4-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 86.7% id | 91.4% qcov
OSBS-104-1-No|nifH|consensus50|strict_single_dominant	OSBS-104-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-04 | 89.2% id | 77.3% qcov
DELA-25-2-No|nifH|consensus50|strict_single_dominant	DELA-25-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 88.9% id | 63.1% qcov
JERC-157-2-No|nifH|consensus50|strict_single_dominant	JERC-157-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 86.5% id | 94.2% qcov
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	CLBJ-34-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.9% id | 92.5% qcov
