DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST reference coverage
COLOR	#000000
COLOR_MIN	#f7fcfd
COLOR_MAX	#084081
DATA
BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	93.4463
BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	93.4463
BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.2034
BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	79.8658
BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant	89.1499
OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DEJU-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OAES-21-3-Rh|nifH|consensus50|pass_single_dominant	89.2617
DSNY-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.7226
YELL-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
OAES-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	92.9530
DSNY-15-1-Rh|nifH|consensus50|pass_single_dominant	91.9463
OAES-25-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.4989
CPER-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
NOGP-6-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DCFS-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
NOGP-2-1-No|nifH|consensus50|pass_single_dominant	91.6107
OSBS-36-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
OAES-36-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
OAES-36-3-No|nifH|consensus50|pass_single_dominant	91.6107
NOGP-3-2-Ro|nifH|consensus50|pass_single_dominant	91.6107
WOOD-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-36-2-No|nifH|consensus50|pass_single_dominant	91.6107
DCFS-2-2-No|nifH|consensus50|pass_single_dominant	91.2752
NOGP-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
WOOD-7-1-No|nifH|consensus50|pass_single_dominant	91.6107
WOOD-12-No|nifH|consensus50|pass_single_dominant	91.6107
NOGP-3-2-No|nifH|consensus50|pass_single_dominant	91.6107
DCFS-3-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CPER-3-1-No|nifH|consensus50|pass_single_dominant	91.9463
CPER-4-No|nifH|consensus50|pass_single_dominant	91.9463
NOGP-6-3-Ro|nifH|consensus50|pass_single_dominant	91.2752
NOGP-1-1-No|nifH|consensus50|pass_single_dominant	91.2752
WOOD-3-2-No|nifH|consensus50|pass_single_dominant	90.9396
CPER-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CPER-4-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
OAES-14-1-No|nifH|consensus50|pass_single_dominant	90.6040
OAES-2-1-No|nifH|consensus50|pass_single_dominant	91.2752
OAES-22-1-No|nifH|consensus50|pass_single_dominant	90.9396
CPER-5-1-No|nifH|consensus50|pass_single_dominant	91.9463
CPER-5-1-Rh|nifH|consensus50|pass_single_dominant	91.9463
OAES-14-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
DCFS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
DCFS-8-1-No|nifH|consensus50|pass_single_dominant	91.6107
NOGP-4-1-Ro|nifH|consensus50|pass_single_dominant	91.9463
NOGP-5-2-Ro|nifH|consensus50|pass_single_dominant	91.9463
WOOD-6-1-No|nifH|consensus50|pass_single_dominant	91.6107
NOGP-2-1-Ro|nifH|consensus50|pass_single_dominant	91.6107
CPER-3-1-Rh|nifH|consensus50|pass_single_dominant	91.2752
OAES_19-2-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
OAES-2-1-Ro|nifH|consensus50|pass_single_dominant	91.4989
WOOD-11-1-No|nifH|consensus50|pass_single_dominant	91.2752
CPER-4-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
OAES-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
CPER-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
CPER-5-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
KONZ-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.1432
WOOD-8-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
OSBS-36-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
JERC-141-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.5906
WOOD-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
WOOD-8-No|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
DEJU-28-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
OSBS-101-1-Ro|nifH|consensus50|pass_single_dominant	79.9776
TOOL-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.7159
DEJU-55-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
OAES-15-Rh|nifH|consensus50|pass_single_dominant	88.2550
BLAN-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.9463
DSNY-14-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
WOOD-10-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.6107
WOOD-12-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	89.2617
WOOD-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.1700
NOGP-7-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
RMNP-1-Ro|nifH|consensus50|pass_single_dominant	89.4855
TOOL-13-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.2550
CLBJ-7-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.9262
DEJU-59-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
DEJU-60-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	91.2752
