sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	99.909	1095	98.6486	0.0	2017.0
BLAN-1-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.812	1066	96.0360	0.0	1958.0
BLAN-1-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	99.819	1103	99.3694	0.0	2026.0
BLAN-2-1-No|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND30455.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.439	1069	96.3063	0.0	1943.0
BLAN-2-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND30455.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	100.000	1104	99.4595	0.0	2039.0
BLAN-2-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	100.000	1103	99.3694	0.0	2037.0
BLAN-3-1-No|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	100.000	1090	98.1982	0.0	2013.0
BLAN-3-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.728	1103	99.3694	0.0	2021.0
BLAN-3-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	99.908	1086	97.8378	0.0	2001.0
BLAN-4-1-No|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QND30455.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.716	1057	95.2252	0.0	1936.0
BLAN-4-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	100.000	1103	99.3694	0.0	2037.0
BLAN-4-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UDU22256.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	99.909	1102	99.2793	0.0	2032.0
CLBJ-1-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_1021|AAK65139.1	Sinorhizobium_meliloti_1021	Sinorhizobium	100.000	1028	92.6126	0.0	1899.0
CLBJ-18-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_1021|AAK65139.1	Sinorhizobium_meliloti_1021	Sinorhizobium	100.000	1025	92.3423	0.0	1893.0
CLBJ-26-1-Rh|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	99.909	1103	99.3694	0.0	2032.0
CLBJ-40-1-Ro|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_Rm41|CCM70561.1	Sinorhizobium_meliloti_Rm41	Sinorhizobium	100.000	1100	99.0991	0.0	2032.0
CLBJ-5-2-No|nolF|consensus50|strict_single_dominant	nolF|Sinorhizobium_meliloti_1021|AAK65139.1	Sinorhizobium_meliloti_1021	Sinorhizobium	100.000	1099	99.0090	0.0	2030.0
