tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	CLBJ-14-1-No	D11	Strophostyles leiosperma	6/19/24	9.205	441.84	Half	CLBJ-14	dry	nodule	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_002_T	Wise	TX	yes	33.40398	-97.57114	5/8/24	nodule	Strophostyles	Phaseoleae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	90.326	82.9488	0	1081
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	CLBJ-16-2-No	D11	Lespedeza virginica	6/19/24	1.385	66.48	Quarter	CLBJ-16	dry	nodule	Fabaceae	CLBJ	Lespedeza	Desmodieae	CLBJ_003_T	Wise	TX	yes	33.403989	-97.572744	5/8/24	nodule	Lespedeza	Desmodieae	yes	Rhizobium	Rhizobium_azibense	85.627	82.347	0	859
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	OSBS-14-3-No	D03	Tephrosia virginiana	8/19/24	0.4795	23.016	Quarter	OSBS-TEVI-14	dry	nodule	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_026	Putnam	FL	yes	NA	NA	20240521	nodule	Tephrosia	Millettieae	yes	Rhizobium	Rhizobium_azibense	85.437	82.6479	0	854
DELA-4-1-No|nifH|consensus50|strict_single_dominant	DELA-4-1-No	D08	Desmodium perplexum	4/4/25	0.0915	4.392	Quarter	DELA-4	dry	nodule	Fabaceae	DELA	Desmodium	Desmodieae	DELA_016	Green County	AL	yes	32.535793	-87.808361	8/13/24	nodule	Desmodium	Desmodieae	yes	Bradyrhizobium	Bradyrhizobium_sp._PUT101	82.63	83.1494	0	778
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	CLBJ-42-1-No	D11	Chamaecrista fasciculata	4/10/25	0	0	Quarter	CLBJ-42	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_034	Wise	TX	yes	33.2369	-97.34128	9/2/24	nodule	Chamaecrista	Cassieae	yes	Microvirga	Microvirga_sp._RSM25	85.28	82.4473	0	843
JERC-201-1-No|nifH|consensus50|strict_single_dominant	JERC-201-1-No	D03	Desmodium laevigatum	4/3/25	25.4	1219.2	Half	JERC-201	dry	nodule	Fabaceae	JERC	Desmodium	Desmodieae	JERC_004	Baker County	Georgia	yes	NA	NA	20241029	nodule	Desmodium	Desmodieae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	85.475	71.8154	0	747
JERC-43-1-No|nifH|consensus50|strict_single_dominant	JERC-43-1-No	D03	Lespedeza cf. repens	1/23/25	7.53	361.44	Half	JERC-43	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_005	Baker County	Georgia	yes	NA	NA	20240604	nodule	Lespedeza	Desmodieae	yes	Rhizobium	Rhizobium_sp._YTUHZ044	85.749	83.0491	0	874
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	JERC-RHDI-59-3-No	D03	Rhynchosia difformis	12/4/24	39.3	1886.4	Half	JERC-59	dry	nodule	Fabaceae	JERC	Rhynchosia	Phaseoleae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Rhynchosia	Phaseoleae	yes	Microvirga	Microvirga_sp._RSM25	82.909	82.7482	0	771
JERC-45-5-No|nifH|consensus50|strict_single_dominant	JERC-45-5-No	D03	Stylosanthes biflora	12/4/24	10.4	499.2	Half	JERC-45	dry	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_005	Baker County	Georgia	yes	NA	NA	20240604	nodule	Stylosanthes	Dalbergieae	yes	Rhizobium	Rhizobium_sp._ZK1	86.482	61.5848	0	671
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-60-3-No	D03	Chamaecrista nictitans	12/4/24	7.705	369.84	Half	JERC-60	dry	nodule	Fabaceae	JERC	Chamaecrista	Cassieae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Chamaecrista	Cassieae	yes	Rhizobium	Rhizobium_sp._ZK1	86.408	82.6479	0	898
