tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|noeB|consensus50|pass_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.94	98.9845	0	3057
BLAN-1-1-Rh|noeB|consensus50|pass_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.638	98.9247	0	3027
BLAN-2-1-No|noeB|consensus50|pass_single_dominant	BLAN-2-1-No	D02	Desmodium sp.	4/23/25	3.94	189.12	Quarter	BLAN-2	ethanol	nodule	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.037	99.2832	0	3007
OAES_24-3-Rh|noeB|consensus50|pass_single_dominant	OAES-24-3-Rh	D11	Astragalus nuttallianus var. austrinus	6/4/24	0	0	Quarter	OAES-24	ethanol	rhizosphere	Fabaceae	OAES	Astragalus	Galegeae	OAES_012_R	Washita	OK	yes	35.402943	-99.064829	4/16/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.519	99.2832	0	3027
OAES-5-Rh|noeB|consensus50|pass_single_dominant	OAES-5-Rh	D11	Dalea aurea	6/25/24	0.617	29.616	Quarter	OAES-5	ethanol	rhizosphere	Fabaceae	OAES	Dalea	Amorpheae	OAES_043_T	Washita	OK	yes	35.40511	-99.05857	4/2/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.037	99.2234	0	2998
WOOD-4-1-No|noeB|consensus50|pass_single_dominant	WOOD-4-1-No	D09	Elaeagnus commutata	5/2/25	0.082	3.936	Quarter	WOOD-4	ethanol	nodule	Elaeagnaceae	WOOD	Elaeagnus	actinorhizal	BARR_027	Stutsman	ND	no	47.14	99.24	9/23/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.824	30.4659	0	909
WOOD-3-2-Rh|noeB|consensus50|pass_single_dominant	WOOD-3-2-Rh	D09	Melilotus officinalis	5/2/25	0	0	Quarter	WOOD-3	ethanol	rhizosphere	Fabaceae	WOOD	Melilotus	Trifolieae	WOOD_044	Stutsman	ND	no	47.12517	-99.2388	9/23/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.868	45.1016	0	1389
SCBI-2-1-Rh|noeB|consensus50|pass_single_dominant	SCBI-2-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-2	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	NA	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.639	99.2832	0	3044
NOGP-7-2-No|noeB|consensus50|pass_single_dominant	NOGP-7-2-No	D09	Amorpha canescens	5/2/25	0	0	Quarter	NOGP-7	dry	nodule	Fabaceae	NOGP	Amorpha	Amorpheae	NOGP_064	NA	ND	yes	46.77063	-100.9138092	6/25/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.719	63.6798	0	1953
CPER-2-Rh|noeB|consensus50|pass_single_dominant	CPER-2-Rh	D10	Melilotus officinalis	4/24/25	0	0	Quarter	CPER-2	dry	rhizosphere	Fabaceae	CPER	Melilotus	Trifolieae	CPER_002	Weld	CO	no	NA	NA	6/14/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.156	99.1039	0	2990
NIWO-1-Rh|noeB|consensus50|pass_single_dominant	NIWO-1-Rh	D13	Lupinus argenteus	5/23/25	0	0	Quarter	NIWO-1	NA	rhizosphere	Fabaceae	NIWO	Lupinus	Genisteae	NIWO_017	Boulder	CO	yes	NA	NA	7/31/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.417	79.2712	0	2361
SERC-6-1-No|noeB|consensus50|pass_single_dominant	SERC-6-1-No	D02	Glycine max	4/15/25	13.55	650.4	Half	SERC-6	ethanol	nodule	Fabaceae	SERC	Glycine	Glycininae	SERC_018	Anne Arundel	MD	no	38.872901	-76.531642	9/25/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.375	99.2832	0	2961
TEAK-1-2-Ro|noeB|consensus50|pass_single_dominant	TEAK-1-2-Ro	D17	Astragalus bolanderi	4/15/25	5.245	251.76	Half	TEAK-1	dry	root	Fabaceae	TEAK	Astragalus	Galegeae	NA	Fresno	CA	yes	37.00469	-119.004015	#N/A	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.639	99.2832	0	3042
TALL-29-3-No|noeB|consensus50|pass_single_dominant	TALL-29-3-No	D08	Lespedeza cuneata	4/17/25	2.2	105.6	Quarter	TALL-29	dry	nodule	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_003	Bibb County	AL	no	32.8941	-87.41688	8/26/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.819	99.2832	0	3055
WOOD-1-1-Ro|noeB|consensus50|pass_single_dominant	WOOD-1-1-Ro	D09	Melilotus officinalis	5/2/25	0.286	13.728	Quarter	WOOD-1	ethanol	root	Fabaceae	WOOD	Melilotus	Trifolieae	DCFS_014	Stutsman	ND	no	46.89494	-98.6864	9/16/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.928	83.4528	0	2575
CPER-5-1-Rh|noeB|consensus50|pass_single_dominant	CPER-5-1-Rh	D10	Melilotus officinalis	5/23/25	2.535	121.68	Quarter	CPER-5	dry	rhizosphere	Fabaceae	CPER	Melilotus	Trifolieae	CPER_022	Weld	CO	no	NA	NA	6/24/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.88	99.2832	0	3059
OSBS-36-1-No|noeB|consensus50|pass_single_dominant	OSBS-36-1-No	D03	Tephrosia virginiana	2/26/25	0	0	Quarter	OSBS-36	dry	nodule	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_006	Putnam	FL	yes	NA	NA	20240611	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.88	99.2832	0	3059
