sample	gene_ref	gene	gene_length	covered_bases	percent_covered	mean_depth	max_depth
BLAN-1-1-Rh	noeI.fa	noeI	756	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodP.fa	nodP	906	139	15.3422	1.9779	21
BLAN-1-1-Rh	nifT.fa	nifT	216	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixX.fa	fixX	297	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifD.fa	nifD	1532	1287	84.0078	613.4935	3696
BLAN-1-1-Rh	nolG.fa	nolG	3198	3198	100.0000	22.7442	63
BLAN-1-1-Rh	rhcQ.fa	rhcQ	1195	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixP.fa	fixP	876	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifS.fa	nifS	1292	27	2.0898	0.1207	8
BLAN-1-1-Rh	nolF.fa	nolF	1110	1066	96.0360	23.7514	53
BLAN-1-1-Rh	nifK.fa	nifK	1542	1483	96.1738	140.1537	2499
BLAN-1-1-Rh	fixO.fa	fixO	745	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifB.fa	nifB	1527	1033	67.6490	160.9149	2085
BLAN-1-1-Rh	rpoN.fa	rpoN	1533	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifZ.fa	nifZ	759	64	8.4321	1.2121	38
BLAN-1-1-Rh	nodF.fa	nodF	333	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifJ.fa	nifJ	3528	1314	37.2449	44.6457	821
BLAN-1-1-Rh	fixN.fa	fixN	1697	0	0.0000	0.0000	0
BLAN-1-1-Rh	fdxN.fa	fdxN	210	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifA.fa	nifA	1753	265	15.1169	4.5967	113
BLAN-1-1-Rh	nodU.fa	nodU	1823	364	19.9671	37.4476	550
BLAN-1-1-Rh	nolU.fa	nolU	645	369	57.2093	228.2357	744
BLAN-1-1-Rh	nifY.fa	nifY	663	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodE.fa	nodE	1232	0	0.0000	0.0000	0
BLAN-1-1-Rh	noeE.fa	noeE	1260	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodL.fa	nodL	612	553	90.3595	12.6961	35
BLAN-1-1-Rh	nolL.fa	nolL	1191	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifQ.fa	nifQ	813	245	30.1353	152.7712	769
BLAN-1-1-Rh	fixU.fa	fixU	258	192	74.4186	529.3798	1381
BLAN-1-1-Rh	nodT.fa	nodT	1521	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifX.fa	nifX	519	371	71.4836	9.0829	26
BLAN-1-1-Rh	nodD.fa	nodD	1011	499	49.3571	214.2878	2100
BLAN-1-1-Rh	nfeD.fa	nfeD	1454	283	19.4635	30.5660	1259
BLAN-1-1-Rh	nifH.fa	nifH	997	828	83.0491	997.2447	3159
BLAN-1-1-Rh	rhcN.fa	rhcN	1360	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixL.fa	fixL	2018	0	0.0000	0.0000	0
BLAN-1-1-Rh	nopP.fa	nopP	834	187	22.4221	0.2974	2
BLAN-1-1-Rh	nodS.fa	nodS	738	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifW.fa	nifW	421	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodC.fa	nodC	1409	886	62.8815	71.2520	1129
BLAN-1-1-Rh	rhcT.fa	rhcT	832	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixC.fa	fixC	1318	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodB.fa	nodB	714	488	68.3473	3.7269	13
BLAN-1-1-Rh	nolB.fa	nolB	597	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodZ.fa	nodZ	993	217	21.8530	0.3666	2
BLAN-1-1-Rh	fixK.fa	fixK	812	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodJ.fa	nodJ	921	538	58.4148	162.2801	1241
BLAN-1-1-Rh	nifN.fa	nifN	1367	110	8.0468	9.4199	558
BLAN-1-1-Rh	fixB.fa	fixB	1143	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodA.fa	nodA	699	275	39.3419	168.4349	1333
BLAN-1-1-Rh	nifV.fa	nifV	1225	0	0.0000	0.0000	0
BLAN-1-1-Rh	nopM.fa	nopM	1746	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixJ.fa	fixJ	768	0	0.0000	0.0000	0
BLAN-1-1-Rh	noeB.fa	noeB	1674	1662	99.2832	11.2312	25
BLAN-1-1-Rh	nodI.fa	nodI	1095	745	68.0365	180.3580	979
BLAN-1-1-Rh	nifM.fa	nifM	825	0	0.0000	0.0000	0
BLAN-1-1-Rh	Irr.fa	Irr	519	230	44.3160	6.0578	33
BLAN-1-1-Rh	rhcS.fa	rhcS	279	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixQ.fa	fixQ	168	0	0.0000	0.0000	0
BLAN-1-1-Rh	fixA.fa	fixA	1051	0	0.0000	0.0000	0
BLAN-1-1-Rh	nopE.fa	nopE	1451	0	0.0000	0.0000	0
BLAN-1-1-Rh	noeJ.fa	noeJ	915	0	0.0000	0.0000	0
BLAN-1-1-Rh	nodQ.fa	nodQ	1922	131	6.8158	1.6436	63
BLAN-1-1-Rh	nifU.fa	nifU	540	19	3.5185	0.0704	2
BLAN-1-1-Rh	nopL.fa	nopL	1110	0	0.0000	0.0000	0
BLAN-1-1-Rh	nifE.fa	nifE	1714	400	23.3372	2.4393	32
BLAN-1-1-Rh	nodX.fa	nodX	1121	1104	98.4835	50.1641	175
BLAN-1-1-Rh	fdxB.fa	fdxB	361	42	11.6343	1.6011	28
BLAN-1-1-Rh	nolX.fa	nolX	1791	0	0.0000	0.0000	0
BLAN-1-1-Rh	noeA.fa	noeA	1431	1431	100.0000	19.0105	41
BLAN-1-1-Rh	nodH.fa	nodH	802	0	0.0000	0.0000	0
BLAN-1-1-Rh	rhcR.fa	rhcR	669	0	0.0000	0.0000	0
BLAN-1-1-Ro	noeI.fa	noeI	756	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodP.fa	nodP	906	202	22.2958	2.0629	20
BLAN-1-1-Ro	nifT.fa	nifT	216	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixX.fa	fixX	297	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifD.fa	nifD	1532	1274	83.1593	100.8708	490
BLAN-1-1-Ro	nolG.fa	nolG	3198	3198	100.0000	27.2539	117
BLAN-1-1-Ro	rhcQ.fa	rhcQ	1195	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixP.fa	fixP	876	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifS.fa	nifS	1292	0	0.0000	0.0000	0
BLAN-1-1-Ro	nolF.fa	nolF	1110	1104	99.4595	40.0739	211
BLAN-1-1-Ro	nifK.fa	nifK	1542	1294	83.9170	58.7691	503
BLAN-1-1-Ro	fixO.fa	fixO	745	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifB.fa	nifB	1527	1034	67.7145	18.0982	200
BLAN-1-1-Ro	rpoN.fa	rpoN	1533	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifZ.fa	nifZ	759	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodF.fa	nodF	333	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifJ.fa	nifJ	3528	842	23.8662	2.1859	28
BLAN-1-1-Ro	fixN.fa	fixN	1697	0	0.0000	0.0000	0
BLAN-1-1-Ro	fdxN.fa	fdxN	210	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifA.fa	nifA	1753	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodU.fa	nodU	1823	187	10.2578	0.5458	24
BLAN-1-1-Ro	nolU.fa	nolU	645	304	47.1318	5.4837	20
BLAN-1-1-Ro	nifY.fa	nifY	663	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodE.fa	nodE	1232	0	0.0000	0.0000	0
BLAN-1-1-Ro	noeE.fa	noeE	1260	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodL.fa	nodL	612	553	90.3595	37.4690	104
BLAN-1-1-Ro	nolL.fa	nolL	1191	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifQ.fa	nifQ	813	225	27.6753	21.2411	108
BLAN-1-1-Ro	fixU.fa	fixU	258	24	9.3023	1.8605	20
BLAN-1-1-Ro	nodT.fa	nodT	1521	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifX.fa	nifX	519	394	75.9152	10.8054	30
BLAN-1-1-Ro	nodD.fa	nodD	1011	523	51.7310	30.2839	388
BLAN-1-1-Ro	nfeD.fa	nfeD	1454	67	4.6080	1.0612	28
BLAN-1-1-Ro	nifH.fa	nifH	997	803	80.5416	130.5858	473
BLAN-1-1-Ro	rhcN.fa	rhcN	1360	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixL.fa	fixL	2018	0	0.0000	0.0000	0
BLAN-1-1-Ro	nopP.fa	nopP	834	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodS.fa	nodS	738	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifW.fa	nifW	421	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodC.fa	nodC	1409	917	65.0816	38.1512	302
BLAN-1-1-Ro	rhcT.fa	rhcT	832	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixC.fa	fixC	1318	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodB.fa	nodB	714	497	69.6078	5.4412	16
BLAN-1-1-Ro	nolB.fa	nolB	597	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodZ.fa	nodZ	993	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixK.fa	fixK	812	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodJ.fa	nodJ	921	357	38.7622	23.0119	240
BLAN-1-1-Ro	nifN.fa	nifN	1367	81	5.9254	1.4484	58
BLAN-1-1-Ro	fixB.fa	fixB	1143	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodA.fa	nodA	699	116	16.5951	12.8054	124
BLAN-1-1-Ro	nifV.fa	nifV	1225	0	0.0000	0.0000	0
BLAN-1-1-Ro	nopM.fa	nopM	1746	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixJ.fa	fixJ	768	0	0.0000	0.0000	0
BLAN-1-1-Ro	noeB.fa	noeB	1674	1656	98.9247	14.5938	39
BLAN-1-1-Ro	nodI.fa	nodI	1095	784	71.5982	54.7443	475
BLAN-1-1-Ro	nifM.fa	nifM	825	0	0.0000	0.0000	0
BLAN-1-1-Ro	Irr.fa	Irr	519	106	20.4239	1.2139	8
BLAN-1-1-Ro	rhcS.fa	rhcS	279	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixQ.fa	fixQ	168	0	0.0000	0.0000	0
BLAN-1-1-Ro	fixA.fa	fixA	1051	0	0.0000	0.0000	0
BLAN-1-1-Ro	nopE.fa	nopE	1451	0	0.0000	0.0000	0
BLAN-1-1-Ro	noeJ.fa	noeJ	915	0	0.0000	0.0000	0
BLAN-1-1-Ro	nodQ.fa	nodQ	1922	47	2.4454	0.4735	32
BLAN-1-1-Ro	nifU.fa	nifU	540	0	0.0000	0.0000	0
BLAN-1-1-Ro	nopL.fa	nopL	1110	0	0.0000	0.0000	0
BLAN-1-1-Ro	nifE.fa	nifE	1714	175	10.2100	0.6616	11
BLAN-1-1-Ro	nodX.fa	nodX	1121	1104	98.4835	105.4095	363
BLAN-1-1-Ro	fdxB.fa	fdxB	361	0	0.0000	0.0000	0
BLAN-1-1-Ro	nolX.fa	nolX	1791	0	0.0000	0.0000	0
BLAN-1-1-Ro	noeA.fa	noeA	1431	1431	100.0000	21.8973	44
BLAN-1-1-Ro	nodH.fa	nodH	802	0	0.0000	0.0000	0
BLAN-1-1-Ro	rhcR.fa	rhcR	669	0	0.0000	0.0000	0
BLAN-1-1-No	noeI.fa	noeI	756	0	0.0000	0.0000	0
BLAN-1-1-No	nodP.fa	nodP	906	0	0.0000	0.0000	0
BLAN-1-1-No	nifT.fa	nifT	216	0	0.0000	0.0000	0
BLAN-1-1-No	fixX.fa	fixX	297	0	0.0000	0.0000	0
BLAN-1-1-No	nifD.fa	nifD	1532	1311	85.5744	1809.2866	8038
BLAN-1-1-No	nolG.fa	nolG	3198	3182	99.4997	18.2320	41
BLAN-1-1-No	rhcQ.fa	rhcQ	1195	158	13.2218	0.3531	3
BLAN-1-1-No	fixP.fa	fixP	876	223	25.4566	0.7215	4
BLAN-1-1-No	nifS.fa	nifS	1292	25	1.9350	0.0387	2
BLAN-1-1-No	nolF.fa	nolF	1110	1104	99.4595	16.6342	42
BLAN-1-1-No	nifK.fa	nifK	1542	1527	99.0272	461.6115	8023
BLAN-1-1-No	fixO.fa	fixO	745	169	22.6846	0.7101	7
BLAN-1-1-No	nifB.fa	nifB	1527	1091	71.4473	697.8867	8020
BLAN-1-1-No	rpoN.fa	rpoN	1533	0	0.0000	0.0000	0
BLAN-1-1-No	nifZ.fa	nifZ	759	221	29.1173	1.8867	13
BLAN-1-1-No	nodF.fa	nodF	333	0	0.0000	0.0000	0
BLAN-1-1-No	nifJ.fa	nifJ	3528	232	6.5760	0.1270	4
BLAN-1-1-No	fixN.fa	fixN	1697	353	20.8014	0.6293	6
BLAN-1-1-No	fdxN.fa	fdxN	210	65	30.9524	1.8143	6
BLAN-1-1-No	nifA.fa	nifA	1753	150	8.5568	0.2094	6
BLAN-1-1-No	nodU.fa	nodU	1823	501	27.4822	270.7515	4683
BLAN-1-1-No	nolU.fa	nolU	645	503	77.9845	2236.5643	7761
BLAN-1-1-No	nifY.fa	nifY	663	0	0.0000	0.0000	0
BLAN-1-1-No	nodE.fa	nodE	1232	0	0.0000	0.0000	0
BLAN-1-1-No	noeE.fa	noeE	1260	0	0.0000	0.0000	0
BLAN-1-1-No	nodL.fa	nodL	612	553	90.3595	14.9477	30
BLAN-1-1-No	nolL.fa	nolL	1191	0	0.0000	0.0000	0
BLAN-1-1-No	nifQ.fa	nifQ	813	245	30.1353	988.2337	6173
BLAN-1-1-No	fixU.fa	fixU	258	216	83.7209	2467.2829	8024
BLAN-1-1-No	nodT.fa	nodT	1521	0	0.0000	0.0000	0
BLAN-1-1-No	nifX.fa	nifX	519	409	78.8054	14.8786	41
BLAN-1-1-No	nodD.fa	nodD	1011	666	65.8754	861.0791	8015
BLAN-1-1-No	nfeD.fa	nfeD	1454	133	9.1472	169.9319	8008
BLAN-1-1-No	nifH.fa	nifH	997	829	83.1494	3345.0632	8019
BLAN-1-1-No	rhcN.fa	rhcN	1360	0	0.0000	0.0000	0
BLAN-1-1-No	fixL.fa	fixL	2018	65	3.2210	0.1313	5
BLAN-1-1-No	nopP.fa	nopP	834	232	27.8177	0.7050	4
BLAN-1-1-No	nodS.fa	nodS	738	36	4.8780	0.0488	1
BLAN-1-1-No	nifW.fa	nifW	421	0	0.0000	0.0000	0
BLAN-1-1-No	nodC.fa	nodC	1409	890	63.1654	448.2661	8016
BLAN-1-1-No	rhcT.fa	rhcT	832	47	5.6490	0.1130	2
BLAN-1-1-No	fixC.fa	fixC	1318	0	0.0000	0.0000	0
BLAN-1-1-No	nodB.fa	nodB	714	540	75.6303	5.8221	21
BLAN-1-1-No	nolB.fa	nolB	597	101	16.9179	0.1692	1
BLAN-1-1-No	nodZ.fa	nodZ	993	367	36.9587	5.9023	36
BLAN-1-1-No	fixK.fa	fixK	812	0	0.0000	0.0000	0
BLAN-1-1-No	nodJ.fa	nodJ	921	755	81.9761	1239.4506	8026
BLAN-1-1-No	nifN.fa	nifN	1367	271	19.8244	107.2363	6932
BLAN-1-1-No	fixB.fa	fixB	1143	0	0.0000	0.0000	0
BLAN-1-1-No	nodA.fa	nodA	699	287	41.0587	1122.5451	8025
BLAN-1-1-No	nifV.fa	nifV	1225	0	0.0000	0.0000	0
BLAN-1-1-No	nopM.fa	nopM	1746	358	20.5040	1.5120	24
BLAN-1-1-No	fixJ.fa	fixJ	768	0	0.0000	0.0000	0
BLAN-1-1-No	noeB.fa	noeB	1674	1662	99.2832	13.1708	27
BLAN-1-1-No	nodI.fa	nodI	1095	834	76.1644	1296.0804	7448
BLAN-1-1-No	nifM.fa	nifM	825	0	0.0000	0.0000	0
BLAN-1-1-No	Irr.fa	Irr	519	0	0.0000	0.0000	0
BLAN-1-1-No	rhcS.fa	rhcS	279	0	0.0000	0.0000	0
BLAN-1-1-No	fixQ.fa	fixQ	168	0	0.0000	0.0000	0
BLAN-1-1-No	fixA.fa	fixA	1051	102	9.7050	0.1941	2
BLAN-1-1-No	nopE.fa	nopE	1451	0	0.0000	0.0000	0
BLAN-1-1-No	noeJ.fa	noeJ	915	0	0.0000	0.0000	0
BLAN-1-1-No	nodQ.fa	nodQ	1922	228	11.8626	0.6805	20
BLAN-1-1-No	nifU.fa	nifU	540	19	3.5185	0.0704	2
BLAN-1-1-No	nopL.fa	nopL	1110	0	0.0000	0.0000	0
BLAN-1-1-No	nifE.fa	nifE	1714	788	45.9743	4.1925	34
BLAN-1-1-No	nodX.fa	nodX	1121	1104	98.4835	20.0874	36
BLAN-1-1-No	fdxB.fa	fdxB	361	26	7.2022	0.1440	2
BLAN-1-1-No	nolX.fa	nolX	1791	0	0.0000	0.0000	0
BLAN-1-1-No	noeA.fa	noeA	1431	1431	100.0000	23.1929	41
BLAN-1-1-No	nodH.fa	nodH	802	39	4.8628	0.0486	1
BLAN-1-1-No	rhcR.fa	rhcR	669	0	0.0000	0.0000	0
BLAN-2-1-Rh	noeI.fa	noeI	756	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodP.fa	nodP	906	84	9.2715	0.1336	2
BLAN-2-1-Rh	nifT.fa	nifT	216	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixX.fa	fixX	297	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifD.fa	nifD	1532	1302	84.9869	201.6423	1240
BLAN-2-1-Rh	nolG.fa	nolG	3198	3175	99.2808	208.6007	3346
BLAN-2-1-Rh	rhcQ.fa	rhcQ	1195	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixP.fa	fixP	876	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifS.fa	nifS	1292	21	1.6254	0.0325	2
BLAN-2-1-Rh	nolF.fa	nolF	1110	1106	99.6396	22.2703	51
BLAN-2-1-Rh	nifK.fa	nifK	1542	1473	95.5253	15.3865	57
BLAN-2-1-Rh	fixO.fa	fixO	745	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifB.fa	nifB	1527	1009	66.0773	114.8107	2186
BLAN-2-1-Rh	rpoN.fa	rpoN	1533	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifZ.fa	nifZ	759	101	13.3070	1.5165	26
BLAN-2-1-Rh	nodF.fa	nodF	333	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifJ.fa	nifJ	3528	1247	35.3458	39.0839	1706
BLAN-2-1-Rh	fixN.fa	fixN	1697	0	0.0000	0.0000	0
BLAN-2-1-Rh	fdxN.fa	fdxN	210	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifA.fa	nifA	1753	19	1.0839	0.0217	2
BLAN-2-1-Rh	nodU.fa	nodU	1823	53	2.9073	0.1135	4
BLAN-2-1-Rh	nolU.fa	nolU	645	239	37.0543	0.8047	4
BLAN-2-1-Rh	nifY.fa	nifY	663	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodE.fa	nodE	1232	0	0.0000	0.0000	0
BLAN-2-1-Rh	noeE.fa	noeE	1260	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodL.fa	nodL	612	553	90.3595	612.0278	3631
BLAN-2-1-Rh	nolL.fa	nolL	1191	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifQ.fa	nifQ	813	94	11.5621	0.1488	2
BLAN-2-1-Rh	fixU.fa	fixU	258	83	32.1705	2.6473	26
BLAN-2-1-Rh	nodT.fa	nodT	1521	0	0.0000	0.0000	0
BLAN-2-1-Rh	nifX.fa	nifX	519	384	73.9884	8.2755	27
BLAN-2-1-Rh	nodD.fa	nodD	1011	449	44.4115	8.4639	54
BLAN-2-1-Rh	nfeD.fa	nfeD	1454	70	4.8143	10.0825	306
BLAN-2-1-Rh	nifH.fa	nifH	997	800	80.2407	533.5697	3566
BLAN-2-1-Rh	rhcN.fa	rhcN	1360	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixL.fa	fixL	2018	0	0.0000	0.0000	0
BLAN-2-1-Rh	nopP.fa	nopP	834	438	52.5180	0.9245	3
BLAN-2-1-Rh	nodS.fa	nodS	738	179	24.2547	0.2832	2
BLAN-2-1-Rh	nifW.fa	nifW	421	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodC.fa	nodC	1409	930	66.0043	135.9283	2404
BLAN-2-1-Rh	rhcT.fa	rhcT	832	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixC.fa	fixC	1318	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodB.fa	nodB	714	503	70.4482	5.3123	23
BLAN-2-1-Rh	nolB.fa	nolB	597	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodZ.fa	nodZ	993	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixK.fa	fixK	812	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodJ.fa	nodJ	921	383	41.5852	1.7883	10
BLAN-2-1-Rh	nifN.fa	nifN	1367	122	8.9247	0.2085	4
BLAN-2-1-Rh	fixB.fa	fixB	1143	0	0.0000	0.0000	0
BLAN-2-1-Rh	nodA.fa	nodA	699	153	21.8884	0.3348	2
BLAN-2-1-Rh	nifV.fa	nifV	1225	0	0.0000	0.0000	0
BLAN-2-1-Rh	nopM.fa	nopM	1746	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixJ.fa	fixJ	768	0	0.0000	0.0000	0
BLAN-2-1-Rh	noeB.fa	noeB	1674	1662	99.2832	94.4223	3248
BLAN-2-1-Rh	nodI.fa	nodI	1095	769	70.2283	777.4237	7554
BLAN-2-1-Rh	nifM.fa	nifM	825	0	0.0000	0.0000	0
BLAN-2-1-Rh	Irr.fa	Irr	519	0	0.0000	0.0000	0
BLAN-2-1-Rh	rhcS.fa	rhcS	279	0	0.0000	0.0000	0
BLAN-2-1-Rh	fixQ.fa	fixQ	168	0	0.0000	0.0000	0
