tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	clean_sample_id_from_blast	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
BLAN-1-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XWQ88866.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.186	1309	85.4439	0	1443	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-1-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no
BLAN-1-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	83.563	1308	85.3786	0	1411	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-1-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no
BLAN-1-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	86.118	778	50.7833	0	939	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-1-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Ro	D02	Trifolium repens	4/23/25	0.053	2.544	Quarter	BLAN-1	ethanol	root	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	root	Trifolium	Trifolieae	no
DEJU-29-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DEJU-29-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Microvirga_sp._RSM25	Microvirga	nifD|Microvirga_sp._RSM25|XKE00371.1	Microvirga_sp._RSM25	82.569	1308	85.3786	0	1314	Microvirga	Mixed-IUPAC	Microvirga	Microvirga	NA	DEJU-29-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	DEJU-29-1-Rh	D19	Alnus viridis	4/15/25	0.3895	18.696	Quarter	DEJU-29	ethanol	rhizosphere	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_015	NA	Alaska	yes	NA	NA	NA	rhizosphere	Alnus	actinorhizal	yes
OSBS-DETR-64-3-Ro|nifD|consensus50|pass_single_dominant	OSBS-DETR-64-3-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.95	1309	85.4439	0	1411	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	OSBS-DETR-64-3-Ro|nifD|consensus50|pass_single_dominant	OSBS-DETR-64-3-Ro	D03	Desmodium triflorum	4/17/25	0	0	Quarter	OSBS-64	dry	root	Fabaceae	OSBS	Desmodium	Desmodieae	OSBS_031	Putnam	FL	yes	29.689142	-81.993367	20240710	root	Desmodium	Desmodieae	yes
JERC-151-Rh|nifD|consensus50|pass_single_dominant	JERC-151-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.36	778	50.7833	0	1027	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	JERC-151-Rh|nifD|consensus50|pass_single_dominant	JERC-151-Rh	D03	Tephrosia virginiana	5/14/25	0	0	Quarter	JERC-151	dry	rhizosphere	Fabaceae	JERC	Tephrosia	Millettieae	JERC_015	Baker County	Georgia	yes	NA	NA	20241002	rhizosphere	Tephrosia	Millettieae	yes
SCBI-1-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-1-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	86.358	777	50.718	0	917	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	SCBI-1-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-1-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-1	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	6/26/24	rhizosphere	Lespedeza	Desmodieae	no
BLAN-4-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-4-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.09	777	50.718	0	1107	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	BLAN-4-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	BLAN-4-1-Ro	D02	Elaeagnus umbellata	4/23/25	0	0	Quarter	BLAN-4	ethanol	root	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	root	Elaeagnus	actinorhizal	no
SCBI-2-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-2-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.951	1303	85.0522	0	1615	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	SCBI-2-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	SCBI-2-1-Ro	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-2	ethanol	root	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	NA	root	Lespedeza	Desmodieae	no
OSBS-106-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	OSBS-106-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.219	777	50.718	0	1079	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	NA	OSBS-106-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	OSBS-106-1-Ro	D03	Lespedeza hirta	4/15/25	0.1815	8.712	Quarter	OSBS-106	dry	root	Fabaceae	OSBS	Lespedeza	Desmodieae	OSBS_070	Putnam	Fl	yes	NA	NA	20241008	root	Lespedeza	Desmodieae	yes
