tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
BLAN-1-1-No|nifK|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	81.008	853	55.3178	0	850	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	BLAN-1-1-No|nifK|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no
BLAN-1-1-Rh|nifK|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.85	852	55.2529	0	1136	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	BLAN-1-1-Rh|nifK|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no
SCBI-1-1-Rh|nifK|consensus50|pass_single_dominant	SCBI-1-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.632	1425	92.4125	0	2137	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	SCBI-1-1-Rh|nifK|consensus50|pass_single_dominant	SCBI-1-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-1	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	6/26/24	rhizosphere	Lespedeza	Desmodieae	no
SCBI-8-2-Ro|nifK|consensus50|pass_mixed_possible_multitemplate	SCBI-8-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.408	1369	88.7808	0	1871	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	SCBI-8-2-Ro|nifK|consensus50|pass_mixed_possible_multitemplate	SCBI-8-2-Ro	D02	Elaeagnus umbellata	4/24/25	0.569	27.312	Quarter	SCBI-8	ethanol	root	Elaeagnaceae	SCBI	Elaeagnus	actinorhizal	SCBI-021	Warren	VA	no	38.900867	-78.152966	6/26/24	root	Elaeagnus	actinorhizal	no
CLBJ-46-1-Ro|nifK|consensus50|pass_single_dominant	CLBJ-46-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.317	1428	92.607	0	1965	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	CLBJ-46-1-Ro|nifK|consensus50|pass_single_dominant	CLBJ-46-1-Ro	D11	Galactia volubilis	4/10/25	0	0	Quarter	CLBJ-46	ethanol	root	Fabaceae	CLBJ	Galactia	Diocleae	CLBJ_034	Wise	TX	yes	33.23658	-97.34089	9/4/24	root	Galactia	Diocleae	yes
HEAL-2-1-Rh|nifK|consensus50|pass_single_dominant	HEAL-2-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.452	611	39.6239	0	640	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	HEAL-2-1-Rh|nifK|consensus50|pass_single_dominant	HEAL-2-1-Rh	D19	Alnus viridis	4/4/25	0	0	Quarter	HEAL-2	ethanol	rhizosphere	Betulaceae	HEAL	Alnus	actinorhizal	HEAL_010	Denali Borough	Alaska	yes	63.87736 N	149.26331 W	20240723	rhizosphere	Alnus	actinorhizal	yes
DSNY-85-1-Rh|nifK|consensus50|pass_single_dominant	DSNY-85-1-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.574	774	50.1946	0	1210	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	DSNY-85-1-Rh|nifK|consensus50|pass_single_dominant	DSNY-85-1-Rh	D03	Desmodium triflorum	4/4/25	0	0	Quarter	DSNY-85	dry	rhizosphere	Fabaceae	DSNY	Desmodium	Desmodieae	DSNY_015	Polk	Florida	yes	28.1094133	-81.4308468	20240904	rhizosphere	Desmodium	Desmodieae	yes
JERC-135-3-Rh|nifK|consensus50|pass_mixed_possible_multitemplate	JERC-135-3-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.347	1471	95.3956	0	2001	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	JERC-135-3-Rh|nifK|consensus50|pass_mixed_possible_multitemplate	JERC-135-3-Rh	D03	Stylosanthes biflora	4/8/25	0	0	Quarter	JERC-135	dry	rhizosphere	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	rhizosphere	Stylosanthes	Dalbergieae	yes
DEJU-57-Ro|nifK|consensus50|pass_mixed_possible_multitemplate	DEJU-57-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Rhizobium_sp._ZK1	Rhizobium	nifK|Rhizobium_sp._ZK1|XON24429.1	Rhizobium_sp._ZK1	87.101	783	50.7782	0	922	Rhizobium	Mixed-IUPAC	Rhizobium	Rhizobium	DEJU-57-Ro|nifK|consensus50|pass_mixed_possible_multitemplate	DEJU-57-Ro	D19	Alnus viridis	5/23/25	1.52	72.96	Quarter	DEJU-57	ethanol	root	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_045	NA	Unknown	yes	NA	NA	NA	root	Alnus	actinorhizal	yes
DELA-12-2-No|nifK|consensus50|pass_mixed_possible_multitemplate	DELA-12-2-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_iupac_best_reference_hit_with_taxon.tsv	nifK_iupac_best_reference_hit_with_taxon.tsv	iupac	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	86.364	880	57.0687	0	970	Sinorhizobium	Mixed-IUPAC	Sinorhizobium	Sinorhizobium	DELA-12-2-No|nifK|consensus50|pass_mixed_possible_multitemplate	DELA-12-2-No	D08	Centrosema virginiana	4/4/25	41.65	1999.2	Half	DELA-12	dry	nodule	Fabaceae	DELA	Centrosema	Phaseoleae	DELA_008	Green County	AL	yes	32.53861	-87.81298	8/14/24	nodule	Centrosema	Phaseoleae	yes
