sample_id	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	reference_coverage_percent	evalue	bitscore	closest_genus	blast_confidence	in_blast_table	tip_label_closest_taxon
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	90.326	827	92.5056	NA	0	1081	Mesorhizobium	high_identity90_qcov80	yes	CLBJ-14-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 90.3% id | 92.5% qcov
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	85.627	821	91.8345	NA	0	859	Rhizobium	moderate_identity85_qcov70	yes	CLBJ-16-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 85.6% id | 91.8% qcov
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	85.437	824	92.17	NA	0	854	Rhizobium	moderate_identity85_qcov70	yes	OSBS-14-3-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 85.4% id | 92.2% qcov
DELA-4-1-No|nifH|consensus50|strict_single_dominant	nifH|Bradyrhizobium_sp._PUT101|XYX37671.1	Bradyrhizobium_sp._PUT101	82.63	829	93.6723	NA	0	778	Bradyrhizobium	low_or_uncertain	yes	DELA-4-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 82.6% id | 93.7% qcov
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM16083.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.837	699	78.1879	NA	0	736	Sinorhizobium	moderate_identity85_qcov70	yes	OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.8% id | 78.2% qcov
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	85.262	821	91.8345	NA	0	843	Mesorhizobium	moderate_identity85_qcov70	yes	CLBJ-42-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.3% id | 91.8% qcov
JERC-201-1-No|nifH|consensus50|strict_single_dominant	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	85.475	716	80.0895	NA	0	747	Mesorhizobium	moderate_identity85_qcov70	yes	JERC-201-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 85.5% id | 80.1% qcov
JERC-43-1-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_sp._YTUHZ044|XXA98993.1	Rhizobium_sp._YTUHZ044	85.749	828	92.6174	NA	0	874	Rhizobium	moderate_identity85_qcov70	yes	JERC-43-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_sp._YTUHZ044 | 85.7% id | 92.6% qcov
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	nifH|Microvirga_sp._RSM25|XKE00370.1	Microvirga_sp._RSM25	82.909	825	92.2819	NA	0	771	Microvirga	low_or_uncertain	yes	JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 82.9% id | 92.3% qcov
JERC-45-5-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	86.482	614	68.6801	NA	0	671	Rhizobium	low_or_uncertain	yes	JERC-45-5-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.5% id | 68.7% qcov
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	86.408	824	92.17	NA	0	898	Rhizobium	moderate_identity85_qcov70	yes	JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 86.4% id | 92.2% qcov
