sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-3-1-Ro|nifK|consensus50|strict_single_dominant	nifK|Rhizobium_beringeri|WSH53567.1	Rhizobium_beringeri	Rhizobium	90.862	766	49.6757	0.0	1074.0
BLAN-4-1-No|nifK|consensus50|strict_single_dominant	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	88.269	1381	89.5590	0.0	1757.0
BONA-2-Ro|nifK|consensus50|strict_single_dominant	nifK|Rhizobium_ruizarguesonis|TBD72141.1	Rhizobium_ruizarguesonis	Rhizobium	85.669	628	40.7263	0.0	702.0
BONA-4-Rh|nifK|consensus50|strict_single_dominant	nifK|Rhizobium_azibense|CAO4004973.1	Rhizobium_azibense	Rhizobium	86.797	871	56.4851	0.0	1044.0
CLBJ-1-1-No|nifK|consensus50|strict_single_dominant	nifK|Rhizobium_ruizarguesonis|XIE09846.1	Rhizobium_ruizarguesonis	Rhizobium	89.741	887	57.5227	0.0	1144.0
CLBJ-1-1-Rh|nifK|consensus50|strict_single_dominant	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	89.747	1502	97.4060	0.0	1995.0
CLBJ-13-1-Ro|nifK|consensus50|strict_single_dominant	nifK|Mesorhizobium_sp._AaZ16|XIK06013.1	Mesorhizobium_sp._AaZ16	Mesorhizobium	93.803	823	53.3722	0.0	1253.0
CLBJ-15-1-Rh|nifK|consensus50|strict_single_dominant	nifK|Rhizobium_sp._T1470|WXL49764.1	Rhizobium_sp._T1470	Rhizobium	89.319	749	48.5733	0.0	941.0
CLBJ-15-1-Ro|nifK|consensus50|strict_single_dominant	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	91.930	1425	92.4125	0.0	2004.0
CLBJ-16-2-No|nifK|consensus50|strict_single_dominant	nifK|Sinorhizobium_prairiense|WEJ08561.1	Sinorhizobium_prairiense	Sinorhizobium	90.067	594	38.5214	0.0	769.0
