tip_label	sample_root_id	source_file	source_file_name	tree_set	gene	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label	closest_genus_report	closest_blast_genus	sample_id.x	sample_id.y	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status
BLAN-3-1-Ro|nifK|consensus50|strict_single_dominant	BLAN-3-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Rhizobium_beringeri	Rhizobium	nifK|Rhizobium_beringeri|WSH53567.1	Rhizobium_beringeri	90.862	766	49.6757	0	1074	Rhizobium	Strict single-dominant	Rhizobium	Rhizobium	BLAN-3-1-Ro|nifK|consensus50|strict_single_dominant	BLAN-3-1-Ro	D02	Kummerowia striata	4/23/25	0.0685	3.288	Quarter	BLAN-3	ethanol	root	Fabaceae	BLAN	Kummerowia	Desmodieae	BLAN_020	Clarke	VA	no	39.100957	-77.980777	8/13/24	root	Kummerowia	Desmodieae	no
BLAN-4-1-No|nifK|consensus50|strict_single_dominant	BLAN-4-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.269	1381	89.559	0	1757	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	BLAN-4-1-No|nifK|consensus50|strict_single_dominant	BLAN-4-1-No	D02	Elaeagnus umbellata	4/23/25	0	0	Quarter	BLAN-4	ethanol	nodule	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	nodule	Elaeagnus	actinorhizal	no
TALL-68-2-Ro|nifK|consensus50|strict_single_dominant	TALL-68-2-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.759	854	55.3826	0	1079	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	TALL-68-2-Ro|nifK|consensus50|strict_single_dominant	TALL-68-2-Ro	D08	Desmodium laevigatum	4/8/25	2.23	107.04	Quarter	TALL-68	dry	root	Fabaceae	TALL	Desmodium	Desmodieae	TALL_055	Bibb County	AL	yes	32.948543	-87.398325	9/3/24	root	Desmodium	Desmodieae	yes
SJER-4-1-Ro|nifK|consensus50|strict_single_dominant	SJER-4-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.919	792	51.3619	0	1120	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	SJER-4-1-Ro|nifK|consensus50|strict_single_dominant	SJER-4-1-Ro	D17	Lupinus bicolor	4/15/25	0.0575	2.76	Quarter	SJER-4	dry	root	Fabaceae	SJER	Lupinus	Genisteae	NA	Fresno	CA	yes	37.110189	-119.73464	20240404	root	Lupinus	Genisteae	yes
JERC-132-3-Rh|nifK|consensus50|strict_single_dominant	JERC-132-3-Rh	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.277	708	45.9144	0	900	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	JERC-132-3-Rh|nifK|consensus50|strict_single_dominant	JERC-132-3-Rh	D03	Desmodium marilandicum	4/8/25	0	0	Quarter	JERC-132	dry	rhizosphere	Fabaceae	JERC	Desmodium	Desmodieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	rhizosphere	Desmodium	Desmodieae	yes
DEJU-23-1-No|nifK|consensus50|strict_single_dominant	DEJU-23-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.321	560	36.3165	0	638	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	DEJU-23-1-No|nifK|consensus50|strict_single_dominant	DEJU-23-1-No	D19	Alnus viridis	4/10/25	2.41	115.68	Quarter	DEJU-23	ethanol	nodule	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_046	NA	Alaska	yes	NA	NA	NA	nodule	Alnus	actinorhizal	yes
SJER-1-1-No|nifK|consensus50|strict_single_dominant	SJER-1-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.586	725	47.0169	0	850	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	SJER-1-1-No|nifK|consensus50|strict_single_dominant	SJER-1-1-No	D17	Lupinus bicolor	4/15/25	0.122	5.856	Quarter	SJER-1	dry	nodule	Fabaceae	SJER	Lupinus	Genisteae	SJER_048	Fresno	CA	yes	37.110193	-119.734551	20240404	nodule	Lupinus	Genisteae	yes
SJER-1-1-Ro|nifK|consensus50|strict_single_dominant	SJER-1-1-Ro	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|UIJ90931.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.079	1522	98.703	0	2017	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	SJER-1-1-Ro|nifK|consensus50|strict_single_dominant	SJER-1-1-Ro	D17	Lupinus bicolor	4/15/25	0.0675	3.24	Quarter	SJER-1	dry	root	Fabaceae	SJER	Lupinus	Genisteae	SJER_048	Fresno	CA	yes	37.110193	-119.734551	20240404	root	Lupinus	Genisteae	yes
SERC-2-1-No|nifK|consensus50|strict_single_dominant	SERC-2-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|QPI28281.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.76	605	39.2348	0	791	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	SERC-2-1-No|nifK|consensus50|strict_single_dominant	SERC-2-1-No	D02	Elaeagnus umbellata	4/15/25	2.385	114.48	Quarter	SERC-2	ethanol	nodule	Elaeagnaceae	SERC	Elaeagnus	actinorhizal	SERC_016	Anne Arundel	MD	no	38.899477	-76.547521	8/14/24	nodule	Elaeagnus	actinorhizal	no
CLBJ-42-1-No|nifK|consensus50|strict_single_dominant	CLBJ-42-1-No	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifK/05_blast_taxon_annotation/nifK_strict_best_reference_hit_with_taxon.tsv	nifK_strict_best_reference_hit_with_taxon.tsv	strict	nifK	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifK|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XWQ88865.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.822	618	40.0778	0	976	Sinorhizobium	Strict single-dominant	Sinorhizobium	Sinorhizobium	CLBJ-42-1-No|nifK|consensus50|strict_single_dominant	CLBJ-42-1-No	D11	Chamaecrista fasciculata	4/10/25	0	0	Quarter	CLBJ-42	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_034	Wise	TX	yes	33.2369	-97.34128	9/2/24	nodule	Chamaecrista	Cassieae	yes
