tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-3-1-Ro|nifK|consensus50|strict_single_dominant	BLAN-3-1-Ro	D02	Kummerowia striata	4/23/25	0.0685	3.288	Quarter	BLAN-3	ethanol	root	Fabaceae	BLAN	Kummerowia	Desmodieae	BLAN_020	Clarke	VA	no	39.100957	-77.980777	8/13/24	Rhizobium	Rhizobium_beringeri	90.862	49.6757	0	1074
BLAN-4-1-No|nifK|consensus50|strict_single_dominant	BLAN-4-1-No	D02	Elaeagnus umbellata	4/23/25	0	0	Quarter	BLAN-4	ethanol	nodule	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.269	89.559	0	1757
TALL-68-2-Ro|nifK|consensus50|strict_single_dominant	TALL-68-2-Ro	D08	Desmodium laevigatum	4/8/25	2.23	107.04	Quarter	TALL-68	dry	root	Fabaceae	TALL	Desmodium	Desmodieae	TALL_055	Bibb County	AL	yes	32.948543	-87.398325	9/3/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.759	55.3826	0	1079
SJER-4-1-Ro|nifK|consensus50|strict_single_dominant	SJER-4-1-Ro	D17	Lupinus bicolor	4/15/25	0.0575	2.76	Quarter	SJER-4	dry	root	Fabaceae	SJER	Lupinus	Genisteae	NA	Fresno	CA	yes	37.110189	-119.73464	20240404	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.919	51.3619	0	1120
JERC-132-3-Rh|nifK|consensus50|strict_single_dominant	JERC-132-3-Rh	D03	Desmodium marilandicum	4/8/25	0	0	Quarter	JERC-132	dry	rhizosphere	Fabaceae	JERC	Desmodium	Desmodieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.277	45.9144	0	900
DEJU-23-1-No|nifK|consensus50|strict_single_dominant	DEJU-23-1-No	D19	Alnus viridis	4/10/25	2.41	115.68	Quarter	DEJU-23	ethanol	nodule	Betulaceae	DEJU	Alnus	actinorhizal	DEJU_046	NA	Alaska	yes	NA	NA	NA	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.321	36.3165	0	638
SJER-1-1-No|nifK|consensus50|strict_single_dominant	SJER-1-1-No	D17	Lupinus bicolor	4/15/25	0.122	5.856	Quarter	SJER-1	dry	nodule	Fabaceae	SJER	Lupinus	Genisteae	SJER_048	Fresno	CA	yes	37.110193	-119.734551	20240404	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	87.586	47.0169	0	850
SJER-1-1-Ro|nifK|consensus50|strict_single_dominant	SJER-1-1-Ro	D17	Lupinus bicolor	4/15/25	0.0675	3.24	Quarter	SJER-1	dry	root	Fabaceae	SJER	Lupinus	Genisteae	SJER_048	Fresno	CA	yes	37.110193	-119.734551	20240404	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.079	98.703	0	2017
SERC-2-1-No|nifK|consensus50|strict_single_dominant	SERC-2-1-No	D02	Elaeagnus umbellata	4/15/25	2.385	114.48	Quarter	SERC-2	ethanol	nodule	Elaeagnaceae	SERC	Elaeagnus	actinorhizal	SERC_016	Anne Arundel	MD	no	38.899477	-76.547521	8/14/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.76	39.2348	0	791
CLBJ-42-1-No|nifK|consensus50|strict_single_dominant	CLBJ-42-1-No	D11	Chamaecrista fasciculata	4/10/25	0	0	Quarter	CLBJ-42	ethanol	nodule	Fabaceae	CLBJ	Chamaecrista	Cassieae	CLBJ_034	Wise	TX	yes	33.2369	-97.34128	9/2/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.822	40.0778	0	976
TALL-18-1-Rh|nifK|consensus50|strict_single_dominant	TALL-18-1-Rh	D08	Desmodium viridiflorum	4/8/25	0	0	Quarter	TALL-18	ethanol	rhizosphere	Fabaceae	TALL	Desmodium	Desmodieae	TALL_047	Bibb County	AL	yes	32.951506	-87.398919	8/21/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.437	54.9287	0	1131
CLBJ-46-1-Ro|nifK|consensus50|strict_single_dominant	CLBJ-46-1-Ro	D11	Galactia volubilis	4/10/25	0	0	Quarter	CLBJ-46	ethanol	root	Fabaceae	CLBJ	Galactia	Diocleae	CLBJ_034	Wise	TX	yes	33.23658	-97.34089	9/4/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.457	92.607	0	1967
JERC-CRJU-86-1-No|nifK|consensus50|strict_single_dominant	JERC-CRJU-86-1-No	D03	Crotalaria juncea	5/14/25	1.295	62.16	Quarter	JERC-CRJU-86	dry	nodule	Fabaceae	JERC	Crotalaria	Crotalarieae	JERC_030R	Baker County	Georgia	no	31.18563333	-84.4785	20240624	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.873	44.2931	0	850
DSNY-85-1-Rh|nifK|consensus50|strict_single_dominant	DSNY-85-1-Rh	D03	Desmodium triflorum	4/4/25	0	0	Quarter	DSNY-85	dry	rhizosphere	Fabaceae	DSNY	Desmodium	Desmodieae	DSNY_015	Polk	Florida	yes	28.1094133	-81.4308468	20240904	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.574	50.1946	0	1210
SCBI-1-1-Rh|nifK|consensus50|strict_single_dominant	SCBI-1-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-1	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	6/26/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	93.474	92.4125	0	2170
NOGP-3-2-Rh|nifK|consensus50|strict_single_dominant	NOGP-3-2-Rh	D09	Medicago lupulina	4/23/25	0	0	Quarter	NOGP-3	dry	rhizosphere	Fabaceae	NOGP	Medicago	Trifolieae	NOGP_064	NA	ND	no	46.77084	-100.9136386	6/25/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.416	89.4293	0	2139
CLBJ-40-1-Ro|nifK|consensus50|strict_single_dominant	CLBJ-40-1-Ro	D11	Lespedeza cuneata	4/10/25	0	0	Quarter	CLBJ-40	ethanol	root	Fabaceae	CLBJ	Lespedeza	Desmodieae	CLBJ_034	Wise	TX	no	33.23685	-97.34119	9/2/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.756	95.5901	0	1927
JERC-136-No|nifK|consensus50|strict_single_dominant	JERC-136-No	D03	Stylosanthes biflora	4/8/25	0	0	Quarter	JERC-136	dry	nodule	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	92.314	81.8418	0	1849
DCFS-7-1-No|nifK|consensus50|strict_single_dominant	DCFS-7-1-No	D09	Amorpha canescens	4/23/25	0	0	Quarter	DCFS-7	dry	nodule	Fabaceae	DCFS	Amorpha	Amorpheae	DCFS_067	Stutsman	ND	yes	47.16096	99.11051	6/20/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	91.472	97.3411	0	2074
