DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST percent identity
COLOR	#000000
COLOR_MIN	#fff7bc
COLOR_MAX	#7f0000
DATA
BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	85.1270
BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	85.8520
BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	86.6420
BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	88.8470
SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	89.6360
BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.8480
CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	86.9180
OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant	88.5820
OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	88.9710
DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.7610
DEJU-20-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	83.7380
OAES-21-3-Rh|nifH|consensus50|pass_single_dominant	89.8500
DSNY-15-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	83.7800
YELL-10-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	85.6800
OAES-13-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	85.8000
DSNY-15-1-Rh|nifH|consensus50|pass_single_dominant	89.4160
OAES-25-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	87.2860
CPER-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	95.2380
NOGP-6-3-No|nifH|consensus50|pass_mixed_possible_multitemplate	92.4300
DCFS-5-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	95.3600
NOGP-2-1-No|nifH|consensus50|pass_single_dominant	95.6040
OSBS-36-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	88.0780
OAES-36-3-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	91.1190
OAES-36-3-No|nifH|consensus50|pass_single_dominant	95.2380
NOGP-3-2-Ro|nifH|consensus50|pass_single_dominant	96.3370
WOOD-6-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	92.7960
OAES-36-2-No|nifH|consensus50|pass_single_dominant	96.0930
DCFS-2-2-No|nifH|consensus50|pass_single_dominant	96.9360
NOGP-5-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	96.4460
WOOD-7-1-No|nifH|consensus50|pass_single_dominant	96.9470
WOOD-12-No|nifH|consensus50|pass_single_dominant	96.0930
NOGP-3-2-No|nifH|consensus50|pass_single_dominant	96.3370
DCFS-3-2-No|nifH|consensus50|pass_mixed_possible_multitemplate	91.6970
CPER-3-1-No|nifH|consensus50|pass_single_dominant	95.9850
CPER-4-No|nifH|consensus50|pass_single_dominant	96.4720
NOGP-6-3-Ro|nifH|consensus50|pass_single_dominant	95.9560
NOGP-1-1-No|nifH|consensus50|pass_single_dominant	96.8140
WOOD-3-2-No|nifH|consensus50|pass_single_dominant	96.6790
CPER-2-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	90.7200
CPER-4-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	93.3090
OAES-14-1-No|nifH|consensus50|pass_single_dominant	98.1480
OAES-2-1-No|nifH|consensus50|pass_single_dominant	96.8140
OAES-22-1-No|nifH|consensus50|pass_single_dominant	97.1710
CPER-5-1-No|nifH|consensus50|pass_single_dominant	96.5940
CPER-5-1-Rh|nifH|consensus50|pass_single_dominant	96.4720
OAES-14-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	95.4890
DCFS-6-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	95.9710
DCFS-8-1-No|nifH|consensus50|pass_single_dominant	96.4590
NOGP-4-1-Ro|nifH|consensus50|pass_single_dominant	95.3770
NOGP-5-2-Ro|nifH|consensus50|pass_single_dominant	97.0800
WOOD-6-1-No|nifH|consensus50|pass_single_dominant	96.8250
NOGP-2-1-Ro|nifH|consensus50|pass_single_dominant	95.9710
